GROUP,EMPLOYED_IN_HH,COUNT,CHART_TYPE
PARTICIPANT RESPONSE,None (0),12928,EMPLOYED IN HH
PARTICIPANT RESPONSE,One (1),64107,EMPLOYED IN HH
PARTICIPANT RESPONSE,Two (2),83027,EMPLOYED IN HH
PARTICIPANT RESPONSE,Three (3),32949,EMPLOYED IN HH
PARTICIPANT RESPONSE,Four (4),7370,EMPLOYED IN HH
PARTICIPANT RESPONSE,Five (5),1463,EMPLOYED IN HH
PARTICIPANT RESPONSE,Six (6),414,EMPLOYED IN HH
PARTICIPANT RESPONSE,Seven (7),112,EMPLOYED IN HH
PARTICIPANT RESPONSE,Eight (8),64,EMPLOYED IN HH
PARTICIPANT RESPONSE,Nine (9),1,EMPLOYED IN HH
PARTICIPANT RESPONSE,Ten or More (10+),291,EMPLOYED IN HH
