GROUP,HH_SIZE,COUNT,CHART_TYPE
PARTICIPANT RESPONSE,One (1),41145,HOUSEHOLD SIZE
PARTICIPANT RESPONSE,Two (2),51860,HOUSEHOLD SIZE
PARTICIPANT RESPONSE,Three (3),45757,HOUSEHOLD SIZE
PARTICIPANT RESPONSE,Four (4),35440,HOUSEHOLD SIZE
PARTICIPANT RESPONSE,Five (5),18705,HOUSEHOLD SIZE
PARTICIPANT RESPONSE,Six (6),6045,HOUSEHOLD SIZE
PARTICIPANT RESPONSE,Seven (7),2058,HOUSEHOLD SIZE
PARTICIPANT RESPONSE,Eight (8),758,HOUSEHOLD SIZE
PARTICIPANT RESPONSE,Nine (9),181,HOUSEHOLD SIZE
PARTICIPANT RESPONSE,Ten or More (10+),777,HOUSEHOLD SIZE
