GROUP,HOW_NO_BUS,COUNT,CHART_TYPE
PARTICIPANT RESPONSE,Walk,12001,HOW NO BUS
PARTICIPANT RESPONSE,Drive alone,47428,HOW NO BUS
PARTICIPANT RESPONSE,Driven by someone else,42034,HOW NO BUS
PARTICIPANT RESPONSE,Carpool / Vanpool,4263,HOW NO BUS
PARTICIPANT RESPONSE,"Uber, Lyft, etc",64536,HOW NO BUS
PARTICIPANT RESPONSE,Would not make trip,22428,HOW NO BUS
PARTICIPANT RESPONSE,Taxi,3456,HOW NO BUS
PARTICIPANT RESPONSE,Bike share,176,HOW NO BUS
PARTICIPANT RESPONSE,Personal bike,1787,HOW NO BUS
PARTICIPANT RESPONSE,Other,4618,HOW NO BUS
