GROUP,COUNT_VH_HH,COUNT,CHART_TYPE
PARTICIPANT RESPONSE,None (0),76185,HOUSEHOLD VEH
PARTICIPANT RESPONSE,One (1),69807,HOUSEHOLD VEH
PARTICIPANT RESPONSE,Two (2),42988,HOUSEHOLD VEH
PARTICIPANT RESPONSE,Three (3),10193,HOUSEHOLD VEH
PARTICIPANT RESPONSE,Four (4),2678,HOUSEHOLD VEH
PARTICIPANT RESPONSE,Five (5),585,HOUSEHOLD VEH
PARTICIPANT RESPONSE,Six (6),157,HOUSEHOLD VEH
PARTICIPANT RESPONSE,Seven (7),59,HOUSEHOLD VEH
PARTICIPANT RESPONSE,Eight (8),25,HOUSEHOLD VEH
PARTICIPANT RESPONSE,Ten or more (10+),49,HOUSEHOLD VEH
