GROUP,TRANSFERS,COUNT,CHART_TYPE
PARTICIPANT RESPONSE,00,117265,TRANSFER FROM_TO
PARTICIPANT RESPONSE,01,32499,TRANSFER FROM_TO
PARTICIPANT RESPONSE,02,6669,TRANSFER FROM_TO
PARTICIPANT RESPONSE,03,179,TRANSFER FROM_TO
PARTICIPANT RESPONSE,10,30779,TRANSFER FROM_TO
PARTICIPANT RESPONSE,11,7086,TRANSFER FROM_TO
PARTICIPANT RESPONSE,12,276,TRANSFER FROM_TO
PARTICIPANT RESPONSE,13,7,TRANSFER FROM_TO
PARTICIPANT RESPONSE,20,7441,TRANSFER FROM_TO
PARTICIPANT RESPONSE,21,282,TRANSFER FROM_TO
PARTICIPANT RESPONSE,22,22,TRANSFER FROM_TO
PARTICIPANT RESPONSE,30,214,TRANSFER FROM_TO
PARTICIPANT RESPONSE,31,1,TRANSFER FROM_TO
PARTICIPANT RESPONSE,40,5,TRANSFER FROM_TO
