GROUP,OPPO_DIR_TRIP_TIME,COUNT,CHART_TYPE
PARTICIPANT RESPONSE,Before 5:00 am,683,TRIP IN OPPO DIR TIME
PARTICIPANT RESPONSE,5:00 am - 6:00 am,5108,TRIP IN OPPO DIR TIME
PARTICIPANT RESPONSE,6:00 am - 7:00 am,6874,TRIP IN OPPO DIR TIME
PARTICIPANT RESPONSE,7:00 am - 8:00 am,6368,TRIP IN OPPO DIR TIME
PARTICIPANT RESPONSE,8:00 am - 9:00 am,4887,TRIP IN OPPO DIR TIME
PARTICIPANT RESPONSE,9:00 am - 10:00 am,3775,TRIP IN OPPO DIR TIME
PARTICIPANT RESPONSE,10:00 am - 11:00 am,3590,TRIP IN OPPO DIR TIME
PARTICIPANT RESPONSE,11:00 am - 12:00 noon,3457,TRIP IN OPPO DIR TIME
PARTICIPANT RESPONSE,12:00 noon - 1:00 pm,3767,TRIP IN OPPO DIR TIME
PARTICIPANT RESPONSE,1:00 pm - 2:00 pm,4251,TRIP IN OPPO DIR TIME
PARTICIPANT RESPONSE,2:00 pm - 3:00 pm,5932,TRIP IN OPPO DIR TIME
PARTICIPANT RESPONSE,3:00 pm - 4:00 pm,8191,TRIP IN OPPO DIR TIME
PARTICIPANT RESPONSE,4:00 pm - 5:00 pm,11570,TRIP IN OPPO DIR TIME
PARTICIPANT RESPONSE,5:00 pm - 6:00 pm,13920,TRIP IN OPPO DIR TIME
PARTICIPANT RESPONSE,6:00 pm - 7:00 pm,9421,TRIP IN OPPO DIR TIME
PARTICIPANT RESPONSE,7:00 pm - 8:00 pm,6134,TRIP IN OPPO DIR TIME
PARTICIPANT RESPONSE,8:00 pm - 9:00 pm,4674,TRIP IN OPPO DIR TIME
PARTICIPANT RESPONSE,9:00 pm - 10:00 pm,5434,TRIP IN OPPO DIR TIME
PARTICIPANT RESPONSE,10:00 pm - 11:00 pm,5621,TRIP IN OPPO DIR TIME
PARTICIPANT RESPONSE,11:00 pm and later,4114,TRIP IN OPPO DIR TIME
