District_Origin,District_Destination,Trucks_AM,Trucks_MD,Trucks_PM,Trucks_NT
WestRural,WestRural,344.137421,2452.667725,620.135864,574.622803
WestRural,SERural,24.718866,82.920723,32.54747,24.275654
WestRural,NWRural,13.627463,21.370684,6.0375,30.664644
WestRural,SWRural,2.619948,5.314377,0.575,2.604123
WestRural,NorthRural,52.136723,218.008102,42.580132,81.427109
WestRural,Concord.Kannapolis,81.066841,370.552063,90.658295,167.850983
WestRural,NorthMeck.Mooresville,25.583443,70.181816,20.647713,56.124207
WestRural,Gastonia,7.311732,52.267452,8.718093,25.163385
WestRural,OutsideRoute4,107.24379,401.237823,123.206291,232.877792
WestRural,InsideRoute4,35.367146,89.418541,18.821074,33.342648
WestRural,RockHill,16.599335,44.600441,12.666762,21.511351
WestRural,Monroe,61.083729,302.193726,76.361092,247.400223
WestRural,SE_Outer,25.203413,137.848953,38.904312,31.753504
WestRural,Statesville,4.699906,11.523106,4.125511,9.211634
WestRural,Salisbury,47.752758,304.723938,67.789131,82.674919
WestRural,Shelby,0.575,6.059408,1.822475,0.478577
SERural,WestRural,24.718866,82.920723,32.54747,24.275654
SERural,SERural,37.949997,199.704437,29.88125,79.872307
SERural,NWRural,1.063256,3.065724,0.2875,0.856467
SERural,SWRural,0.2875,3.295906,0,0
SERural,NorthRural,2.772997,6.6125,1.15,4.689688
SERural,Concord.Kannapolis,4.835074,7.334947,2.5875,5.2511
SERural,NorthMeck.Mooresville,2.0125,4.467706,2.5875,3.45
SERural,Gastonia,7.597425,24.134069,4.089113,2.948089
SERural,OutsideRoute4,19.962524,81.602371,21.843552,34.757038
SERural,InsideRoute4,2.875,5.632563,3.45,6.5552
SERural,RockHill,25.203074,133.09108,23.773804,73.587906
SERural,Monroe,25.568592,158.677963,50.057049,90.513054
SERural,SE_Outer,2.330223,77.488617,11.2125,5.494266
SERural,Statesville,0,0,0.2875,0.575
SERural,Salisbury,0.380217,0.477353,0,0
SERural,Shelby,0,1.186385,0,0
NWRural,WestRural,13.627463,21.370684,6.0375,30.664644
NWRural,SERural,1.063256,3.065724,0.2875,0.856467
NWRural,NWRural,489.441772,3239.105469,720.162781,445.953644
NWRural,SWRural,9.934761,76.575638,20.149742,7.281203
NWRural,NorthRural,15.501233,46.009373,6.184984,19.8375
NWRural,Concord.Kannapolis,27.85733,87.968773,30.282293,40.705524
NWRural,NorthMeck.Mooresville,58.533833,272.036804,49.382923,91.111496
NWRural,Gastonia,112.113464,709.369873,177.195953,184.855972
NWRural,OutsideRoute4,143.832199,497.123352,176.27211,311.788361
NWRural,InsideRoute4,28.669874,71.455261,30.312365,35.140362
NWRural,RockHill,15.476766,47.230499,14.95,17.995447
NWRural,Monroe,1.084156,7.953912,1.244021,3.672609
NWRural,SE_Outer,4.210155,11.523677,4.025,2.875
NWRural,Statesville,3.1625,3.7375,0,1.725
NWRural,Salisbury,3.21606,15.871246,1.15,9.364098
NWRural,Shelby,58.613934,264.7995,84.143288,59.321289
SWRural,WestRural,2.619948,5.314377,0.575,2.604123
SWRural,SERural,0.2875,3.295906,0,0
SWRural,NWRural,9.934761,76.575638,20.149742,7.281203
SWRural,SWRural,73.722054,626.765442,216.950287,94.222893
SWRural,NorthRural,2.0125,14.412771,2.0125,18.6875
SWRural,Concord.Kannapolis,4.678732,17.668394,0.690452,5.022701
SWRural,NorthMeck.Mooresville,2.562891,8.744658,2.637176,3.705363
SWRural,Gastonia,73.164017,311.597778,139.511688,99.409676
SWRural,OutsideRoute4,70.413223,271.554718,107.840492,147.553787
SWRural,InsideRoute4,24.217747,33.915157,2.853646,5.397176
SWRural,RockHill,78.79287,237.606613,57.463444,97.728943
SWRural,Monroe,1.586994,8.066846,1.725,0.714078
SWRural,SE_Outer,0,4.012731,1.614186,13.841861
SWRural,Statesville,0,1.168509,0.575,1.15
SWRural,Salisbury,0.401222,5.456842,1.088495,4.13844
SWRural,Shelby,0.575,4.025,1.4375,1.4375
NorthRural,WestRural,52.136723,218.008102,42.580132,81.427109
NorthRural,SERural,2.772997,6.6125,1.15,4.689688
NorthRural,NWRural,15.501233,46.009373,6.184984,19.8375
NorthRural,SWRural,2.0125,14.412771,2.0125,18.6875
NorthRural,NorthRural,668.857422,3176.19751,896.291626,1305.734253
NorthRural,Concord.Kannapolis,55.917065,206.866257,46.728981,91.931702
NorthRural,NorthMeck.Mooresville,55.492878,384.109467,78.290588,73.098991
NorthRural,Gastonia,17.994133,87.303307,18.204174,45.790943
NorthRural,OutsideRoute4,98.070427,385.759613,135.492081,228.567093
NorthRural,InsideRoute4,33.524616,90.702408,29.902775,39.381226
NorthRural,RockHill,14.535475,48.161278,10.0625,29.430279
NorthRural,Monroe,3.457323,13.895587,4.330086,11.5
NorthRural,SE_Outer,4.3125,21.137857,5.4625,10.993858
NorthRural,Statesville,97.875015,583.520508,168.538742,148.980576
NorthRural,Salisbury,39.080067,518.756165,127.333282,62.950825
NorthRural,Shelby,0,2.04336,0.2875,0.2875
Concord.Kannapolis,WestRural,81.066841,370.552063,90.658295,167.850983
Concord.Kannapolis,SERural,4.835074,7.334947,2.5875,5.2511
