District_Origin,District_Destination,Residents_AM,Residents_MD,Residents_PM,Residents_NT,Visitor_AM,Visitor_MD,Visitor_PM,Visitor_NT,Residents_Daily,Visitors_Daily,Daily
WestRural,WestRural,38469.35547,81663.125,63378.54688,88223.125,935.808289,3717.135498,2132.562012,2874.809082,271734.1563,9660.31543,281394.4688
WestRural,SERural,448.955444,777.905457,566.689392,826.607117,19.265419,56.457363,32.187851,28.325445,2620.157471,136.236084,2756.393555
WestRural,NWRural,43.927536,38.769642,31.04327,54.843884,2.668974,7.174996,3.592862,6.900285,168.58432,20.337116,188.921448
WestRural,SWRural,11.25196,14.091501,12.831181,19.806021,0.256051,1.029728,0.605362,1.851214,57.980663,3.742355,61.723019
WestRural,NorthRural,732.990417,1325.919067,1190.116699,1660.353394,48.056419,115.666916,48.953857,113.707542,4909.379395,326.384735,5235.76416
WestRural,Concord.Kannapolis,7568.836426,10749.37598,7089.745117,9986.233398,183.645477,353.724701,253.135468,532.172974,35394.19141,1322.678711,36716.87109
WestRural,NorthMeck.Mooresville,700.001404,598.350586,409.311646,887.208008,33.508884,38.224598,38.234089,45.541698,2594.871582,155.509262,2750.380859
WestRural,Gastonia,78.638176,105.060097,78.094643,118.900894,6.188938,9.094537,10.605469,13.783031,380.693817,39.671974,420.365784
WestRural,OutsideRoute4,3923.335205,3604.026367,2156.89917,4151.210449,119.397888,206.977692,163.745621,308.120361,13835.4707,798.241577,14633.71289
WestRural,InsideRoute4,1021.596924,679.387573,334.820251,904.062317,24.609842,53.650154,35.189148,89.593811,2939.866943,203.042953,3142.909912
WestRural,RockHill,147.364578,127.764122,105.523773,173.284454,5.312132,10.842439,13.163366,15.837662,553.936951,45.155598,599.092529
WestRural,Monroe,2443.771729,3144.268066,2320.788086,3419.032959,40.320633,149.465775,115.230202,116.248672,11327.86133,421.265289,11749.12598
WestRural,SE_Outer,2327.83667,2882.626709,2264.437988,3081.588135,53.026577,142.286041,73.941948,120.415634,10556.48926,389.670197,10946.15918
WestRural,Statesville,51.183277,43.300125,31.245972,52.651928,0.865338,1.814562,2.598973,5.682831,178.381302,10.961704,189.343002
WestRural,Salisbury,3987.399658,5882.584473,4508.768066,5103.782227,108.849854,295.047302,110.028503,217.745773,19482.53516,731.671448,20214.20703
WestRural,Shelby,6.346509,4.60567,5.442823,11.384389,0.373857,3.213117,0.88388,3.618834,27.77939,8.089687,35.86908
SERural,WestRural,384.951782,661.875305,613.855225,977.477844,13.636444,59.199013,20.992867,24.405056,2638.160156,118.233376,2756.393555
SERural,SERural,4796.889648,9277.970703,7063.283691,9715.610352,264.954529,708.616577,416.210236,528.050293,30853.75391,1917.831543,32771.58594
SERural,NWRural,5.64048,10.73834,5.971328,7.864243,1.34447,0.91423,0.588438,0.628213,30.214392,3.47535,33.689743
