District_Origin,District_Destination,Residents_AM,Residents_MD,Residents_PM,Residents_NT
WestRural,WestRural,38469.35547,81663.125,63378.54688,88223.125
WestRural,SERural,448.955444,777.905457,566.689392,826.607117
WestRural,NWRural,43.927536,38.769642,31.04327,54.843884
WestRural,SWRural,11.25196,14.091501,12.831181,19.806021
WestRural,NorthRural,732.990417,1325.919067,1190.116699,1660.353394
WestRural,Concord.Kannapolis,7568.836426,10749.37598,7089.745117,9986.233398
WestRural,NorthMeck.Mooresville,700.001404,598.350586,409.311646,887.208008
WestRural,Gastonia,78.638176,105.060097,78.094643,118.900894
WestRural,OutsideRoute4,3923.335205,3604.026367,2156.89917,4151.210449
WestRural,InsideRoute4,1021.596924,679.387573,334.820251,904.062317
WestRural,RockHill,147.364578,127.764122,105.523773,173.284454
WestRural,Monroe,2443.771729,3144.268066,2320.788086,3419.032959
WestRural,SE_Outer,2327.83667,2882.626709,2264.437988,3081.588135
WestRural,Statesville,51.183277,43.300125,31.245972,52.651928
WestRural,Salisbury,3987.399658,5882.584473,4508.768066,5103.782227
WestRural,Shelby,6.346509,4.60567,5.442823,11.384389
SERural,WestRural,384.951782,661.875305,613.855225,977.477844
SERural,SERural,4796.889648,9277.970703,7063.283691,9715.610352
SERural,NWRural,5.64048,10.73834,5.971328,7.864243
SERural,SWRural,15.93977,34.064644,11.051839,37.29055
SERural,NorthRural,5.072817,3.176523,4.578424,7.473311
SERural,Concord.Kannapolis,39.317833,41.192097,35.287769,71.962051
SERural,NorthMeck.Mooresville,22.139704,14.696856,17.434301,37.162262
SERural,Gastonia,17.688862,43.507282,15.820695,25.709145
SERural,OutsideRoute4,936.458191,927.190552,580.876648,1077.212524
SERural,InsideRoute4,146.333511,113.661072,51.721596,177.158524
SERural,RockHill,1131.735718,1661.19873,1175.752808,1735.943604
SERural,Monroe,4757.653809,5959.815918,4091.969971,5460.858887
SERural,SE_Outer,1997.998779,2670.225342,2304.249512,2929.915527
SERural,Statesville,0.255798,0.911655,1.072601,0.53384
SERural,Salisbury,1.224738,1.32349,2.096743,0.465883
SERural,Shelby,0.190725,1.456258,0.391746,1.493422
NWRural,WestRural,18.347347,47.163895,51.939056,52.56403
NWRural,SERural,4.356938,6.925,4.350242,13.556731
NWRural,NWRural,38348.71094,85361.82813,61764.28516,88523.53906
NWRural,SWRural,288.917053,367.881622,446.787231,448.137329
NWRural,NorthRural,90.79129,111.66259,122.469536,138.699783
NWRural,Concord.Kannapolis,95.87207,119.931473,144.789993,206.929306
NWRural,NorthMeck.Mooresville,2811.442871,8536.144531,6456.652832,7352.683105
NWRural,Gastonia,8389.866211,11262.44043,7996.010742,11031.37305
NWRural,OutsideRoute4,1653.4021,1530.079346,1098.400146,2264.766602
NWRural,InsideRoute4,862.69519,624.010559,310.171875,812.552551
NWRural,RockHill,133.898071,128.726227,107.077415,161.224777
NWRural,Monroe,5.424038,19.113295,21.698206,30.737461
NWRural,SE_Outer,37.0424,61.745834,57.815514,56.029697
NWRural,Statesville,26.390869,45.392822,25.256884,51.597809
NWRural,Salisbury,16.724403,21.723904,17.937637,18.121552
NWRural,Shelby,5827.844238,7934.400879,5269.068848,6427.070801
SWRural,WestRural,6.394713,16.336071,8.463914,25.098087
SWRural,SERural,18.315794,23.48661,20.363415,36.076271
SWRural,NWRural,286.068268,360.125916,336.61676,560.094482
SWRural,SWRural,15955.09668,33506.55859,24443.71289,33305.36719
SWRural,NorthRural,11.591352,20.222532,4.993616,12.135609
SWRural,Concord.Kannapolis,38.921024,23.71246,26.096354,50.177666
SWRural,NorthMeck.Mooresville,34.944614,38.126266,18.346394,41.059509
SWRural,Gastonia,3275.64502,5361.408203,3184.286621,4751.271484
