District_Origin,District_Destination,Visitor_AM,Visitor_MD,Visitor_PM,Visitor_NT
WestRural,WestRural,935.808289,3717.135498,2132.562012,2874.809082
WestRural,SERural,19.265419,56.457363,32.187851,28.325445
WestRural,NWRural,2.668974,7.174996,3.592862,6.900285
WestRural,SWRural,0.256051,1.029728,0.605362,1.851214
WestRural,NorthRural,48.056419,115.666916,48.953857,113.707542
WestRural,Concord.Kannapolis,183.645477,353.724701,253.135468,532.172974
WestRural,NorthMeck.Mooresville,33.508884,38.224598,38.234089,45.541698
WestRural,Gastonia,6.188938,9.094537,10.605469,13.783031
WestRural,OutsideRoute4,119.397888,206.977692,163.745621,308.120361
WestRural,InsideRoute4,24.609842,53.650154,35.189148,89.593811
WestRural,RockHill,5.312132,10.842439,13.163366,15.837662
WestRural,Monroe,40.320633,149.465775,115.230202,116.248672
WestRural,SE_Outer,53.026577,142.286041,73.941948,120.415634
WestRural,Statesville,0.865338,1.814562,2.598973,5.682831
WestRural,Salisbury,108.849854,295.047302,110.028503,217.745773
WestRural,Shelby,0.373857,3.213117,0.88388,3.618834
SERural,WestRural,13.636444,59.199013,20.992867,24.405056
SERural,SERural,264.954529,708.616577,416.210236,528.050293
SERural,NWRural,1.34447,0.91423,0.588438,0.628213
SERural,SWRural,0.328726,1.164196,1.511243,0.829714
SERural,NorthRural,0.978068,0.511532,0.82681,0.882698
SERural,Concord.Kannapolis,2.490444,2.156402,3.092761,2.710765
SERural,NorthMeck.Mooresville,0.720232,1.053485,1.70279,3.770048
SERural,Gastonia,0.497478,0.727661,1.176148,1.255648
SERural,OutsideRoute4,35.153366,43.499363,45.510525,44.447433
SERural,InsideRoute4,5.677236,8.488808,6.349458,8.68826
SERural,RockHill,65.529022,145.145279,116.058174,84.07785
SERural,Monroe,174.20816,278.693817,192.483444,305.533875
SERural,SE_Outer,56.813335,142.284439,90.91201,150.732208
SERural,Statesville,0.040132,0.058702,0.094882,0.101295
SERural,Salisbury,0.035024,0.051229,0.082804,0.088401
SERural,Shelby,0.029923,0.043769,0.070745,0.075527
NWRural,WestRural,2.749221,4.544292,4.335208,7.278398
NWRural,SERural,1.26013,0.792132,0.389043,2.059524
NWRural,NWRural,1817.879395,5730.585449,2419.154297,3675.554199
NWRural,SWRural,13.652427,16.109993,24.625357,25.771252
NWRural,NorthRural,4.160382,7.740824,8.596386,10.913054
NWRural,Concord.Kannapolis,3.680096,22.710045,10.130312,17.475096
NWRural,NorthMeck.Mooresville,116.904671,462.143372,237.684601,325.723267
NWRural,Gastonia,143.179306,464.206635,304.090088,414.493591
NWRural,OutsideRoute4,62.188103,109.312241,120.339188,136.386871
NWRural,InsideRoute4,26.264488,72.640289,28.820204,50.623161
NWRural,RockHill,14.25293,21.995165,7.932189,12.211257
NWRural,Monroe,0.548812,1.352728,1.297513,1.385217
NWRural,SE_Outer,1.185544,6.147676,4.229892,3.548431
NWRural,Statesville,4.836014,6.153407,4.073186,5.666543
NWRural,Salisbury,1.03478,2.798919,3.573262,5.810066
NWRural,Shelby,197.760223,481.486725,267.749176,355.2164
SWRural,WestRural,1.429327,2.278348,0.833121,0.889435
SWRural,SERural,0.347728,1.316066,0.822107,1.452693
SWRural,NWRural,8.143315,25.12571,30.037682,25.670177
