ID,district,WestRural,SERural,NWRural,SWRural,NorthRural,Concord.Kannapolis,NorthMeck.Mooresville,Gastonia,OutsideRoute4,InsideRoute4,RockHill,Monroe,SE_Outer,Statesville,Salisbury,Shelby
1,WestRural,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,SERural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,NWRural,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,SWRural,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,NorthRural,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,Concord.Kannapolis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,NorthMeck.Mooresville,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,Gastonia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,OutsideRoute4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,InsideRoute4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,RockHill,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,Monroe,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,SE_Outer,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,Statesville,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,Salisbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,Shelby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
