FROM,TO,TOTAL,RESIDENTS,VISITORS
Davidson,Davidson,277020.57,273517.7,3502.87
Davidson,External,12089.05,2258.5,9830.55
Davidson,Maury,1053.25,1034.15,19.1
Davidson,Robertson,1268.24,1227.22,41.02
Davidson,Rutherford,10687.16,10569.57,117.59
Davidson,Sumner,5414.01,5359.32,54.69
Davidson,Williamson,21942.21,21719.1,223.1
Davidson,Wilson,6155.09,6120.68,34.42
External,Davidson,12089.05,2258.5,9830.55
External,External,8399.61,37.74,8361.88
External,Maury,2710.69,676.72,2033.96
External,Robertson,1743.71,630.6,1113.11
External,Rutherford,4754.06,1562.9,3191.16
External,Sumner,2046.36,820.1,1226.26
External,Williamson,2906.12,759,2147.12
External,Wilson,1860.38,564.51,1295.87
Maury,Davidson,1852.47,1834.6,17.87
Maury,External,2710.69,676.72,2033.96
Maury,Maury,30564.8,29750.04,814.76
Maury,Robertson,52.98,52.85,0.13
Maury,Rutherford,286.05,276.38,9.67
Maury,Sumner,58.27,55.67,2.6
Maury,Williamson,6352.01,6218.19,133.81
Maury,Wilson,52.02,45.44,6.59
Robertson,Davidson,5533.46,5480.88,52.58
Robertson,External,1743.71,630.6,1113.11
Robertson,Maury,22.87,22.74,0.13
Robertson,Robertson,17545.83,17067.58,478.25
Robertson,Rutherford,76.93,76.76,0.17
Robertson,Sumner,2700.06,2675.52,24.54
Robertson,Williamson,186.6,183.69,2.91
Robertson,Wilson,104.59,101.93,2.66
Rutherford,Davidson,23814.9,23691.68,123.22
Rutherford,External,4754.06,1562.9,3191.16
Rutherford,Maury,327.1,317.03,10.08
Rutherford,Robertson,70.06,68.76,1.3
Rutherford,Rutherford,112004.11,110892.14,1111.98
Rutherford,Sumner,451.1,445.16,5.94
Rutherford,Williamson,5728.89,5690.59,38.3
Rutherford,Wilson,1968.47,1940.37,28.09
Sumner,Davidson,16166.47,16104.7,61.76
Sumner,External,2046.36,820.1,1226.26
Sumner,Maury,92.05,91.46,0.59
Sumner,Robertson,3139.54,3120.53,19.01
Sumner,Rutherford,476.8,473.6,3.2
Sumner,Sumner,46954,46501.23,452.77
Sumner,Williamson,851.36,849.24,2.12
Sumner,Wilson,936.3,932.58,3.72
Williamson,Davidson,22988.9,22835.11,153.79
Williamson,External,2906.12,759,2147.12
Williamson,Maury,3198.87,3133.14,65.73
Williamson,Robertson,85.63,83.91,1.72
Williamson,Rutherford,1552.43,1546.61,5.82
Williamson,Sumner,187.7,187.7,0
Williamson,Williamson,64436.57,63610.99,825.59
Williamson,Wilson,273.35,268.3,5.05
Wilson,Davidson,15792.01,15710.1,81.91
Wilson,External,1860.38,564.51,1295.87
Wilson,Maury,51.32,49.26,2.05
Wilson,Robertson,52.24,52.24,0
Wilson,Rutherford,1722.58,1706.61,15.97
Wilson,Sumner,1063,1059.32,3.68
Wilson,Williamson,959.32,959.32,0
Wilson,Wilson,32972.46,32539.8,432.67
