ZONE,COUNTY,RESIDENCY,QUANTITY
1,Davidson,RESIDENTS,1665.45
1,Davidson,VISITORS,8.74
2,Davidson,RESIDENTS,110.71
2,Davidson,VISITORS,1.42
3,Davidson,RESIDENTS,556.65
3,Davidson,VISITORS,5.33
4,Davidson,RESIDENTS,173.34
4,Davidson,VISITORS,4.93
5,Davidson,RESIDENTS,54.7
5,Davidson,VISITORS,8.09
6,Davidson,RESIDENTS,177.98
6,Davidson,VISITORS,15.66
7,Davidson,RESIDENTS,6659.5
7,Davidson,VISITORS,60.43
8,Davidson,RESIDENTS,2724.76
8,Davidson,VISITORS,51.84
9,Davidson,RESIDENTS,618
9,Davidson,VISITORS,2
10,Davidson,RESIDENTS,1245.46
10,Davidson,VISITORS,42.58
11,Davidson,RESIDENTS,4052.91
11,Davidson,VISITORS,70.3
12,Davidson,RESIDENTS,5767.44
12,Davidson,VISITORS,141.52
13,Davidson,RESIDENTS,10089.7
13,Davidson,VISITORS,320.06
14,Davidson,RESIDENTS,1684.33
14,Davidson,VISITORS,16.61
15,Davidson,RESIDENTS,2556.22
15,Davidson,VISITORS,32.72
16,Davidson,RESIDENTS,1483.89
16,Davidson,VISITORS,43.76
17,Davidson,RESIDENTS,3498.7
17,Davidson,VISITORS,81.86
18,Davidson,RESIDENTS,1325.07
18,Davidson,VISITORS,17.84
19,Davidson,RESIDENTS,1904.59
19,Davidson,VISITORS,37.34
20,Davidson,RESIDENTS,354.23
20,Davidson,VISITORS,11.96
21,Davidson,RESIDENTS,7352.71
21,Davidson,VISITORS,138.56
22,Davidson,RESIDENTS,2262.55
22,Davidson,VISITORS,35.92
23,Davidson,RESIDENTS,7218.65
23,Davidson,VISITORS,439.47
24,Davidson,RESIDENTS,1184.93
24,Davidson,VISITORS,10.57
25,Davidson,RESIDENTS,1106.31
25,Davidson,VISITORS,10.48
26,Davidson,RESIDENTS,1686.43
26,Davidson,VISITORS,9.63
27,Davidson,RESIDENTS,763.72
27,Davidson,VISITORS,4.96
28,Davidson,RESIDENTS,1926.12
28,Davidson,VISITORS,15.67
29,Davidson,RESIDENTS,1393.3
29,Davidson,VISITORS,11.5
30,Davidson,RESIDENTS,1581.74
30,Davidson,VISITORS,4.91
31,Davidson,RESIDENTS,1397.71
31,Davidson,VISITORS,24.08
32,Davidson,RESIDENTS,6672.38
32,Davidson,VISITORS,84.68
33,Davidson,RESIDENTS,1051.23
33,Davidson,VISITORS,84.83
34,Davidson,RESIDENTS,806.34
34,Davidson,VISITORS,16.47
35,Davidson,RESIDENTS,1103.49
35,Davidson,VISITORS,12.6
36,Davidson,RESIDENTS,586.3
36,Davidson,VISITORS,2.2
37,Davidson,RESIDENTS,4628.68
37,Davidson,VISITORS,25.22
38,Davidson,RESIDENTS,967.19
38,Davidson,VISITORS,6.49
39,Davidson,RESIDENTS,3384.93
39,Davidson,VISITORS,28.79
40,Davidson,RESIDENTS,1507.6
40,Davidson,VISITORS,18.41
41,Davidson,RESIDENTS,1891.64
41,Davidson,VISITORS,3.72
42,Davidson,RESIDENTS,642.27
