FROM,TO,TOTAL,RESIDENTS,VISITORS
Davidson,Davidson,702105.78,684763.08,17342.7
Davidson,External,21560.55,5301.5,16259.05
Davidson,Maury,1730.23,1661.55,68.68
Davidson,Robertson,4149.11,4045.15,103.96
Davidson,Rutherford,25384.34,24839.53,544.81
Davidson,Sumner,16223.02,15938.4,284.63
Davidson,Williamson,43145.51,42223.57,921.95
Davidson,Wilson,16856.32,16531.53,324.79
External,Davidson,21560.55,5301.5,16259.05
External,External,23093.47,124.16,22969.32
External,Maury,4581.01,1395.54,3185.47
External,Robertson,3670.39,1417.49,2252.9
External,Rutherford,8795.03,3142.73,5652.3
External,Sumner,4267.23,1831.83,2435.4
External,Williamson,5612.46,1892.59,3719.87
External,Wilson,3597.43,1305.12,2292.31
Maury,Davidson,1777.92,1731.2,46.72
Maury,External,4581.01,1395.54,3185.47
Maury,Maury,71690.19,67208.95,4481.24
Maury,Robertson,57.96,55.08,2.88
Maury,Rutherford,508.39,486.5,21.89
Maury,Sumner,79.87,76.51,3.36
Maury,Williamson,10586.32,10273.25,313.07
Maury,Wilson,96.56,90.26,6.3
Robertson,Davidson,5150.53,4997.82,152.7
Robertson,External,3670.39,1417.49,2252.9
Robertson,Maury,36.07,33.99,2.08
Robertson,Robertson,47477.6,45271.51,2206.09
Robertson,Rutherford,222.36,214.65,7.72
Robertson,Sumner,6175.54,6086.29,89.25
Robertson,Williamson,250.88,247.29,3.59
Robertson,Wilson,130.16,127,3.16
Rutherford,Davidson,27522.54,26967.37,555.17
Rutherford,External,8795.03,3142.73,5652.3
Rutherford,Maury,504.66,470.18,34.48
Rutherford,Robertson,139.76,135.76,4
Rutherford,Rutherford,265678.01,258809.2,6868.81
Rutherford,Sumner,687.06,673.7,13.36
Rutherford,Williamson,5167.91,5057.63,110.28
Rutherford,Wilson,3077.55,3007.94,69.61
Sumner,Davidson,19241.47,19019.72,221.75
Sumner,External,4267.23,1831.83,2435.4
Sumner,Maury,83.45,79.28,4.17
Sumner,Robertson,6689.02,6622.9,66.12
Sumner,Rutherford,737.86,719.14,18.72
Sumner,Sumner,120196.3,118097.22,2099.08
Sumner,Williamson,1017.56,1011.19,6.36
Sumner,Wilson,1516.98,1491.44,25.54
Williamson,Davidson,42412.06,41483.78,928.28
Williamson,External,5612.46,1892.59,3719.87
Williamson,Maury,10285.06,9938.8,346.26
Williamson,Robertson,148.45,141.17,7.28
Williamson,Rutherford,4515.25,4402.78,112.47
Williamson,Sumner,730.92,720.34,10.58
Williamson,Williamson,193547.57,188121.72,5425.85
Williamson,Wilson,943.69,911.12,32.57
Wilson,Davidson,20516.96,20207.86,309.11
Wilson,External,3597.43,1305.12,2292.31
Wilson,Maury,125.67,106,19.66
Wilson,Robertson,159.29,158.26,1.04
Wilson,Rutherford,3043.5,2969.83,73.67
Wilson,Sumner,1860.03,1833.48,26.55
Wilson,Williamson,1092.95,1077.01,15.94
Wilson,Wilson,88397.13,85869.52,2527.61
