FROM,TO,TOTAL,RESIDENTS,VISITORS
Davidson,Davidson,626932.7,621529.85,5402.85
Davidson,External,24886.75,5731.86,19154.9
Davidson,Maury,2198.94,2161.19,37.75
Davidson,Robertson,5502.97,5420.51,82.46
Davidson,Rutherford,32109.8,31860.99,248.81
Davidson,Sumner,17947.96,17818.31,129.65
Davidson,Williamson,34073.19,33802.05,271.14
Davidson,Wilson,19456.73,19337.17,119.57
External,Davidson,24886.75,5731.86,19154.9
External,External,26201.5,164.91,26036.59
External,Maury,4963.83,1493.46,3470.37
External,Robertson,3921.64,1353.65,2568
External,Rutherford,9876.78,3493.78,6382.99
External,Sumner,4601.36,1917.55,2683.81
External,Williamson,5448.58,1662.32,3786.26
External,Wilson,3929.22,1311.12,2618.1
Maury,Davidson,1828.55,1778.42,50.13
Maury,External,4963.83,1493.46,3470.37
Maury,Maury,54502.45,53249.84,1252.62
Maury,Robertson,53.29,51.26,2.03
Maury,Rutherford,583.24,566.87,16.38
Maury,Sumner,108.33,106.87,1.46
Maury,Williamson,8451.19,8356.51,94.68
Maury,Wilson,105.43,98.89,6.54
Robertson,Davidson,4652.21,4577.36,74.85
Robertson,External,3921.64,1353.65,2568
Robertson,Maury,129.17,126.76,2.41
Robertson,Robertson,39671.61,38813.95,857.65
Robertson,Rutherford,193.18,179.77,13.41
Robertson,Sumner,5265.99,5226.75,39.24
Robertson,Williamson,193.14,183.98,9.15
Robertson,Wilson,154.18,154.18,0
Rutherford,Davidson,30162.19,29906.98,255.21
Rutherford,External,9876.78,3493.78,6382.99
Rutherford,Maury,563.23,550.26,12.97
Rutherford,Robertson,179.74,166.84,12.9
Rutherford,Rutherford,228754.94,226795.31,1959.63
Rutherford,Sumner,729.61,723.4,6.21
Rutherford,Williamson,3687.82,3662.9,24.92
Rutherford,Wilson,3107.59,3052.78,54.8
Sumner,Davidson,15550.11,15465.44,84.67
Sumner,External,4601.36,1917.55,2683.81
Sumner,Maury,95.21,90.85,4.36
Sumner,Robertson,5797.1,5721.14,75.96
Sumner,Rutherford,661.81,659.69,2.12
Sumner,Sumner,88410.76,87470.7,940.06
Sumner,Williamson,777.3,768.83,8.46
Sumner,Wilson,1624.37,1610.45,13.92
Williamson,Davidson,33223.5,33007.53,215.97
Williamson,External,5448.58,1662.32,3786.26
Williamson,Maury,8956.92,8850.49,106.44
Williamson,Robertson,260.87,258.43,2.44
Williamson,Rutherford,5128.61,5079.39,49.21
Williamson,Sumner,776.1,774.78,1.32
Williamson,Williamson,108880.46,107826.2,1054.26
Williamson,Wilson,945.25,939.92,5.33
Wilson,Davidson,18377.35,18256.59,120.76
Wilson,External,3929.22,1311.12,2618.1
Wilson,Maury,89.54,88.14,1.4
Wilson,Robertson,145.42,142.9,2.52
Wilson,Rutherford,3090.37,3036.27,54.1
Wilson,Sumner,1601.57,1590.72,10.85
Wilson,Williamson,642.29,638.79,3.5
Wilson,Wilson,66396.8,65667.22,729.59
