FROM,TO,AM_TOTAL,MD_TOTAL,OP_TOTAL,PM_TOTAL,AM_RESIDENTS,MD_RESIDENTS,OP_RESIDENTS,PM_RESIDENTS,AM_VISITORS,MD_VISITORS,OP_VISITORS,PM_VISITORS
Davidson,Davidson,277020.57,702105.78,626932.7,559885.35,273517.7,684763.08,621529.85,551501.01,3502.87,17342.7,5402.85,8384.34
Davidson,External,12089.05,21560.55,24886.75,19564.23,2258.5,5301.5,5731.86,4094.61,9830.55,16259.05,19154.9,15469.62
Davidson,Maury,1053.25,1730.23,2198.94,2439.2,1034.15,1661.55,2161.19,2380.85,19.1,68.68,37.75,58.35
Davidson,Robertson,1268.24,4149.11,5502.97,7548.3,1227.22,4045.15,5420.51,7388.49,41.02,103.96,82.46,159.81
Davidson,Rutherford,10687.16,25384.34,32109.8,32131.99,10569.57,24839.53,31860.99,31857.51,117.59,544.81,248.81,274.48
Davidson,Sumner,5414.01,16223.02,17947.96,22872.74,5359.32,15938.4,17818.31,22738.24,54.69,284.63,129.65,134.5
Davidson,Williamson,21942.21,43145.51,34073.19,40981.34,21719.1,42223.57,33802.05,40486.72,223.1,921.95,271.14,494.62
Davidson,Wilson,6155.09,16856.32,19456.73,23719.95,6120.68,16531.53,19337.17,23509.75,34.42,324.79,119.57,210.2
External,Davidson,12089.05,21560.55,24886.75,19564.23,2258.5,5301.5,5731.86,4094.61,9830.55,16259.05,19154.9,15469.62
External,External,8399.61,23093.47,26201.5,15835.86,37.74,124.16,164.91,92.7,8361.88,22969.32,26036.59,15743.16
External,Maury,2710.69,4581.01,4963.83,4474.09,676.72,1395.54,1493.46,1248.46,2033.96,3185.47,3470.37,3225.63
External,Robertson,1743.71,3670.39,3921.64,3194.28,630.6,1417.49,1353.65,1310.78,1113.11,2252.9,2568,1883.5
External,Rutherford,4754.06,8795.03,9876.78,8126.81,1562.9,3142.73,3493.78,2720.95,3191.16,5652.3,6382.99,5405.85
External,Sumner,2046.36,4267.23,4601.36,3731.81,820.1,1831.83,1917.55,1540.18,1226.26,2435.4,2683.81,2191.63
External,Williamson,2906.12,5612.46,5448.58,5149.86,759,1892.59,1662.32,1615.67,2147.12,3719.87,3786.26,3534.19
