FROM,TO,TOTAL,RESIDENTS,VISITORS
Davidson,Davidson,2165944.41,2131311.64,34632.76
Davidson,External,78100.59,17386.46,60714.12
Davidson,Maury,7421.62,7237.74,183.88
Davidson,Robertson,18468.62,18081.38,387.24
Davidson,Rutherford,100313.29,99127.59,1185.7
Davidson,Sumner,62457.74,61854.27,603.47
Davidson,Williamson,140142.25,138231.44,1910.81
Davidson,Wilson,66188.1,65499.13,688.97
External,Davidson,78100.59,17386.46,60714.12
External,External,73530.44,419.51,73110.94
External,Maury,16729.62,4814.19,11915.44
External,Robertson,12530.02,4712.52,7817.51
External,Rutherford,31552.67,10920.37,20632.31
External,Sumner,14646.76,6109.67,8537.09
External,Williamson,19117.01,5929.57,13187.44
External,Wilson,12460.3,4147.64,8312.67
Maury,Davidson,6822.96,6667.68,155.28
Maury,External,16729.62,4814.19,11915.44
Maury,Maury,218854.87,209777.77,9077.09
Maury,Robertson,223.53,213.81,9.72
Maury,Rutherford,1848.22,1781.77,66.45
Maury,Sumner,346.06,336.7,9.35
Maury,Williamson,33181.02,32481.44,699.57
Maury,Wilson,319.91,297.17,22.74
Robertson,Davidson,18736.39,18375.35,361.04
Robertson,External,12530.02,4712.52,7817.51
Robertson,Maury,227.17,215.06,12.11
Robertson,Robertson,144934.07,140316.41,4617.66
Robertson,Rutherford,657.6,627.34,30.26
Robertson,Sumner,20050.78,19859.84,190.94
Robertson,Williamson,752,735.16,16.84
Robertson,Wilson,537.11,525.16,11.95
Rutherford,Davidson,100474.42,99298.76,1175.65
Rutherford,External,31552.67,10920.37,20632.31
Rutherford,Maury,1876.58,1803.88,72.7
Rutherford,Robertson,513.9,490.72,23.18
Rutherford,Rutherford,855303.43,841473.13,13830.3
Rutherford,Sumner,2494.86,2463.87,30.99
Rutherford,Williamson,17722.24,17499.15,223.08
Rutherford,Wilson,10831.47,10641.24,190.22
Sumner,Davidson,63200.96,62677.12,523.84
Sumner,External,14646.76,6109.67,8537.09
Sumner,Maury,348.59,338.64,9.95
Sumner,Robertson,22754.06,22514.9,239.16
Sumner,Rutherford,2540.36,2509.34,31.02
Sumner,Sumner,363747.67,359054.41,4693.25
Sumner,Williamson,3137.74,3112.03,25.71
Sumner,Wilson,5754.98,5686.71,68.27
Williamson,Davidson,139006.07,137252.5,1753.56
Williamson,External,19117.01,5929.57,13187.44
Williamson,Maury,34306.79,33570.22,736.57
Williamson,Robertson,808.55,791.17,17.38
Williamson,Rutherford,19439.69,19183.38,256.31
Williamson,Sumner,2883.52,2869.87,13.65
Williamson,Williamson,527446.78,517791.04,9655.74
Williamson,Wilson,3470.95,3388.96,82
Wilson,Davidson,68637.78,68025.87,611.91
Wilson,External,12460.3,4147.64,8312.67
Wilson,Maury,340.44,312.69,27.75
Wilson,Robertson,501.85,498.3,3.56
Wilson,Rutherford,10962.99,10774.49,188.51
Wilson,Sumner,6254.65,6191.64,63.02
Wilson,Williamson,3180.08,3148.81,31.28
Wilson,Wilson,263666.2,258525.17,5141.03
