FROM,TO,TOTAL,RESIDENTS,VISITORS
Davidson,Davidson,559885.35,551501.01,8384.34
Davidson,External,19564.23,4094.61,15469.62
Davidson,Maury,2439.2,2380.85,58.35
Davidson,Robertson,7548.3,7388.49,159.81
Davidson,Rutherford,32131.99,31857.51,274.48
Davidson,Sumner,22872.74,22738.24,134.5
Davidson,Williamson,40981.34,40486.72,494.62
Davidson,Wilson,23719.95,23509.75,210.2
External,Davidson,19564.23,4094.61,15469.62
External,External,15835.86,92.7,15743.16
External,Maury,4474.09,1248.46,3225.63
External,Robertson,3194.28,1310.78,1883.5
External,Rutherford,8126.81,2720.95,5405.85
External,Sumner,3731.81,1540.18,2191.63
External,Williamson,5149.86,1615.67,3534.19
External,Wilson,3073.27,966.89,2106.38
Maury,Davidson,1364.02,1323.47,40.56
Maury,External,4474.09,1248.46,3225.63
Maury,Maury,62097.42,59568.94,2528.48
Maury,Robertson,59.3,54.63,4.68
Maury,Rutherford,470.53,452.02,18.51
Maury,Sumner,99.6,97.66,1.94
Maury,Williamson,7791.51,7633.49,158.02
Maury,Wilson,65.89,62.58,3.31
Robertson,Davidson,3400.19,3319.28,80.91
Robertson,External,3194.28,1310.78,1883.5
Robertson,Maury,39.06,31.57,7.49
Robertson,Robertson,40239.04,39163.38,1075.66
Robertson,Rutherford,165.13,156.17,8.97
Robertson,Sumner,5909.19,5871.29,37.91
Robertson,Williamson,121.37,120.19,1.19
Robertson,Wilson,148.19,142.06,6.13
Rutherford,Davidson,18974.79,18732.74,242.05
Rutherford,External,8126.81,2720.95,5405.85
Rutherford,Maury,481.59,466.41,15.18
Rutherford,Robertson,124.35,119.36,4.99
Rutherford,Rutherford,248866.37,244976.48,3889.89
Rutherford,Sumner,627.08,621.6,5.48
Rutherford,Williamson,3137.62,3088.03,49.59
Rutherford,Wilson,2677.87,2640.15,37.72
Sumner,Davidson,12242.9,12087.25,155.65
Sumner,External,3731.81,1540.18,2191.63
Sumner,Maury,77.88,77.05,0.84
Sumner,Robertson,7128.4,7050.33,78.07
Sumner,Rutherford,663.88,656.91,6.97
Sumner,Sumner,108186.6,106985.26,1201.34
Sumner,Williamson,491.52,482.76,8.76
Sumner,Wilson,1677.33,1652.24,25.09
Williamson,Davidson,40381.61,39926.08,455.53
Williamson,External,5149.86,1615.67,3534.19
Williamson,Maury,11865.93,11647.8,218.13
Williamson,Robertson,313.59,307.66,5.93
Williamson,Rutherford,8243.4,8154.6,88.8
Williamson,Sumner,1188.79,1187.05,1.75
Williamson,Williamson,160582.19,158232.13,2350.06
Williamson,Wilson,1308.66,1269.61,39.04
Wilson,Davidson,13951.46,13851.32,100.13
Wilson,External,3073.27,966.89,2106.38
Wilson,Maury,73.92,69.29,4.63
Wilson,Robertson,144.9,144.9,0
Wilson,Rutherford,3106.54,3061.78,44.77
Wilson,Sumner,1730.05,1708.11,21.94
Wilson,Williamson,485.51,473.67,11.84
Wilson,Wilson,75899.8,74448.63,1451.17
