FROM ,TO ,TOTAL,SHORT,LONG
District.1,District.1,"421,487","417,261","4,226"
District.1,District.2,"26,414","19,592","6,822"
District.1,District.3,"3,498","2,933",565
District.1,District.4,"4,877","3,431","1,446"
District.1,District.5,0,0,0
District.1,District.6,0,0,0
District.1,District.7,0,0,0
District.1,District.8,0,0,0
District.1,Colorado,0,0,0
District.1,Iowa,565,170,395
District.1,Kansas,550,537,12
District.1,South.Dakota,0,0,0
District.1,Wyoming,0,0,0
District.2,District.1,"26,012","19,292","6,721"
District.2,District.2,"513,913","513,344",569
District.2,District.3,"4,243","3,779",463
District.2,District.4,10,0,10
District.2,District.5,0,0,0
District.2,District.6,0,0,0
District.2,District.7,0,0,0
District.2,District.8,0,0,0
District.2,Colorado,0,0,0
District.2,Iowa,"42,510","42,376",134
District.2,Kansas,1,0,1
District.2,South.Dakota,0,0,0
District.2,Wyoming,0,0,0
District.3,District.1,"3,650","3,065",585
District.3,District.2,"6,264","5,622",641
District.3,District.3,"122,147","117,986","4,161"
District.3,District.4,"5,352","4,712",640
District.3,District.5,0,0,0
District.3,District.6,0,0,0
District.3,District.7,0,0,0
District.3,District.8,759,526,233
District.3,Colorado,0,0,0
District.3,Iowa,"2,193","1,954",240
District.3,Kansas,0,0,0
District.3,South.Dakota,173,93,80
District.3,Wyoming,0,0,0
District.4,District.1,"4,617","3,219","1,397"
District.4,District.2,0,0,0
District.4,District.3,"5,340","4,721",619
District.4,District.4,"151,356","145,722","5,634"
District.4,District.5,0,0,0
District.4,District.6,"3,642","2,941",701
District.4,District.7,"5,510","4,630",880
District.4,District.8,"1,126","1,078",48
District.4,Colorado,0,0,0
District.4,Iowa,0,0,0
District.4,Kansas,179,168,11
District.4,South.Dakota,0,0,0
District.4,Wyoming,0,0,0
District.5,District.1,0,0,0
District.5,District.2,0,0,0
District.5,District.3,0,0,0
District.5,District.4,0,0,0
District.5,District.5,"73,867","70,114","3,753"
District.5,District.6,605,522,83
District.5,District.7,62,53,9
District.5,District.8,61,50,11
District.5,Colorado,74,62,12
District.5,Iowa,0,0,0
District.5,Kansas,0,0,0
District.5,South.Dakota,286,201,85
District.5,Wyoming,487,477,10
District.6,District.1,0,0,0
District.6,District.2,0,0,0
District.6,District.3,0,0,0
District.6,District.4,"3,591","2,916",675
District.6,District.5,629,554,75
District.6,District.6,"52,041","49,394","2,646"
District.6,District.7,"5,377","4,668",709
District.6,District.8,550,355,195
District.6,Colorado,2,1,0
District.6,Iowa,0,0,0
District.6,Kansas,0,0,0
District.6,South.Dakota,0,0,0
District.6,Wyoming,0,0,0
District.7,District.1,0,0,0
District.7,District.2,0,0,0
District.7,District.3,0,0,0
District.7,District.4,"5,731","4,906",825
District.7,District.5,53,40,14
District.7,District.6,"5,299","4,619",680
District.7,District.7,"28,030","27,586",444
District.7,District.8,0,0,0
District.7,Colorado,18,16,2
District.7,Iowa,0,0,0
District.7,Kansas,136,127,8
District.7,South.Dakota,0,0,0
District.7,Wyoming,0,0,0
District.8,District.1,0,0,0
District.8,District.2,0,0,0
District.8,District.3,804,593,211
District.8,District.4,"1,052","1,024",29
District.8,District.5,54,52,1
District.8,District.6,550,329,221
District.8,District.7,0,0,0
District.8,District.8,"11,736","11,401",335
District.8,Colorado,0,0,0
District.8,Iowa,1,0,1
District.8,Kansas,0,0,0
District.8,South.Dakota,66,64,2
District.8,Wyoming,0,0,0
Colorado,District.1,0,0,0
Colorado,District.2,0,0,0
Colorado,District.3,0,0,0
Colorado,District.4,0,0,0
Colorado,District.5,68,55,13
Colorado,District.6,2,2,0
Colorado,District.7,17,16,1
Colorado,District.8,0,0,0
Colorado,Colorado,0,0,0
Colorado,Iowa,"5,555",0,"5,555"
Colorado,Kansas,"1,161",14,"1,147"
Colorado,South.Dakota,48,0,48
Colorado,Wyoming,"1,259",0,"1,259"
Iowa,District.1,536,183,353
Iowa,District.2,"41,358","41,053",304
Iowa,District.3,"2,159","2,076",83
Iowa,District.4,0,0,0
Iowa,District.5,0,0,0
Iowa,District.6,0,0,0
Iowa,District.7,0,0,0
Iowa,District.8,2,0,2
Iowa,Colorado,"5,286",0,"5,286"
Iowa,Iowa,743,300,443
Iowa,Kansas,"3,767",40,"3,727"
Iowa,South.Dakota,"19,643",130,"19,513"
Iowa,Wyoming,977,0,977
Kansas,District.1,599,587,13
Kansas,District.2,4,0,4
Kansas,District.3,0,0,0
Kansas,District.4,198,190,8
Kansas,District.5,0,0,0
Kansas,District.6,0,0,0
Kansas,District.7,158,146,12
Kansas,District.8,0,0,0
Kansas,Colorado,"1,112",14,"1,098"
Kansas,Iowa,"3,215",40,"3,175"
Kansas,Kansas,0,0,0
Kansas,South.Dakota,62,0,62
Kansas,Wyoming,751,0,751
South.Dakota,District.1,0,0,0
South.Dakota,District.2,0,0,0
South.Dakota,District.3,282,140,142
South.Dakota,District.4,0,0,0
South.Dakota,District.5,324,227,97
South.Dakota,District.6,0,0,0
South.Dakota,District.7,0,0,0
South.Dakota,District.8,50,49,1
South.Dakota,Colorado,53,0,53
South.Dakota,Iowa,"20,618",130,"20,488"
South.Dakota,Kansas,77,0,77
South.Dakota,South.Dakota,0,0,0
South.Dakota,Wyoming,234,0,234
Wyoming,District.1,0,0,0
Wyoming,District.2,0,0,0
Wyoming,District.3,0,0,0
Wyoming,District.4,0,0,0
Wyoming,District.5,458,448,10
Wyoming,District.6,0,0,0
Wyoming,District.7,0,0,0
Wyoming,District.8,0,0,0
Wyoming,Colorado,"1,177",0,"1,177"
Wyoming,Iowa,849,0,849
Wyoming,Kansas,680,0,680
Wyoming,South.Dakota,235,0,235
Wyoming,Wyoming,0,0,0
Missouri,Colorado,0,0,0
Missouri,District.1,0,0,0
Missouri,District.2,0,0,0
Missouri,District.3,0,0,0
Missouri,District.4,0,0,0
Missouri,District.5,0,0,0
Missouri,District.6,0,0,0
Missouri,District.7,0,0,0
Missouri,District.8,0,0,0
