FROM,TO,TOTAL,SHORT,LONG
District.1,District.1,32447,224273,16223
District.1,District.2,16461,3098,8230
District.1,District.3,831,496,415
District.1,District.4,1627,590,814
District.1,District.5,0,0,0
District.1,District.6,0,0,0
District.1,District.7,0,0,0
District.1,District.8,0,0,0
District.1,Colorado,0,0,0
District.1,Iowa,698,615,349
District.1,Kansas,262,595,131
District.1,South.Dakota,0,0,0
District.1,Wyoming,0,0,0
District.2,District.1,16301,3107,8150
District.2,District.2,14577,337347,7289
District.2,District.3,1998,642,999
District.2,District.4,1,0,0
District.2,District.5,0,0,0
District.2,District.6,0,0,0
District.2,District.7,0,0,0
District.2,District.8,0,0,0
District.2,Colorado,1,0,0
District.2,Iowa,2383,21851,1191
District.2,Kansas,3,0,1
District.2,South.Dakota,0,0,0
District.2,Wyoming,1,0,0
District.3,District.1,816,490,408
District.3,District.2,2007,642,1003
District.3,District.3,11170,33566,5585
District.3,District.4,521,680,261
District.3,District.5,0,0,0
District.3,District.6,0,0,0
District.3,District.7,0,0,0
District.3,District.8,210,67,105
District.3,Colorado,0,0,0
District.3,Iowa,1327,6591,664
District.3,Kansas,0,0,0
District.3,South.Dakota,668,360,334
District.3,Wyoming,0,0,0
District.4,District.1,1660,577,830
District.4,District.2,0,0,0
District.4,District.3,530,674,265
District.4,District.4,18758,50526,9379
District.4,District.5,0,0,0
District.4,District.6,1295,207,647
District.4,District.7,1773,1029,886
District.4,District.8,60,118,30
District.4,Colorado,0,0,0
District.4,Iowa,0,0,0
District.4,Kansas,55,228,28
District.4,South.Dakota,0,0,0
District.4,Wyoming,0,0,0
District.5,District.1,0,0,0
District.5,District.2,0,0,0
District.5,District.3,0,0,0
District.5,District.4,0,0,0
District.5,District.5,4303,24101,2151
District.5,District.6,109,94,54
District.5,District.7,36,0,18
District.5,District.8,2,12,1
District.5,Colorado,271,211,136
District.5,Iowa,0,0,0
District.5,Kansas,0,0,0
District.5,South.Dakota,143,98,71
District.5,Wyoming,195,434,97
District.6,District.1,0,0,0
District.6,District.2,0,0,0
District.6,District.3,0,0,0
District.6,District.4,1297,201,649
District.6,District.5,104,91,52
District.6,District.6,3665,18529,1833
District.6,District.7,977,657,488
District.6,District.8,184,14,92
District.6,Colorado,13,25,6
District.6,Iowa,0,0,0
District.6,Kansas,0,0,0
District.6,South.Dakota,0,0,0
District.6,Wyoming,0,0,0
District.7,District.1,0,0,0
District.7,District.2,0,0,0
District.7,District.3,0,0,0
District.7,District.4,1825,1085,913
District.7,District.5,29,0,15
District.7,District.6,936,655,468
District.7,District.7,2722,9545,1361
District.7,District.8,0,0,0
District.7,Colorado,82,60,41
District.7,Iowa,0,0,0
District.7,Kansas,116,274,58
District.7,South.Dakota,0,0,0
District.7,Wyoming,0,0,0
District.8,District.1,0,0,0
District.8,District.2,0,0,0
District.8,District.3,205,65,103
District.8,District.4,52,119,26
District.8,District.5,2,12,1
District.8,District.6,191,15,95
District.8,District.7,0,0,0
District.8,District.8,1233,3425,617
District.8,Colorado,0,0,0
District.8,Iowa,3,0,1
District.8,Kansas,0,0,0
District.8,South.Dakota,99,154,49
District.8,Wyoming,0,0,0
Colorado,District.1,0,0,0
Colorado,District.2,1,0,0
Colorado,District.3,0,0,0
Colorado,District.4,0,0,0
