AGE_GROUP,FREQUENCY,PERSON,CHART
18-34,Never,325185.322829999,BIKE_USE_FREQUENCY
18-34,A few times per year,73417.55318,BIKE_USE_FREQUENCY
18-34,1-3 days per month,30446.63576,BIKE_USE_FREQUENCY
18-34,1-3 days per week,19025.43522,BIKE_USE_FREQUENCY
18-34,4+ days per week,12193.32529,BIKE_USE_FREQUENCY
35-54,Never,457584.45456,BIKE_USE_FREQUENCY
35-54,A few times per year,159066.61146,BIKE_USE_FREQUENCY
35-54,1-3 days per week,66902.60501,BIKE_USE_FREQUENCY
35-54,1-3 days per month,60029.03123,BIKE_USE_FREQUENCY
35-54,4+ days per week,23472.92923,BIKE_USE_FREQUENCY
55+,Never,713073.723110001,BIKE_USE_FREQUENCY
55+,A few times per year,130715.78879,BIKE_USE_FREQUENCY
55+,1-3 days per week,89677.63186,BIKE_USE_FREQUENCY
55+,1-3 days per month,50786.37311,BIKE_USE_FREQUENCY
55+,4+ days per week,47599.40609,BIKE_USE_FREQUENCY
Total,Never,1495843.5005,BIKE_USE_FREQUENCY
Total,A few times per year,363199.95343,BIKE_USE_FREQUENCY
Total,1-3 days per week,175605.67209,BIKE_USE_FREQUENCY
Total,1-3 days per month,141262.0401,BIKE_USE_FREQUENCY
Total,4+ days per week,83265.66061,BIKE_USE_FREQUENCY
