AGE_GROUP,FREQUENCY,PERSON,CHART
18-34,Never,192464.384190001,TELECOMMUTE_FREQUENCY
18-34,4+ days per week,55775.88748,TELECOMMUTE_FREQUENCY
18-34,1-3 days per week,39794.61317,TELECOMMUTE_FREQUENCY
18-34,A few times per year,20805.19564,TELECOMMUTE_FREQUENCY
18-34,1-3 days per month,6364.99729,TELECOMMUTE_FREQUENCY
35-54,Never,314288.08724,TELECOMMUTE_FREQUENCY
35-54,4+ days per week,67176.54716,TELECOMMUTE_FREQUENCY
35-54,A few times per year,65521.90841,TELECOMMUTE_FREQUENCY
35-54,1-3 days per week,59559.46456,TELECOMMUTE_FREQUENCY
35-54,1-3 days per month,38920.68492,TELECOMMUTE_FREQUENCY
55+,Never,220470.13724,TELECOMMUTE_FREQUENCY
55+,A few times per year,29302.22541,TELECOMMUTE_FREQUENCY
55+,1-3 days per month,24191.33475,TELECOMMUTE_FREQUENCY
55+,4+ days per week,24107.08041,TELECOMMUTE_FREQUENCY
55+,1-3 days per week,18974.13921,TELECOMMUTE_FREQUENCY
