FROM,TO,TRIPS
39,999,116.14879
41,999,32.17132
42,999,1230.62966
43,999,18.29782
44,999,142.88559
45,999,133.29332
46,999,321.73513
47,999,213.76914
48,999,5906.66969
49,999,3153.43351
50,999,621.1455
51,999,39.52553
52,999,2694.62287
53,999,791.11643
54,999,626.04014
43,1,180.76869
40,1,248.20237
45,1,2331.08397
42,1,0
42,2,0
42,3,1631.13484
45,3,2322.90179
39,3,0
51,3,0
40,3,138.89494
53,3,149.7468
42,4,211.44448
40,4,139.13541
53,4,4006.5988
42,5,0
48,5,138.90833
44,5,0
42,6,0
42,9,2609.4261
43,9,149.74089
39,9,0
52,9,0
53,9,1.02566
54,9,39.52553
40,9,0
49,10,0
42,10,33.66607
41,10,32.17132
53,10,52.74271
45,11,0
42,11,150.04624
40,11,0
42,12,100.80618
39,12,33.24174
54,12,0
43,12,149.86318
54,14,0
42,14,0
44,14,0
42,16,26.66832
42,17,39.52553
42,18,0
43,19,118.40302
42,19,32.51243
39,20,149.89332
51,20,513.07672
39,21,41.26762
40,21,84.01617
42,21,123.80286
53,21,32.83955
41,21,98.27294
48,23,0
42,24,79.11249
42,25,595.24814
40,26,40.24512
42,26,0
43,27,0
47,27,0
42,29,1275.97518
39,30,5082.97774
42,30,6738.92171
40,30,67.70201
43,30,0
51,30,1.1909
45,30,0
47,30,0
53,30,370.32834
52,30,0
39,31,4170.11165
40,31,56.27094
42,31,7467.92345
43,31,3565.56085
42,32,3995.35999
40,32,0
43,32,26.53765
43,33,18.28361
44,33,0
45,33,0
42,33,80.49028
39,34,461.65214
42,34,315.05814
43,34,4679.87494
40,35,37.51396
42,35,171.63322
43,35,321.03083
42,36,610.95853
45,36,284.0481
51,36,0
44,36,0
40,36,18.34171
53,36,2883.63426
45,37,0
45,38,3579.12979
42,38,0
44,38,0
53,38,53.2122
21,39,0
33,39,0
39,39,5427.89626
40,39,5293.11393
42,39,15575.67382
43,39,84.01617
30,39,2707.69882
34,39,248.27607
11,39,98.28578
20,39,98.3691
31,39,1276.2715
999,39,116.14879
51,39,49.43754
36,39,0
53,39,84.66308
9,39,0
3,40,98.27309
42,40,24217.48088
53,40,279.03942
30,40,72.99168
39,40,728.84995
40,40,60852.38301
43,40,6620.15802
41,40,0
4,40,98.44323
29,40,0
6,40,146.71304
31,40,0
21,40,84.01617
52,40,0
1,40,1673.23944
44,40,115.47525
47,40,820.6184
54,40,0
999,40,0
32,40,0
35,40,37.51396
42,41,120.77313
53,41,887.26334
41,41,268.19562
43,41,3385.1055
21,41,98.27294
44,41,0
45,41,0
999,41,22.76235
10,41,22.76235
39,42,15396.12071
40,42,22033.46926
42,42,159223.89022
31,42,2042.41242
999,42,2492.72546
30,42,9743.33082
38,42,26.6061
43,42,7091.2795
4,42,161.16429
34,42,7346.67706
9,42,521.60803
53,42,2678.55085
12,42,134.04792
41,42,421.99904
49,42,346.61478
11,42,98.46945
32,42,10379.4944
36,42,332.58003
18,42,41.26762
21,42,199.70575
25,42,0
26,42,40.24512
44,42,1239.80073
14,42,831.7589
48,42,100.62937
35,42,133.56431
33,42,80.49028
45,42,138.56183
3,42,1090.41817
10,42,23.81993
19,42,23.0037
2,42,0
24,42,79.11249
16,42,6.09454
52,42,23.15402
1,42,0
29,42,902.79766
32,43,236.74572
40,43,4740.78607
42,43,15059.05527
43,43,30220.10089
41,43,3043.51332
12,43,98.34932
33,43,0
37,43,0
45,43,53.09724
53,43,974.32637
9,43,105.94699
34,43,3307.16646
17,43,118.40302
999,43,0
35,43,453.7311
39,43,40.24514
1,43,141.12901
26,43,0
30,43,18.29782
36,43,0
44,43,0
38,43,26.6061
11,43,0
