FROM,TO,TRIPS
1,999,0
2,999,6413.58821
3,999,575.39128
4,999,929.7005
5,999,151.00017
6,999,1458.28316
7,999,4454.03109
8,999,6078.02051
9,999,12035.3667
10,999,5198.25341
11,999,9634.19602
12,999,3575.29412
13,999,369.64158
14,999,19510.84029
15,999,178.63164
1,1,157649.40579
3,1,60839.0209
17,1,2248.54732
21,1,272.93573
35,1,14618.31365
8,1,4.25032
12,1,10447.80855
4,1,32557.63998
9,1,10458.93864
20,1,3658.69019
36,1,4971.98064
5,1,3943.33265
32,1,14411.68824
999,1,0
2,1,15551.31224
6,1,3179.29192
11,1,5212.00688
23,1,0
34,1,22.72942
19,1,100.32336
29,1,177.33365
30,1,375.06909
14,1,788.97454
7,1,5.36536
43,1,180.76869
26,1,190.45279
40,1,248.20237
33,1,12160.13148
45,1,2331.08397
10,1,165.89987
24,1,26.36389
18,1,79.68498
42,1,0
38,1,99.26557
27,1,0
2,2,71382.8727500001
3,2,2662.51341
4,2,29199.44284
5,2,30980.34277
6,2,8795.34989
9,2,1969.51165
11,2,7309.84043
12,2,5037.76686
14,2,180.32439
21,2,1037.53959
36,2,16966.1726
32,2,112.48545
999,2,5514.13097
1,2,16483.21483
42,2,0
13,2,2639.6616
10,2,20.87423
16,2,0
7,2,1172.65595
15,2,3.36212
29,2,537.50545
18,2,0
8,2,652.95652
19,2,1948.23989
33,2,1050.5526
37,2,605.39633
25,2,495.92637
30,2,139.00267
38,2,115.90076
35,2,1178.91278
24,2,0
1,3,58018.81539
3,3,608587.89808
4,3,51808.80295
9,3,37397.49242
20,3,27459.61783
21,3,8371.25602
29,3,7148.15027
36,3,1390.2095
10,3,21556.79965
11,3,19697.95148
18,3,7560.69961
24,3,5319.65796
28,3,0
999,3,499.10878
2,3,2649.32336
17,3,467.71005
26,3,4979.76814
27,3,0
30,3,981.6126
5,3,6918.61207
25,3,315.08121
12,3,22166.48073
35,3,9106.0138
6,3,1823.11101
19,3,2846.94129
42,3,1631.13484
22,3,209.1552
23,3,10913.83852
45,3,2322.90179
39,3,0
32,3,294.34879
38,3,0
31,3,545.45686
14,3,4516.41957
34,3,0
16,3,32.12478
7,3,100.1074
51,3,0
40,3,138.89494
53,3,149.7468
13,3,425.66214
1,4,33737.83034
2,4,20594.44583
3,4,50224.93066
4,4,361490.86814
5,4,46052.48477
9,4,38961.7549
17,4,233.84977
29,4,13072.72198
35,4,5098.93096
36,4,14089.11324
32,4,764.55424
34,4,0
6,4,16712.46876
11,4,43839.56597
12,4,22246.71405
16,4,0
14,4,4551.93614
20,4,2776.73906
38,4,776.87732
999,4,5160.0644
10,4,31825.14151
37,4,0
30,4,3026.92519
25,4,40.9766
21,4,8291.90645
13,4,2874.74604
15,4,46.79972
7,4,3446.95492
8,4,12.18908
26,4,298.38557
42,4,211.44448
40,4,139.13541
24,4,139.19588
33,4,1269.64831
53,4,4006.5988
19,4,98.73764
22,4,101.09092
23,4,5293.2465
31,4,231.00934
28,4,0
18,4,216.73731
27,4,0
1,5,3667.84972
2,5,42703.218
4,5,43594.43344
5,5,176607.40613
7,5,4740.96621
11,5,11755.76504
14,5,1728.93808
36,5,3075.03792
8,5,2.42208
9,5,7789.98137
10,5,7197.43418
12,5,11593.03148
3,5,11287.58324
999,5,148.15938
6,5,19684.22603
24,5,172.33514
29,5,654.96286
35,5,662.28459
17,5,139.02503
32,5,1806.77881
21,5,420.45528
30,5,527.8417
42,5,0
13,5,0
