FROM,TO,TRIPS
30,999,1346.75403
31,999,0
32,999,0
33,999,402.87324
34,999,0
35,999,2538.84005
36,999,1140.99543
37,999,147.739
38,999,393.76622
35,1,14618.31365
36,1,4971.98064
32,1,14411.68824
34,1,22.72942
30,1,375.06909
33,1,12160.13148
38,1,99.26557
36,2,16966.1726
32,2,112.48545
33,2,1050.5526
37,2,605.39633
30,2,139.00267
38,2,115.90076
35,2,1178.91278
36,3,1390.2095
30,3,981.6126
35,3,9106.0138
32,3,294.34879
38,3,0
31,3,545.45686
34,3,0
35,4,5098.93096
36,4,14089.11324
32,4,764.55424
34,4,0
38,4,776.87732
37,4,0
30,4,3026.92519
33,4,1269.64831
31,4,231.00934
36,5,3075.03792
35,5,662.28459
32,5,1806.77881
30,5,527.8417
37,5,848.99162
38,5,609.21687
36,6,1941.44933
35,6,0
32,6,0
37,6,4582.40739
38,6,151.07459
38,7,1314.97378
36,7,158.48067
35,7,922.42889
30,8,34.68219
36,8,3423.45692
35,9,8478.99683
30,9,8410.63943
32,9,1295.7652
36,9,3725.81225
37,9,592.40572
31,9,65.31859
34,9,243.14872
38,9,0
33,9,134.3382
36,10,2943.45303
30,10,196.54588
34,10,53.33664
35,10,2381.51991
35,11,2796.84613
32,11,7829.07447
36,11,4919.27419
30,11,601.9652
38,11,3107.04372
34,11,0
33,11,138.95656
31,11,39.72833
37,11,0
36,12,2390.39667
35,12,153.18988
38,12,1913.1167
32,12,173.59136
31,12,60.58498
33,12,3154.62137
30,12,831.28031
37,13,4306.39592
36,14,49.4157
35,14,99.8032
37,14,0
36,15,70.8975
30,16,13418.0969
35,16,210.40344
36,16,2.55162
34,16,138.89472
32,16,0
30,17,11196.01335
35,17,1051.77606
36,17,0
34,17,764.71526
30,18,19060.23268
35,18,785.37576
36,18,152.62566
34,18,124.20604
31,19,8.69097
30,19,17221.57677
35,19,185.31308
30,20,10539.86006
35,20,2530.1101
36,20,0
30,21,18839.39418
36,21,4008.24467
32,21,153.13755
35,21,280.11058
31,21,64.25054
38,21,0
34,21,79.05111
36,23,0
30,23,810.21513
30,24,98.46949
34,24,0
35,24,171.02164
37,24,598.56294
31,24,0
30,25,47.27896
30,26,520.31747
35,26,1401.13463
36,26,0
30,27,22.77877
36,27,138.94307
33,28,244.59645
35,28,32.17132
38,28,98.48649
30,29,661.95457
36,29,250.53475
32,29,0
35,29,32.1248
31,29,0
9,30,6210.7782
30,30,590826.10038
31,30,8036.39844
39,30,5082.97774
42,30,6738.92171
999,30,2094.50658
40,30,67.70201
34,30,10843.7151
16,30,26864.58554
19,30,510.15334
36,30,920.36451
26,30,0
35,30,57492.29111
1,30,460.94552
21,30,6374.00348
43,30,0
51,30,1.1909
20,30,17764.91661
11,30,425.63569
32,30,2982.33113
33,30,721.21605
45,30,0
47,30,0
4,30,2363.87758
18,30,16812.49485
53,30,370.32834
3,30,668.67412
38,30,5068.43149
24,30,139.17253
27,30,32.19452
5,30,373.46671
52,30,0
23,30,531.71235
29,30,222.12094
17,30,9605.24886
12,30,2.08326
2,30,98.34932
10,30,196.54588
7,30,421.08348
25,30,55.55496
30,31,7095.35072
31,31,3130.32976
39,31,4170.11165
40,31,56.27094
42,31,7467.92345
21,31,22.72977
34,31,611.7724
4,31,215.35294
3,31,545.45686
32,31,1217.94342
35,31,46.08502
36,31,2264.16639
16,31,197.17038
999,31,0
19,31,0
29,31,0
12,31,42.86602
38,31,139.92723
43,31,3565.56085
34,32,12052.71863
42,32,3995.35999
30,32,554.74689
31,32,9002.46762
32,32,91928.40676
36,32,13468.49595
4,32,739.66162
3,32,356.18798
5,32,1272.82265
6,32,0
35,32,10717.75625
40,32,0
21,32,100.49816
1,32,24802.48347
11,32,3104.56387
24,32,0
999,32,98.27957
2,32,173.88413
29,32,0
43,32,26.53765
9,32,2439.93375
12,32,121.04615
38,32,263.2147
18,32,107.98806
33,32,17334.4517
11,33,2330.3231
28,33,345.70205
31,33,0
32,33,26467.64694
33,33,10181.43347
36,33,1350.14578
38,33,2998.08656
2,33,107.70913
999,33,98.27294
37,33,611.09699
43,33,18.28361
44,33,0
45,33,0
9,33,134.3382
42,33,80.49028
1,33,0
4,33,898.32117
30,34,14583.3316
31,34,2878.70647
32,34,8167.47973
34,34,66420.79486
35,34,480.20724
36,34,207.0701
1,34,60.98511
3,34,0
4,34,0
21,34,52.70074
11,34,654.72394
39,34,461.65214
42,34,315.05814
18,34,105.7031
10,34,53.33664
24,34,0
25,34,0
6,34,0
16,34,98.27294
12,34,764.71526
19,34,0
43,34,4679.87494
999,34,0
9,34,0
2,35,1640.3831
9,35,4782.65749
30,35,54909.06694
35,35,92665.4993800001
6,35,0
16,35,3753.35358
18,35,787.64299
21,35,2515.75222
29,35,22.72944
34,35,1148.87328
36,35,23323.23321
1,35,13711.48888
3,35,12068.30377
28,35,22.76235
10,35,3008.32232
20,35,4184.16922
31,35,83.59898
40,35,37.51396
17,35,1624.85977
14,35,141.05753
42,35,171.63322
11,35,663.38845
7,35,810.44182
32,35,5236.13311
4,35,2677.1717
24,35,121.00387
5,35,260.78081
12,35,421.14677
43,35,321.03083
26,35,1401.13463
38,35,0
7,36,98.27294
29,36,485.07899
36,36,188108.46328
37,36,2324.9407
38,36,23197.185
33,36,955.65989
4,36,9491.2854
11,36,5247.63916
12,36,1110.50588
32,36,17991.7661
42,36,610.95853
3,36,1094.00666
5,36,5461.65949
