FROM,TO,TRIPS
16,999,0
17,999,188.96909
18,999,3865.00908
19,999,0
20,999,1160.86325
21,999,2245.91127
22,999,244.44965
23,999,1949.26975
24,999,331.3428
25,999,1201.8904
26,999,144.27216
27,999,2048.05272
28,999,4287.30928
29,999,7630.2087
17,1,2248.54732
21,1,272.93573
20,1,3658.69019
23,1,0
19,1,100.32336
29,1,177.33365
26,1,190.45279
24,1,26.36389
18,1,79.68498
27,1,0
21,2,1037.53959
16,2,0
29,2,537.50545
18,2,0
19,2,1948.23989
25,2,495.92637
24,2,0
20,3,27459.61783
21,3,8371.25602
29,3,7148.15027
18,3,7560.69961
24,3,5319.65796
28,3,0
17,3,467.71005
26,3,4979.76814
27,3,0
25,3,315.08121
19,3,2846.94129
22,3,209.1552
23,3,10913.83852
16,3,32.12478
17,4,233.84977
29,4,13072.72198
16,4,0
20,4,2776.73906
25,4,40.9766
21,4,8291.90645
26,4,298.38557
24,4,139.19588
19,4,98.73764
22,4,101.09092
23,4,5293.2465
28,4,0
18,4,216.73731
27,4,0
24,5,172.33514
29,5,654.96286
17,5,139.02503
21,5,420.45528
19,5,52.11025
26,5,442.88779
25,5,697.86217
20,5,139.49846
18,5,0
28,5,4521.13786
29,6,98.85046
21,6,1287.03808
24,6,0
20,6,0
23,7,425.78727
29,7,1463.876
20,7,13.96359
26,7,281.82292
21,7,0
21,8,0
25,8,0
29,8,0
26,8,8.16708
29,9,12294.49453
21,9,7188.27522
17,9,2181.1743
19,9,205.21827
20,9,2786.95624
23,9,903.06413
24,9,98.72257
26,9,2465.4627
16,9,2890.58738
25,9,4642.89148
18,9,445.78557
28,9,643.00296
27,9,58.60208
29,10,6271.75246
27,10,0
20,10,372.41817
24,10,340.53632
16,10,0
21,10,672.71641
26,10,447.95633
23,10,420.62799
25,10,1.74156
18,10,1284.22853
28,10,193.74622
23,11,106.11315
20,11,1673.31859
29,11,6144.73534
17,11,1170.83659
26,11,3170.02016
21,11,4782.79286
27,11,0
18,11,828.1082
19,11,613.30892
16,11,18.28361
25,11,53.8491
22,11,0
28,11,0
17,12,0
24,12,39.96822
25,12,281.46137
26,12,264.55085
29,12,3007.32585
18,12,842.01999
20,12,0
21,12,549.30577
28,12,764.71526
19,12,18240.42356
23,12,233.14108
25,13,6.09454
20,13,902.83884
29,13,0
24,14,663.52682
29,14,2061.43412
21,14,99.93077
25,14,44.44431
26,14,104.19979
22,14,0
28,14,3339.19755
20,14,22.72942
18,14,62.36566
21,15,0
16,16,34446.79411
17,16,4359.47991
18,16,5882.10433
20,16,198.55359
30,16,13418.0969
35,16,210.40344
12,16,641.03075
21,16,20322.99441
25,16,151.20436
999,16,0
19,16,9465.76144
28,16,18.28361
29,16,85.92239
36,16,2.55162
3,16,32.12478
23,16,204.35282
4,16,1324.77296
9,16,3.70623
10,16,0
34,16,138.89472
27,16,1720.89281
42,16,26.66832
1,16,301.83055
32,16,0
16,17,3504.53603
18,17,11474.82497
21,17,9866.99085
29,17,852.3607
30,17,11196.01335
35,17,1051.77606
42,17,39.52553
9,17,1842.9752
17,17,53459.44614
19,17,4437.03767
20,17,8099.02525
1,17,972.07832
3,17,3024.56282
36,17,0
23,17,1489.16455
999,17,212.22939
10,17,0
11,17,999.70776
22,17,43.12364
34,17,764.71526
5,17,149.88729
24,17,23.01847
26,17,2.4883
27,17,81.47882
4,17,83.07788
6,17,83.07788
8,17,0
17,18,9729.43707
1,18,0
16,18,5140.63116
18,18,118473.79504
21,18,22975.05165
42,18,0
999,18,1349.58641
3,18,5820.89486
9,18,5704.33135
30,18,19060.23268
19,18,19708.53001
23,18,3351.21682
29,18,3110.72603
35,18,785.37576
2,18,0
24,18,3479.94085
12,18,552.58463
26,18,2375.909
20,18,6218.23564
4,18,780.99922
36,18,152.62566
11,18,94.21796
34,18,124.20604
14,18,73.28254
28,18,10.7454
999,19,213.59456
3,19,2918.46765
10,19,1284.22853
18,19,18589.2679
19,19,160099.72719
20,19,10984.31721
21,19,34472.92754
27,19,218.08864
31,19,8.69097
12,19,164.87788
16,19,7635.09137
43,19,118.40302
11,19,154.30676
17,19,7108.75649
23,19,4213.14054
29,19,1797.89054
4,19,0
24,19,5268.97211
2,19,2027.29103
30,19,17221.57677
1,19,141.7927
26,19,1157.65145
9,19,332.47825
35,19,185.31308
28,19,0
5,19,36.86985
25,19,18.28363
42,19,32.51243
999,20,0
3,20,31872.00462
9,20,1223.81723
12,20,0
17,20,13583.04201
18,20,9605.82058
19,20,8625.84928
20,20,62567.4733
21,20,43245.10478
26,20,2273.97508
29,20,763.13302
30,20,10539.86006
10,20,499.42091
11,20,2308.81808
16,20,294.13388
24,20,865.02208
35,20,2530.1101
4,20,979.15466
36,20,0
6,20,140.37371
14,20,126.03289
23,20,240.5929
5,20,98.70011
39,20,149.89332
1,20,2678.79174
13,20,1276.03338
27,20,0
2,20,260.03539
25,20,0
51,20,513.07672
7,20,13.96359
28,20,98.51459
1,21,99.10386
3,21,30212.49506
5,21,397.6489
17,21,6792.09688
18,21,24193.8888
19,21,41078.51353
20,21,25131.04176
21,21,513652.20397
23,21,54106.8635
24,21,18245.66399
29,21,33649.51364
6,21,910.8053
22,21,915.58049
30,21,18839.39418
11,21,5796.14574
4,21,7409.24523
9,21,3122.71992
16,21,2533.78937
10,21,614.38844
26,21,16056.49374
39,21,41.26762
25,21,2649.7282
27,21,8616.84046
36,21,4008.24467
999,21,1642.13916
28,21,0
32,21,153.13755
2,21,898.20692
12,21,266.80199
35,21,280.11058
14,21,3968.99998
40,21,84.01617
31,21,64.25054
15,21,0
8,21,0
38,21,0
42,21,123.80286
34,21,79.05111
53,21,32.83955
7,21,425.78727
41,21,98.27294
17,22,825.66435
21,22,1108.91216
22,22,7755.85987
24,22,150.01919
25,22,13753.25858
4,22,142.87753
23,22,2765.70721
29,22,2636.3841
19,22,0
26,22,562.33123
27,22,0
999,22,244.44965
28,22,4691.24407
10,22,0
11,22,0
18,23,6711.75432
21,23,55484.64674
23,23,224027.25012
29,23,16292.22804
22,23,2091.8584
19,23,4249.6955
20,23,301.44355
24,23,20830.26274
25,23,44158.83832
26,23,17039.34648
28,23,492.66784
11,23,184.31024
999,23,1572.32473
27,23,1672.17471
4,23,5715.42725
16,23,762.80539
9,23,4486.17053
17,23,1498.67939
3,23,4972.15121
12,23,0
48,23,0
5,23,0
36,23,0
30,23,810.21513
10,23,19.41735
7,23,198.41014
1,23,0
5,24,155.10543
19,24,5965.97412
21,24,28331.44552
23,24,24086.733
24,24,7412.80942
29,24,18514.40511
30,24,98.46949
20,24,84.03892
25,24,1889.49185
999,24,98.48602
4,24,98.48602
11,24,0
9,24,1912.38622
10,24,536.21057
12,24,39.96822
17,24,131.15343
22,24,150.01919
26,24,1687.90892
3,24,7134.8915
14,24,518.50291
18,24,4800.89235
34,24,0
42,24,79.11249
27,24,149.74693
35,24,171.02164
37,24,598.56294
1,24,0
28,24,0
6,24,0
31,24,0
23,25,46485.55989
21,25,3125.32373
22,25,6022.40993
24,25,291.06015
25,25,152226.17467
11,25,266.70703
26,25,21154.41477
999,25,1026.93112
8,25,0
16,25,106.98244
28,25,11352.50958
29,25,28195.36575
3,25,315.08121
9,25,4988.70427
12,25,122.30849
20,25,0
30,25,47.27896
4,25,192.63847
