TYPE,PER,TRIPS,CHART
TRIP END,12 AM,22006.26,TYPICAL TRAVEL
TRIP END,1 AM,11332.66,TYPICAL TRAVEL
TRIP END,2 AM,8922.74,TYPICAL TRAVEL
TRIP END,3 AM,36121.14,TYPICAL TRAVEL
TRIP END,4 AM,20696.71,TYPICAL TRAVEL
TRIP END,5 AM,99474.32,TYPICAL TRAVEL
TRIP END,6 AM,323672.05,TYPICAL TRAVEL
TRIP END,7 AM,975475.56,TYPICAL TRAVEL
TRIP END,8 AM,1070162.72,TYPICAL TRAVEL
TRIP END,9 AM,778956.06,TYPICAL TRAVEL
TRIP END,10 AM,818340.85,TYPICAL TRAVEL
TRIP END,11 AM,813576.28,TYPICAL TRAVEL
TRIP END,12 PM,942501.51,TYPICAL TRAVEL
TRIP END,1 PM,830628.83,TYPICAL TRAVEL
TRIP END,2 PM,888339.42,TYPICAL TRAVEL
TRIP END,3 PM,995110.89,TYPICAL TRAVEL
TRIP END,4 PM,990917.78,TYPICAL TRAVEL
TRIP END,5 PM,1107949.17,TYPICAL TRAVEL
TRIP END,6 PM,987378.81,TYPICAL TRAVEL
TRIP END,7 PM,705371.34,TYPICAL TRAVEL
TRIP END,8 PM,445854.23,TYPICAL TRAVEL
TRIP END,9 PM,280498.45,TYPICAL TRAVEL
TRIP END,10 PM,173806.1,TYPICAL TRAVEL
TRIP END,11 PM,60173.3,TYPICAL TRAVEL
TRIP START,12 AM,14973.8,TYPICAL TRAVEL
TRIP START,1 AM,11225.7,TYPICAL TRAVEL
TRIP START,2 AM,19327.2,TYPICAL TRAVEL
TRIP START,3 AM,24248.8,TYPICAL TRAVEL
TRIP START,4 AM,47435.82,TYPICAL TRAVEL
TRIP START,5 AM,166172.59,TYPICAL TRAVEL
TRIP START,6 AM,511114.06,TYPICAL TRAVEL
TRIP START,7 AM,1170783.68,TYPICAL TRAVEL
TRIP START,8 AM,879053.19,TYPICAL TRAVEL
TRIP START,9 AM,791023.26,TYPICAL TRAVEL
TRIP START,10 AM,769233.71,TYPICAL TRAVEL
TRIP START,11 AM,863632.72,TYPICAL TRAVEL
TRIP START,12 PM,884600.11,TYPICAL TRAVEL
TRIP START,1 PM,866386.27,TYPICAL TRAVEL
TRIP START,2 PM,950997.35,TYPICAL TRAVEL
TRIP START,3 PM,961937.58,TYPICAL TRAVEL
TRIP START,4 PM,1067507.96,TYPICAL TRAVEL
TRIP START,5 PM,1112191.41,TYPICAL TRAVEL
TRIP START,6 PM,828974.06,TYPICAL TRAVEL
TRIP START,7 PM,622655.37,TYPICAL TRAVEL
TRIP START,8 PM,388255.26,TYPICAL TRAVEL
TRIP START,9 PM,256978.56,TYPICAL TRAVEL
TRIP START,10 PM,138810.03,TYPICAL TRAVEL
TRIP START,11 PM,39748.7,TYPICAL TRAVEL
