FROM,TO,TRIPS
Citrus County,Hillsborough County,542
Citrus County,Pinellas County,425
Citrus County,Pasco County,1711
Citrus County,Hernando County,6519
Citrus County,Citrus County,285043
Citrus County,Manatee County,6
Hernando County,Hillsborough County,11756
Hernando County,Pinellas County,4071
Hernando County,Pasco County,46013
Hernando County,Hernando County,362654
Hernando County,Citrus County,6335
Hernando County,Manatee County,15
Hillsborough County,Hillsborough County,4352013
Hillsborough County,Pinellas County,147597
Hillsborough County,Pasco County,135368
Hillsborough County,Hernando County,13231
Hillsborough County,Citrus County,463
Hillsborough County,Manatee County,3141
Manatee County,Hillsborough County,2973
Manatee County,Pinellas County,2122
Manatee County,Pasco County,120
Manatee County,Hernando County,9
Manatee County,Citrus County,3
Manatee County,Manatee County,5343
Pasco County,Hillsborough County,132549
Pasco County,Pinellas County,64787
Pasco County,Pasco County,1068250
Pasco County,Hernando County,45049
Pasco County,Citrus County,1789
Pasco County,Manatee County,114
Pinellas County,Hillsborough County,147943
Pinellas County,Pinellas County,2936711
Pinellas County,Pasco County,65871
Pinellas County,Hernando County,3857
Pinellas County,Citrus County,383
Pinellas County,Manatee County,2047
