FROM,TO,TRIPS
,,0
,Brooksville_Area,0
,Chassahowitzka_WMA_NW_Hernando,0
,Croom_WMA_NE_Hernando,0
,Crystal_River_and_NW_Citrus,0
,Hillsborough_Manatee_Spur,0
,Homosassa_Springs_SW_Citrus,0
,Inverness_and_NE_Citrus,0
,Lake_Lindsey_N._Central_Hernando,0
,North_Central_Citrus,0
,Pasco,0
,Pinellas,0
,Richloam_WMA_and_E_Hernando,0
,South_Central_Hernando,0
,South_East_Citrus,0
,Spring_Hill_and_SW_Hernando,0
Brooksville_Area,,0
Brooksville_Area,Brooksville_Area,3913.97625793517
Brooksville_Area,Chassahowitzka_WMA_NW_Hernando,3603.78460885352
Brooksville_Area,Croom_WMA_NE_Hernando,0
Brooksville_Area,Crystal_River_and_NW_Citrus,0
Brooksville_Area,Hillsborough_Manatee_Spur,44322.8596607223
Brooksville_Area,Homosassa_Springs_SW_Citrus,0
Brooksville_Area,Inverness_and_NE_Citrus,0
Brooksville_Area,Lake_Lindsey_N._Central_Hernando,2257.36692349426
Brooksville_Area,North_Central_Citrus,0
Brooksville_Area,Pasco,10586.9017956182
Brooksville_Area,Pinellas,22957.0178931756
Brooksville_Area,Richloam_WMA_and_E_Hernando,0
Brooksville_Area,South_Central_Hernando,0
Brooksville_Area,South_East_Citrus,0
Brooksville_Area,Spring_Hill_and_SW_Hernando,10657.8970231344
Chassahowitzka_WMA_NW_Hernando,,0
Chassahowitzka_WMA_NW_Hernando,Brooksville_Area,3603.78460885352
Chassahowitzka_WMA_NW_Hernando,Chassahowitzka_WMA_NW_Hernando,23513.0739846677
Chassahowitzka_WMA_NW_Hernando,Croom_WMA_NE_Hernando,0
Chassahowitzka_WMA_NW_Hernando,Crystal_River_and_NW_Citrus,0
Chassahowitzka_WMA_NW_Hernando,Hillsborough_Manatee_Spur,5353.55504984967
Chassahowitzka_WMA_NW_Hernando,Homosassa_Springs_SW_Citrus,0
Chassahowitzka_WMA_NW_Hernando,Inverness_and_NE_Citrus,0
Chassahowitzka_WMA_NW_Hernando,Lake_Lindsey_N._Central_Hernando,2673.64603501558
Chassahowitzka_WMA_NW_Hernando,North_Central_Citrus,0
Chassahowitzka_WMA_NW_Hernando,Pasco,14353.5160143375
Chassahowitzka_WMA_NW_Hernando,Pinellas,1616.09217214584
Chassahowitzka_WMA_NW_Hernando,Richloam_WMA_and_E_Hernando,0
Chassahowitzka_WMA_NW_Hernando,South_Central_Hernando,0
Chassahowitzka_WMA_NW_Hernando,South_East_Citrus,0
Chassahowitzka_WMA_NW_Hernando,Spring_Hill_and_SW_Hernando,5481.47112596128
Croom_WMA_NE_Hernando,,0
Croom_WMA_NE_Hernando,Brooksville_Area,0
Croom_WMA_NE_Hernando,Chassahowitzka_WMA_NW_Hernando,0
Croom_WMA_NE_Hernando,Croom_WMA_NE_Hernando,0
Croom_WMA_NE_Hernando,Crystal_River_and_NW_Citrus,0
Croom_WMA_NE_Hernando,Hillsborough_Manatee_Spur,0
Croom_WMA_NE_Hernando,Homosassa_Springs_SW_Citrus,0
Croom_WMA_NE_Hernando,Inverness_and_NE_Citrus,0
Croom_WMA_NE_Hernando,Lake_Lindsey_N._Central_Hernando,0
Croom_WMA_NE_Hernando,North_Central_Citrus,0
Croom_WMA_NE_Hernando,Pasco,0
Croom_WMA_NE_Hernando,Pinellas,0
Croom_WMA_NE_Hernando,Richloam_WMA_and_E_Hernando,0
Croom_WMA_NE_Hernando,South_Central_Hernando,0
Croom_WMA_NE_Hernando,South_East_Citrus,0
Croom_WMA_NE_Hernando,Spring_Hill_and_SW_Hernando,0
Crystal_River_and_NW_Citrus,,0
Crystal_River_and_NW_Citrus,Brooksville_Area,0
Crystal_River_and_NW_Citrus,Chassahowitzka_WMA_NW_Hernando,0
Crystal_River_and_NW_Citrus,Croom_WMA_NE_Hernando,0
Crystal_River_and_NW_Citrus,Crystal_River_and_NW_Citrus,0
Crystal_River_and_NW_Citrus,Hillsborough_Manatee_Spur,0
Crystal_River_and_NW_Citrus,Homosassa_Springs_SW_Citrus,0
Crystal_River_and_NW_Citrus,Inverness_and_NE_Citrus,0
Crystal_River_and_NW_Citrus,Lake_Lindsey_N._Central_Hernando,0
Crystal_River_and_NW_Citrus,North_Central_Citrus,0
Crystal_River_and_NW_Citrus,Pasco,0
Crystal_River_and_NW_Citrus,Pinellas,0
Crystal_River_and_NW_Citrus,Richloam_WMA_and_E_Hernando,0
Crystal_River_and_NW_Citrus,South_Central_Hernando,0
Crystal_River_and_NW_Citrus,South_East_Citrus,0
Crystal_River_and_NW_Citrus,Spring_Hill_and_SW_Hernando,0
Hillsborough_Manatee_Spur,,0
Hillsborough_Manatee_Spur,Brooksville_Area,44322.8596607223
Hillsborough_Manatee_Spur,Chassahowitzka_WMA_NW_Hernando,5017.88345269021
Hillsborough_Manatee_Spur,Croom_WMA_NE_Hernando,0
Hillsborough_Manatee_Spur,Crystal_River_and_NW_Citrus,0
Hillsborough_Manatee_Spur,Hillsborough_Manatee_Spur,0
Hillsborough_Manatee_Spur,Homosassa_Springs_SW_Citrus,0
Hillsborough_Manatee_Spur,Inverness_and_NE_Citrus,0
Hillsborough_Manatee_Spur,Lake_Lindsey_N._Central_Hernando,4280.69569513854
Hillsborough_Manatee_Spur,North_Central_Citrus,0
Hillsborough_Manatee_Spur,Pasco,0
Hillsborough_Manatee_Spur,Pinellas,0
Hillsborough_Manatee_Spur,Richloam_WMA_and_E_Hernando,0
Hillsborough_Manatee_Spur,South_Central_Hernando,0
Hillsborough_Manatee_Spur,South_East_Citrus,0
Hillsborough_Manatee_Spur,Spring_Hill_and_SW_Hernando,87439.1185733541
Homosassa_Springs_SW_Citrus,,0
