FROM,TO,TRIPS
,,0
,CZ1,0
,CZ2,0
,CZ3,0
,CZ4,0
,Citrus_Park,0
,Downtown,0
,East_Town,0
,Harney_Corridor_Tampa_Ex_Airpor,0
,Hernando_Citrus,0
,Hidden_River_Telecom_Park,0
,MacDill_AFB_Port_Tampa,0
,Manatee_Spur,0
,Northeast_Hillsborough,0
,Northwest_Hillsborough,0
,Pasco,0
,Pinellas,0
,Plant_City_Area,0
,Port_of_Tampa_50th_St_Corridor,0
,Southeast_Hillsborough,0
,Southwest_Hillsborough,0
,Tampa_Central,0
,Tampa_Intl_Airport_Anderson_Rd,0
,USF_Hospitals_Busch_Gardens,0
,West_Brandon_S_Falkenburg_Corrido,0
,Westshore_Rocky_Point,0
CZ1,,0
CZ1,CZ1,245628.852155685
CZ1,CZ2,38950.6065003872
CZ1,CZ3,12543.986415863
CZ1,CZ4,64936.1896780748
CZ1,Citrus_Park,155.440634727478
CZ1,Downtown,8030.41011917475
CZ1,East_Town,10345.9097452164
CZ1,Harney_Corridor_Tampa_Ex_Airpor,3765.32865142822
CZ1,Hernando_Citrus,4341.06579815084
CZ1,Hidden_River_Telecom_Park,751.111800670624
CZ1,MacDill_AFB_Port_Tampa,2024.28677177429
CZ1,Manatee_Spur,0
CZ1,Northeast_Hillsborough,14156.7575068721
CZ1,Northwest_Hillsborough,4968.59443228226
CZ1,Pasco,1911.39217892289
CZ1,Pinellas,9813.66425729846
CZ1,Plant_City_Area,634.252862453461
CZ1,Port_of_Tampa_50th_St_Corridor,3218.36233520508
CZ1,Southeast_Hillsborough,55810.5557192564
CZ1,Southwest_Hillsborough,4641.85452222824
CZ1,Tampa_Central,20437.5066922531
CZ1,Tampa_Intl_Airport_Anderson_Rd,2813.5894639492
CZ1,USF_Hospitals_Busch_Gardens,4336.32707694569
CZ1,West_Brandon_S_Falkenburg_Corrido,19841.7705586739
CZ1,Westshore_Rocky_Point,3197.2331385836
CZ2,,0
CZ2,CZ1,40176.3006432056
CZ2,CZ2,149451.107965469
CZ2,CZ3,2841.11580705643
CZ2,CZ4,13830.6673902273
CZ2,Citrus_Park,91.1929616928101
CZ2,Downtown,3837.24961152114
CZ2,East_Town,5119.64816045761
CZ2,Harney_Corridor_Tampa_Ex_Airpor,1036.93797659874
CZ2,Hernando_Citrus,2659.54828410689
CZ2,Hidden_River_Telecom_Park,250.86459684372
CZ2,MacDill_AFB_Port_Tampa,1059.11606264114
CZ2,Manatee_Spur,0
CZ2,Northeast_Hillsborough,10854.0649412251
CZ2,Northwest_Hillsborough,2206.84007827449
CZ2,Pasco,1016.6164867878
CZ2,Pinellas,5336.87561202049
CZ2,Plant_City_Area,421.136566198431
CZ2,Port_of_Tampa_50th_St_Corridor,1391.53653717041
CZ2,Southeast_Hillsborough,55570.6835951509
CZ2,Southwest_Hillsborough,1995.70322227478
CZ2,Tampa_Central,7647.07920585037
CZ2,Tampa_Intl_Airport_Anderson_Rd,1768.56642818451
CZ2,USF_Hospitals_Busch_Gardens,1654.06858885288
CZ2,West_Brandon_S_Falkenburg_Corrido,9200.13930118084
CZ2,Westshore_Rocky_Point,1289.6826441288
CZ3,,0
CZ3,CZ1,12021.0617056228
CZ3,CZ2,2618.14337062836
CZ3,CZ3,68655.9014492035
CZ3,CZ4,36015.6882920265
CZ3,Citrus_Park,9.60142135620117
CZ3,Downtown,1472.90192842484
CZ3,East_Town,1865.83284580708
CZ3,Harney_Corridor_Tampa_Ex_Airpor,1181.52582931519
CZ3,Hernando_Citrus,2364.83503261581
CZ3,Hidden_River_Telecom_Park,126.007099628449
CZ3,MacDill_AFB_Port_Tampa,493.720558166504
CZ3,Manatee_Spur,0
CZ3,Northeast_Hillsborough,3493.34451878071
CZ3,Northwest_Hillsborough,1039.11844348907
CZ3,Pasco,814.161626338959
CZ3,Pinellas,4332.28944383003
CZ3,Plant_City_Area,136.231651306152
CZ3,Port_of_Tampa_50th_St_Corridor,890.805733203888
CZ3,Southeast_Hillsborough,11942.4407541845
CZ3,Southwest_Hillsborough,908.89051241288
CZ3,Tampa_Central,4894.08370304108
CZ3,Tampa_Intl_Airport_Anderson_Rd,596.302229881287
CZ3,USF_Hospitals_Busch_Gardens,702.643296699971
CZ3,West_Brandon_S_Falkenburg_Corrido,4062.18293368816
CZ3,Westshore_Rocky_Point,656.969555020332
CZ4,,0
CZ4,CZ1,63027.9344221354
CZ4,CZ2,13408.2574462891
CZ4,CZ3,35986.0102788098
CZ4,CZ4,390913.347876072
CZ4,Citrus_Park,75.4326362609863
CZ4,Downtown,5691.66347738821
CZ4,East_Town,7493.39782955032
CZ4,Harney_Corridor_Tampa_Ex_Airpor,2092.60722351074
CZ4,Hernando_Citrus,11776.8433193481
CZ4,Hidden_River_Telecom_Park,680.002148628235
CZ4,MacDill_AFB_Port_Tampa,1041.3969669342
CZ4,Manatee_Spur,0
CZ4,Northeast_Hillsborough,11972.1395206028
CZ4,Northwest_Hillsborough,4117.14351977617
CZ4,Pasco,1586.10723742982
CZ4,Pinellas,13623.6985091819
CZ4,Plant_City_Area,797.906684875488
CZ4,Port_of_Tampa_50th_St_Corridor,1666.54613137245
CZ4,Southeast_Hillsborough,64821.7824078265
CZ4,Southwest_Hillsborough,2936.59154478926
CZ4,Tampa_Central,16570.8822048977
CZ4,Tampa_Intl_Airport_Anderson_Rd,3362.0729804039
CZ4,USF_Hospitals_Busch_Gardens,2969.56714500114
CZ4,West_Brandon_S_Falkenburg_Corrido,14650.2326214931
CZ4,Westshore_Rocky_Point,2233.56663013622
Citrus_Park,,0
Citrus_Park,CZ1,129.449194908142
Citrus_Park,CZ2,57.7361373901367
Citrus_Park,CZ3,18.927939414978
Citrus_Park,CZ4,81.4645733833313
Citrus_Park,Citrus_Park,14077.4708862305
Citrus_Park,Downtown,584.710974216461
Citrus_Park,East_Town,133.935854911804
Citrus_Park,Harney_Corridor_Tampa_Ex_Airpor,290.65246295929
Citrus_Park,Hernando_Citrus,128.266250832006
Citrus_Park,Hidden_River_Telecom_Park,26.2973999977112
Citrus_Park,MacDill_AFB_Port_Tampa,22.5565643310547
Citrus_Park,Manatee_Spur,0
Citrus_Park,Northeast_Hillsborough,774.911350131035
Citrus_Park,Northwest_Hillsborough,42406.3801188469
Citrus_Park,Pasco,992.731065750122
Citrus_Park,Pinellas,6955.29199067783
Citrus_Park,Plant_City_Area,18.0953063964844
Citrus_Park,Port_of_Tampa_50th_St_Corridor,45.6446800231934
Citrus_Park,Southeast_Hillsborough,260.337368965149
Citrus_Park,Southwest_Hillsborough,683.93194437027
Citrus_Park,Tampa_Central,6495.91522067902
Citrus_Park,Tampa_Intl_Airport_Anderson_Rd,2536.48614215851
Citrus_Park,USF_Hospitals_Busch_Gardens,542.711265087128
Citrus_Park,West_Brandon_S_Falkenburg_Corrido,150.126483380795
Citrus_Park,Westshore_Rocky_Point,812.750600814819
Downtown,,0
Downtown,CZ1,9480.09419389069
Downtown,CZ2,4087.24561419524
Downtown,CZ3,1539.02846813202
Downtown,CZ4,6547.71306984616
Downtown,Citrus_Park,687.407181481831
Downtown,Downtown,259803.716740176
Downtown,East_Town,11538.106048523
Downtown,Harney_Corridor_Tampa_Ex_Airpor,6665.10500574112
Downtown,Hernando_Citrus,5631.69647698896
Downtown,Hidden_River_Telecom_Park,1448.96636104584
Downtown,MacDill_AFB_Port_Tampa,1983.86921930313
Downtown,Manatee_Spur,0
Downtown,Northeast_Hillsborough,21852.3304333747
Downtown,Northwest_Hillsborough,41371.1136049642
Downtown,Pasco,9837.38246416906
Downtown,Pinellas,50591.0282087403
Downtown,Plant_City_Area,639.402280807495
Downtown,Port_of_Tampa_50th_St_Corridor,7229.80831360817
Downtown,Southeast_Hillsborough,28124.3674234827
Downtown,Southwest_Hillsborough,68084.3226651896
Downtown,Tampa_Central,140826.770600425
