FROM,TO,TRIPS
,,0
,Citrus,0
,Dade_City,0
,E_New_Port_Richey,0
,Hernando,0
,Hillsborough_Manatee_Spur,0
,Hudson,0
,I-75_SR_52,0
,Lacoochie_Ind_Area,0
,Land_O_Lakes_Connerton,0
,N_W_Pasco,0
,New_Port_Richey,0
,Pasco_Central,0
,Pasco_East,0
,Pasco_West,0
,Pinellas,0
,San_Antonio,0
,Seven_Springs_Odessa,0
,Suncoast_SR_54,0
,Wesley_Chapel_I-75_-_SR56,0
,Zephyrhills,0
Citrus,,0
Citrus,Citrus,0
Citrus,Dade_City,0
Citrus,E_New_Port_Richey,0
Citrus,Hernando,0
Citrus,Hillsborough_Manatee_Spur,0
Citrus,Hudson,0
Citrus,I-75_SR_52,0
Citrus,Lacoochie_Ind_Area,0
Citrus,Land_O_Lakes_Connerton,0
Citrus,N_W_Pasco,0
Citrus,New_Port_Richey,0
Citrus,Pasco_Central,0
Citrus,Pasco_East,0
Citrus,Pasco_West,0
Citrus,Pinellas,0
Citrus,San_Antonio,0
Citrus,Seven_Springs_Odessa,0
Citrus,Suncoast_SR_54,0
Citrus,Wesley_Chapel_I-75_-_SR56,0
Citrus,Zephyrhills,0
Dade_City,,0
Dade_City,Citrus,0
Dade_City,Dade_City,50939.6285214424
Dade_City,E_New_Port_Richey,24.5965843200684
Dade_City,Hernando,4602.15206633462
Dade_City,Hillsborough_Manatee_Spur,378.040625810623
Dade_City,Hudson,6.03637313842773
Dade_City,I-75_SR_52,43.8327112197876
Dade_City,Lacoochie_Ind_Area,2280.97173500061
Dade_City,Land_O_Lakes_Connerton,191.917518138886
Dade_City,N_W_Pasco,0
Dade_City,New_Port_Richey,61.9737927913666
Dade_City,Pasco_Central,4201.7089101132
Dade_City,Pasco_East,41783.0498819351
Dade_City,Pasco_West,49.8906660079956
Dade_City,Pinellas,844.90429264307
Dade_City,San_Antonio,55.8848929405212
Dade_City,Seven_Springs_Odessa,392.454047203064
Dade_City,Suncoast_SR_54,247.105303764343
Dade_City,Wesley_Chapel_I-75_-_SR56,341.227518945932
Dade_City,Zephyrhills,16722.2011562893
E_New_Port_Richey,,0
E_New_Port_Richey,Citrus,0
E_New_Port_Richey,Dade_City,41.0110054016113
E_New_Port_Richey,E_New_Port_Richey,3260.65059280396
E_New_Port_Richey,Hernando,179.062132227235
E_New_Port_Richey,Hillsborough_Manatee_Spur,541.87986949319
E_New_Port_Richey,Hudson,0
E_New_Port_Richey,I-75_SR_52,49.1741819437593
E_New_Port_Richey,Lacoochie_Ind_Area,0
E_New_Port_Richey,Land_O_Lakes_Connerton,202.099918371066
E_New_Port_Richey,N_W_Pasco,8.18636322021484
E_New_Port_Richey,New_Port_Richey,5205.09798002243
E_New_Port_Richey,Pasco_Central,372.777483463287
E_New_Port_Richey,Pasco_East,1400.35136795044
E_New_Port_Richey,Pasco_West,2317.59438419342
E_New_Port_Richey,Pinellas,1913.24571800232
E_New_Port_Richey,San_Antonio,395.179204940796
E_New_Port_Richey,Seven_Springs_Odessa,1007.96491527557
E_New_Port_Richey,Suncoast_SR_54,107.342318058014
E_New_Port_Richey,Wesley_Chapel_I-75_-_SR56,547.234029769898
E_New_Port_Richey,Zephyrhills,412.002139091492
Hernando,,0
Hernando,Citrus,0
Hernando,Dade_City,4609.47916994942
Hernando,E_New_Port_Richey,187.253561365418
Hernando,Hernando,0
Hernando,Hillsborough_Manatee_Spur,0
Hernando,Hudson,190.105930679943
Hernando,I-75_SR_52,191.670037673321
Hernando,Lacoochie_Ind_Area,157.961610745639
Hernando,Land_O_Lakes_Connerton,715.428376291413
Hernando,N_W_Pasco,144.296118873172
Hernando,New_Port_Richey,1988.8234677054
Hernando,Pasco_Central,5887.51743643079
Hernando,Pasco_East,15474.636803302
Hernando,Pasco_West,3505.08024863945
Hernando,Pinellas,0
Hernando,San_Antonio,543.352280768566
Hernando,Seven_Springs_Odessa,1012.35191218415
Hernando,Suncoast_SR_54,1577.21842177166
Hernando,Wesley_Chapel_I-75_-_SR56,1861.28328432376
Hernando,Zephyrhills,10454.526350128
Hillsborough_Manatee_Spur,,0
Hillsborough_Manatee_Spur,Citrus,0
Hillsborough_Manatee_Spur,Dade_City,405.53925204277
Hillsborough_Manatee_Spur,E_New_Port_Richey,704.071202754974
Hillsborough_Manatee_Spur,Hernando,0
Hillsborough_Manatee_Spur,Hillsborough_Manatee_Spur,0
Hillsborough_Manatee_Spur,Hudson,18321.5390847565
Hillsborough_Manatee_Spur,I-75_SR_52,1135.60281349719
Hillsborough_Manatee_Spur,Lacoochie_Ind_Area,0
Hillsborough_Manatee_Spur,Land_O_Lakes_Connerton,3891.65077054501
Hillsborough_Manatee_Spur,N_W_Pasco,15466.6030679033
Hillsborough_Manatee_Spur,New_Port_Richey,29122.732814525
Hillsborough_Manatee_Spur,Pasco_Central,13192.114810844
Hillsborough_Manatee_Spur,Pasco_East,27449.0430522054
Hillsborough_Manatee_Spur,Pasco_West,74220.7327962788
Hillsborough_Manatee_Spur,Pinellas,0
Hillsborough_Manatee_Spur,San_Antonio,5323.92786553735
Hillsborough_Manatee_Spur,Seven_Springs_Odessa,7822.59043316543
Hillsborough_Manatee_Spur,Suncoast_SR_54,2637.2449836731
Hillsborough_Manatee_Spur,Wesley_Chapel_I-75_-_SR56,11237.8465214157
Hillsborough_Manatee_Spur,Zephyrhills,2328.89192133211
Hudson,,0
Hudson,Citrus,0
Hudson,Dade_City,0
Hudson,E_New_Port_Richey,0
Hudson,Hernando,173.727159851696
Hudson,Hillsborough_Manatee_Spur,17645.1817741822
Hudson,Hudson,17486.0531759262
Hudson,I-75_SR_52,8.19229602813721
Hudson,Lacoochie_Ind_Area,0
Hudson,Land_O_Lakes_Connerton,0
Hudson,N_W_Pasco,371.637454986572
Hudson,New_Port_Richey,966.028314590454
Hudson,Pasco_Central,231.025350570679
Hudson,Pasco_East,114.458451271057
Hudson,Pasco_West,4853.05479669571
Hudson,Pinellas,17471.3082529306
Hudson,San_Antonio,8.18668556213379
Hudson,Seven_Springs_Odessa,248.203393936157
Hudson,Suncoast_SR_54,0
Hudson,Wesley_Chapel_I-75_-_SR56,60.2141132354736
Hudson,Zephyrhills,23.3632349967957
I-75_SR_52,,0
I-75_SR_52,Citrus,0
I-75_SR_52,Dade_City,51.2164173126221
I-75_SR_52,E_New_Port_Richey,8.27084684651345
I-75_SR_52,Hernando,171.057456420269
I-75_SR_52,Hillsborough_Manatee_Spur,1110.4590241909
I-75_SR_52,Hudson,0
I-75_SR_52,I-75_SR_52,8083.85674571991
I-75_SR_52,Lacoochie_Ind_Area,0
I-75_SR_52,Land_O_Lakes_Connerton,5164.67700612731
I-75_SR_52,N_W_Pasco,24.4008884429932
I-75_SR_52,New_Port_Richey,153.131834983826
I-75_SR_52,Pasco_Central,2358.57739543915
I-75_SR_52,Pasco_East,8894.4735789299
I-75_SR_52,Pasco_West,63.2830739021301
I-75_SR_52,Pinellas,4838.87827061722
I-75_SR_52,San_Antonio,1969.44256782532
I-75_SR_52,Seven_Springs_Odessa,2186.94023036957
I-75_SR_52,Suncoast_SR_54,403.718985099346
I-75_SR_52,Wesley_Chapel_I-75_-_SR56,5588.83961019525
I-75_SR_52,Zephyrhills,348.723433017731
Lacoochie_Ind_Area,,0
Lacoochie_Ind_Area,Citrus,0
Lacoochie_Ind_Area,Dade_City,2276.29012393951
Lacoochie_Ind_Area,E_New_Port_Richey,0
Lacoochie_Ind_Area,Hernando,159.854146908969
Lacoochie_Ind_Area,Hillsborough_Manatee_Spur,6.04739856719971
Lacoochie_Ind_Area,Hudson,0
Lacoochie_Ind_Area,I-75_SR_52,0
Lacoochie_Ind_Area,Lacoochie_Ind_Area,2076.66259765625
Lacoochie_Ind_Area,Land_O_Lakes_Connerton,0
Lacoochie_Ind_Area,N_W_Pasco,0
Lacoochie_Ind_Area,New_Port_Richey,8.20371437072754
Lacoochie_Ind_Area,Pasco_Central,110.893453598022
Lacoochie_Ind_Area,Pasco_East,3059.000228405
Lacoochie_Ind_Area,Pasco_West,0
Lacoochie_Ind_Area,Pinellas,30.3451066017151
Lacoochie_Ind_Area,San_Antonio,0
Lacoochie_Ind_Area,Seven_Springs_Odessa,0
Lacoochie_Ind_Area,Suncoast_SR_54,4.56525135040283
Lacoochie_Ind_Area,Wesley_Chapel_I-75_-_SR56,0
Lacoochie_Ind_Area,Zephyrhills,584.24501991272
Land_O_Lakes_Connerton,,0
Land_O_Lakes_Connerton,Citrus,0
Land_O_Lakes_Connerton,Dade_City,117.485533237457
Land_O_Lakes_Connerton,E_New_Port_Richey,214.937201031484
Land_O_Lakes_Connerton,Hernando,720.42780790152
Land_O_Lakes_Connerton,Hillsborough_Manatee_Spur,3709.78928172775
Land_O_Lakes_Connerton,Hudson,0
Land_O_Lakes_Connerton,I-75_SR_52,5099.11852348037
Land_O_Lakes_Connerton,Lacoochie_Ind_Area,0
Land_O_Lakes_Connerton,Land_O_Lakes_Connerton,40751.6933034658
Land_O_Lakes_Connerton,N_W_Pasco,24.6946926116943
Land_O_Lakes_Connerton,New_Port_Richey,328.186149120331
