FROM,TO,TRIPS
,,0
,Clearwater Dwntwn,0
,Clearwater Mall,0
,Countryside Mall,0
,Dwntwn USF Albert Whitted Airport,0
,Gateway Area,0
,Grand Central Area,0
,Hernando  Citrus,0
,Hillsborough,0
,Manatee Spur,0
,Mid-Cnty Ind Area,0
,Oldsmar Ind Area,0
,Pasco,0
,Pinellas Beaches,0
,Pinellas Central,0
,Pinellas North,0
,Pinellas North Central,0
,Pinellas South,0
,St Petersburg Clearwater Area,0
,Tarpon Springs Area,0
,Tyrone Square Area,0
Clearwater Dwntwn,,0
Clearwater Dwntwn,Clearwater Dwntwn,31729.4767866135
Clearwater Dwntwn,Clearwater Mall,2411.26663970947
Clearwater Dwntwn,Countryside Mall,136.716849327087
Clearwater Dwntwn,Dwntwn USF Albert Whitted Airport,293.250586509705
Clearwater Dwntwn,Gateway Area,520.295085048303
Clearwater Dwntwn,Grand Central Area,0
Clearwater Dwntwn,Hernando  Citrus,315.41263389308
Clearwater Dwntwn,Hillsborough,12385.2604120756
Clearwater Dwntwn,Manatee Spur,0
Clearwater Dwntwn,Mid-Cnty Ind Area,4859.64056457835
Clearwater Dwntwn,Oldsmar Ind Area,534.238401889801
Clearwater Dwntwn,Pasco,295.989894866943
Clearwater Dwntwn,Pinellas Beaches,10705.7313296795
Clearwater Dwntwn,Pinellas Central,25601.3920578645
Clearwater Dwntwn,Pinellas North,9071.37679778878
Clearwater Dwntwn,Pinellas North Central,75293.2378309968
Clearwater Dwntwn,Pinellas South,8188.70588035136
Clearwater Dwntwn,St Petersburg Clearwater Area,126.547813892365
Clearwater Dwntwn,Tarpon Springs Area,125.988364219666
Clearwater Dwntwn,Tyrone Square Area,100.45006275177
Clearwater Mall,,0
Clearwater Mall,Clearwater Dwntwn,2666.20165061951
Clearwater Mall,Clearwater Mall,3925.63745117188
Clearwater Mall,Countryside Mall,88.4771881103516
Clearwater Mall,Dwntwn USF Albert Whitted Airport,8.19086647033691
Clearwater Mall,Gateway Area,170.280671596527
Clearwater Mall,Grand Central Area,0
Clearwater Mall,Hernando  Citrus,66.2441160455346
Clearwater Mall,Hillsborough,1224.88374376297
Clearwater Mall,Manatee Spur,0
Clearwater Mall,Mid-Cnty Ind Area,612.512970924377
Clearwater Mall,Oldsmar Ind Area,75.9749364852905
Clearwater Mall,Pasco,57.4091472625733
Clearwater Mall,Pinellas Beaches,2683.58352184296
Clearwater Mall,Pinellas Central,6382.30236005783
Clearwater Mall,Pinellas North,1319.00016450882
Clearwater Mall,Pinellas North Central,15792.0692558289
Clearwater Mall,Pinellas South,1533.30395150185
Clearwater Mall,St Petersburg Clearwater Area,37.0106525421143
Clearwater Mall,Tarpon Springs Area,8.18985939025879
Clearwater Mall,Tyrone Square Area,39.4718503952026
Countryside Mall,,0
Countryside Mall,Clearwater Dwntwn,162.570021152496
Countryside Mall,Clearwater Mall,97.2415313720703
Countryside Mall,Countryside Mall,2661.04809570313
Countryside Mall,Dwntwn USF Albert Whitted Airport,40.9388656616211
Countryside Mall,Gateway Area,26.2935485839844
Countryside Mall,Grand Central Area,0
Countryside Mall,Hernando  Citrus,79.925037831068
Countryside Mall,Hillsborough,1084.08528888226
Countryside Mall,Manatee Spur,0
Countryside Mall,Mid-Cnty Ind Area,263.592198848724
Countryside Mall,Oldsmar Ind Area,8.19086647033691
Countryside Mall,Pasco,51.8187303543091
Countryside Mall,Pinellas Beaches,829.705639362335
Countryside Mall,Pinellas Central,3065.93405580521
Countryside Mall,Pinellas North,492.199308395386
Countryside Mall,Pinellas North Central,4267.25671875477
Countryside Mall,Pinellas South,513.500463008881
Countryside Mall,St Petersburg Clearwater Area,0
Countryside Mall,Tarpon Springs Area,0
Countryside Mall,Tyrone Square Area,0
Dwntwn USF Albert Whitted Airport,,0
Dwntwn USF Albert Whitted Airport,Clearwater Dwntwn,335.54979467392
Dwntwn USF Albert Whitted Airport,Clearwater Mall,16.3767585754395
Dwntwn USF Albert Whitted Airport,Countryside Mall,38.7733454704285
Dwntwn USF Albert Whitted Airport,Dwntwn USF Albert Whitted Airport,229511.713488684
Dwntwn USF Albert Whitted Airport,Gateway Area,79.7335286140442
Dwntwn USF Albert Whitted Airport,Grand Central Area,2911.94596004486
Dwntwn USF Albert Whitted Airport,Hernando  Citrus,973.115419798531
Dwntwn USF Albert Whitted Airport,Hillsborough,32081.8489730766
Dwntwn USF Albert Whitted Airport,Manatee Spur,0
Dwntwn USF Albert Whitted Airport,Mid-Cnty Ind Area,619.136178442277
Dwntwn USF Albert Whitted Airport,Oldsmar Ind Area,65.3360161781311
