FROM,TO,TRIPS
External,External,210053.41661
External,Citrus County,10511.93275
External,Hernando County,2759.28184
External,Hillsborough County,59251.32758
External,Manatee County,0
External,Pasco County,3792.45779
External,Pinellas County,19223.01157
Citrus County,External,14368.05794
Citrus County,Citrus County,482334.083610001
Citrus County,Hernando County,6244.29717
Citrus County,Hillsborough County,4388.54783
Citrus County,Manatee County,0
Citrus County,Pasco County,3308.3657
Citrus County,Pinellas County,545.91627
Hernando County,External,1673.4265
Hernando County,Citrus County,5971.05753
Hernando County,Hernando County,393085.801910002
Hernando County,Hillsborough County,10462.52821
Hernando County,Manatee County,0
Hernando County,Pasco County,41749.38124
Hernando County,Pinellas County,2704.94314
Hillsborough County,External,70562.23868
Hillsborough County,Citrus County,3587.96588
Hillsborough County,Hernando County,8724.84415
Hillsborough County,Hillsborough County,5827658.07768992
Hillsborough County,Manatee County,672.44761
Hillsborough County,Pasco County,165598.8798
Hillsborough County,Pinellas County,222981.92086
Manatee County,External,0
Manatee County,Citrus County,0
Manatee County,Hernando County,0
Manatee County,Hillsborough County,673.88821
Manatee County,Manatee County,306.29832
Manatee County,Pasco County,0
Manatee County,Pinellas County,0
Pasco County,External,5970.96797
Pasco County,Citrus County,2455.25106
Pasco County,Hernando County,42009.73808
Pasco County,Hillsborough County,185618.86929
Pasco County,Manatee County,0
Pasco County,Pasco County,1581165.54056998
Pasco County,Pinellas County,105943.22158
Pinellas County,External,25297.54815
Pinellas County,Citrus County,513.07672
Pinellas County,Hernando County,1691.28811
Pinellas County,Hillsborough County,224681.91372
Pinellas County,Manatee County,546.63962
Pinellas County,Pasco County,99415.3737
Pinellas County,Pinellas County,3538763.35511997
