FROM,TO,TRIPS
Spring_Hill_and_SW_Hernando,External,1214.17207
Croom_WMA_NE_Hernando,External,32.17132
Brooksville_Area,External,150.9042
South_Central_Hernando,External,142.88559
Richloam_WMA_and_E_Hernando,External,133.29332
North_Central_Citrus,External,4761.66007
Crystal_River_and_NW_Citrus,External,5377.53467
Inverness_and_NE_Citrus,External,921.08722
Homosassa_Springs_SW_Citrus,External,2681.73584
South_East_Citrus,External,626.04014
Brooksville_Area,Hillsborough_Manatee_Spur,480.37276
Spring_Hill_and_SW_Hernando,Hillsborough_Manatee_Spur,4799.66545
South_Central_Hernando,Hillsborough_Manatee_Spur,2549.38654
Richloam_WMA_and_E_Hernando,Hillsborough_Manatee_Spur,2322.90179
Homosassa_Springs_SW_Citrus,Hillsborough_Manatee_Spur,203.51517
Chassahowitzka_WMA_NW_Hernando,Hillsborough_Manatee_Spur,278.03035
South_East_Citrus,Hillsborough_Manatee_Spur,4046.12433
North_Central_Citrus,Hillsborough_Manatee_Spur,138.90833
Croom_WMA_NE_Hernando,Hillsborough_Manatee_Spur,32.17132
Spring_Hill_and_SW_Hernando,Pinellas,2404.25101
Brooksville_Area,Pinellas,118.40302
Homosassa_Springs_SW_Citrus,Pinellas,545.91627
Chassahowitzka_WMA_NW_Hernando,Pinellas,84.01617
Croom_WMA_NE_Hernando,Pinellas,98.27294
North_Central_Citrus,Pinellas,0
South_Central_Hernando,Pinellas,0
Crystal_River_and_NW_Citrus,Pinellas,0
Spring_Hill_and_SW_Hernando,Pasco,25673.45342
Lake_Lindsey_N._Central_Hernando,Pasco,0
Brooksville_Area,Pasco,8721.59095
Homosassa_Springs_SW_Citrus,Pasco,3308.3657
South_Central_Hernando,Pasco,3722.10984
Richloam_WMA_and_E_Hernando,Pasco,3632.22703
Crystal_River_and_NW_Citrus,Pasco,0
Pinellas,Chassahowitzka_WMA_NW_Hernando,0
Pasco,Chassahowitzka_WMA_NW_Hernando,0
Chassahowitzka_WMA_NW_Hernando,Chassahowitzka_WMA_NW_Hernando,2832.8092
Spring_Hill_and_SW_Hernando,Chassahowitzka_WMA_NW_Hernando,13897.41086
South_Central_Hernando,Chassahowitzka_WMA_NW_Hernando,756.8814
Chassahowitzka_WMA_NW_Hernando,Spring_Hill_and_SW_Hernando,16199.29287
Spring_Hill_and_SW_Hernando,Spring_Hill_and_SW_Hernando,229276.40348
Brooksville_Area,Spring_Hill_and_SW_Hernando,16861.20624
Pasco,Spring_Hill_and_SW_Hernando,28427.8978
Hillsborough_Manatee_Spur,Spring_Hill_and_SW_Hernando,3750.82715
Pinellas,Spring_Hill_and_SW_Hernando,1474.61215
External,Spring_Hill_and_SW_Hernando,2565.36207
Homosassa_Springs_SW_Citrus,Spring_Hill_and_SW_Hernando,2826.47614
Hillsborough_Manatee_Spur,Chassahowitzka_WMA_NW_Hernando,196.71632
Homosassa_Springs_SW_Citrus,Chassahowitzka_WMA_NW_Hernando,0
Spring_Hill_and_SW_Hernando,Lake_Lindsey_N._Central_Hernando,4478.17531
Brooksville_Area,Chassahowitzka_WMA_NW_Hernando,606.96709
Lake_Lindsey_N._Central_Hernando,Lake_Lindsey_N._Central_Hernando,213.82258
Brooksville_Area,Lake_Lindsey_N._Central_Hernando,889.85183
Pasco,Lake_Lindsey_N._Central_Hernando,0
Lake_Lindsey_N._Central_Hernando,Spring_Hill_and_SW_Hernando,7468.51759
Brooksville_Area,Brooksville_Area,35187.57965
Spring_Hill_and_SW_Hernando,Brooksville_Area,20774.85573
Crystal_River_and_NW_Citrus,Spring_Hill_and_SW_Hernando,820.6184
South_Central_Hernando,Spring_Hill_and_SW_Hernando,7600.78094
South_East_Citrus,Spring_Hill_and_SW_Hernando,0
Chassahowitzka_WMA_NW_Hernando,Brooksville_Area,66.85124
Lake_Lindsey_N._Central_Hernando,Brooksville_Area,709.84484
South_Central_Hernando,Brooksville_Area,5446.05807
Homosassa_Springs_SW_Citrus,Brooksville_Area,1164.388
Inverness_and_NE_Citrus,Croom_WMA_NE_Hernando,244.33935
Croom_WMA_NE_Hernando,Croom_WMA_NE_Hernando,268.19562
Spring_Hill_and_SW_Hernando,Croom_WMA_NE_Hernando,102.16152
Brooksville_Area,Croom_WMA_NE_Hernando,2928.67581
Pinellas,Croom_WMA_NE_Hernando,98.27294
South_Central_Hernando,Croom_WMA_NE_Hernando,0
Richloam_WMA_and_E_Hernando,Croom_WMA_NE_Hernando,0
