FROM,TO,TRIPS
External,External,210053.41661
Northwest_Hillsborough,External,656.75975
Northeast_Hillsborough,External,5284.575
Tampa_Central,External,8835.411
Tampa_Intl_Airport_Anderson_Rd,External,10873.74122
USF_Hospitals_Busch_Gardens,External,151.00017
Hidden_River_Telecom_Park,External,0
Harney_Corridor_Tampa_Ex_Airpor,External,4163.32737
East_Town,External,606.7843
Plant_City_Area,External,3961.47305
Westshore_Rocky_Point,External,1106.73199
Southwest_Hillsborough,External,5298.0094
MacDill_AFB_Port_Tampa,External,0
Downtown,External,9032.18218
Port_of_Tampa_50th_St_Corridor,External,0
West_Brandon_S_Falkenburg_Corrido,External,437.14731
Southeast_Hillsborough,External,2292.49231
CZ1,External,8006.59823
CZ2,External,1194.60893
CZ3,External,1293.15244
CZ4,External,7368.24403
Pinellas,External,25297.54815
Pasco,External,5970.96797
Hernando_Citrus,External,16041.48444
Manatee_Spur,External,0
Northwest_Hillsborough,Northwest_Hillsborough,868324.710399999
Pinellas,Northwest_Hillsborough,68992.77459
Pasco,Northwest_Hillsborough,62347.4014
Northeast_Hillsborough,Northwest_Hillsborough,14663.85688
East_Town,Northwest_Hillsborough,11746.32601
Tampa_Central,Northwest_Hillsborough,128678.83273
USF_Hospitals_Busch_Gardens,Northwest_Hillsborough,10317.5783
Tampa_Intl_Airport_Anderson_Rd,Northwest_Hillsborough,53649.7171
Harney_Corridor_Tampa_Ex_Airpor,Northwest_Hillsborough,1611.94887
External,Northwest_Hillsborough,554.00227
Hidden_River_Telecom_Park,Northwest_Hillsborough,2103.81789
Westshore_Rocky_Point,Northwest_Hillsborough,17996.96153
Southwest_Hillsborough,Northwest_Hillsborough,23600.72625
Southeast_Hillsborough,Northwest_Hillsborough,1173.26208
Citrus_Park,Northwest_Hillsborough,11089.0956
CZ4,Northwest_Hillsborough,1803.80675
Hernando_Citrus,Northwest_Hillsborough,7048.87185
Downtown,Northwest_Hillsborough,13082.15119
CZ1,Northwest_Hillsborough,4093.91825
West_Brandon_S_Falkenburg_Corrido,Northwest_Hillsborough,852.16371
Northeast_Hillsborough,Northeast_Hillsborough,261601.98213
Tampa_Central,Northeast_Hillsborough,37455.20237
Citrus_Park,Northeast_Hillsborough,249.78111
USF_Hospitals_Busch_Gardens,Northeast_Hillsborough,19693.96766
Harney_Corridor_Tampa_Ex_Airpor,Northeast_Hillsborough,3412.62249
Hidden_River_Telecom_Park,Northeast_Hillsborough,978.87193
Tampa_Intl_Airport_Anderson_Rd,Northeast_Hillsborough,1601.21187
Southwest_Hillsborough,Northeast_Hillsborough,1113.74509
Downtown,Northeast_Hillsborough,8676.42519
West_Brandon_S_Falkenburg_Corrido,Northeast_Hillsborough,14612.62279
CZ1,Northeast_Hillsborough,22593.58885
Pinellas,Northeast_Hillsborough,4828.29291
Pasco,Northeast_Hillsborough,21410.01231
Southeast_Hillsborough,Northeast_Hillsborough,35637.82851
Northwest_Hillsborough,Northeast_Hillsborough,12459.44312
East_Town,Northeast_Hillsborough,6224.29881
External,Northeast_Hillsborough,4282.41271
Northwest_Hillsborough,Tampa_Central,134118.79444
Tampa_Central,Tampa_Central,540040.69732
Northeast_Hillsborough,Tampa_Central,42468.55216
USF_Hospitals_Busch_Gardens,Tampa_Central,89696.43592
Pasco,Tampa_Central,28891.12519
Hernando_Citrus,Tampa_Central,379.34811
Westshore_Rocky_Point,Northeast_Hillsborough,191.23733
Hernando_Citrus,Northeast_Hillsborough,0
CZ2,Northeast_Hillsborough,456.45277
Downtown,Tampa_Central,28120.5891
West_Brandon_S_Falkenburg_Corrido,Tampa_Central,6595.46578
Southeast_Hillsborough,Tampa_Central,25496.9207
Pinellas,Tampa_Central,23219.96818
