FROM,TO,TRIPS
External,External,210053.41661
Hillsborough & Manatee Spur,External,70562.23868
Pinellas,External,25297.54815
Pasco West,External,1346.75403
Hudson,External,0
New Port Richey,External,0
Seven Springs & Odessa,External,2538.84005
Pasco Central,External,0
Pasco East,External,1512.49847
E New Port Richey,External,0
San Antonio,External,60.80805
Wesley Chapel & I-75 - SR56,External,145.00927
Zephyrhills,External,340.52045
Dade City,External,26.53765
Hernando,External,1673.4265
Citrus,External,14368.05794
Hillsborough & Manatee Spur,Hillsborough & Manatee Spur,5829310.71182998
Pinellas,Hillsborough & Manatee Spur,225228.55334
Suncoast & SR 54,Hillsborough & Manatee Spur,10596.16796
Seven Springs & Odessa,Hillsborough & Manatee Spur,8694.18715
Land O Lakes & Connerton,Hillsborough & Manatee Spur,18566.17596
Wesley Chapel & I-75 - SR56,Hillsborough & Manatee Spur,19840.36788
Pasco East,Hillsborough & Manatee Spur,62767.33147
Pasco Central,Hillsborough & Manatee Spur,37735.1716
External,Hillsborough & Manatee Spur,59251.32758
E New Port Richey,Hillsborough & Manatee Spur,22.72942
New Port Richey,Hillsborough & Manatee Spur,5139.19681
Hernando,Hillsborough & Manatee Spur,10462.52821
Pasco West,Hillsborough & Manatee Spur,7754.01549
Hudson,Hillsborough & Manatee Spur,2232.35196
I-75 & SR 52,Hillsborough & Manatee Spur,910.21848
Zephyrhills,Hillsborough & Manatee Spur,11014.97603
Citrus,Hillsborough & Manatee Spur,4388.54783
N W Pasco,Hillsborough & Manatee Spur,39.72833
San Antonio,Hillsborough & Manatee Spur,155.17616
Dade City,Hillsborough & Manatee Spur,151.07459
Pinellas,Pinellas,3538763.35511998
Pasco West,Pinellas,64711.02712
New Port Richey,Pinellas,27680.4502
Seven Springs & Odessa,Pinellas,4794.95945
Hillsborough & Manatee Spur,Pinellas,222981.92086
External,Pinellas,19223.01157
Pasco Central,Pinellas,546.04551
Pasco East,Pinellas,4403.33858
E New Port Richey,Pinellas,928.06505
Hernando,Pinellas,2704.94314
Land O Lakes & Connerton,Pinellas,138.94307
Wesley Chapel & I-75 - SR56,Pinellas,853.77751
Suncoast & SR 54,Pinellas,1722.68716
Citrus,Pinellas,545.91627
I-75 & SR 52,Pinellas,0
Zephyrhills,Pinellas,98.48649
N W Pasco,Pinellas,64.25054
Hudson,Pinellas,1.1909
San Antonio,Pinellas,0
Hillsborough & Manatee Spur,N W Pasco,0
Pasco West,N W Pasco,614.76147
Pasco Central,N W Pasco,1912.1949
Hernando,N W Pasco,3297.2954
External,Pasco West,2094.50658
Pasco West,Pasco West,249027.66647
Hudson,Pasco West,10602.7057
Hernando,Pasco West,4613.676
N W Pasco,N W Pasco,2756.19953
New Port Richey,N W Pasco,294.61068
New Port Richey,Pasco West,52801.56148
Pasco Central,Pasco West,25414.82455
Pinellas,Pasco West,57557.97248
Land O Lakes & Connerton,Pasco West,0
E New Port Richey,Pasco West,16350.75505
Seven Springs & Odessa,Pasco West,53492.63691
Pasco West,Hudson,9291.0311
Hudson,Hudson,10052.44905
New Port Richey,Hudson,2323.93865
Pasco Central,Hudson,889.18926
Seven Springs & Odessa,Hudson,0
Hernando,Hudson,783.16085
Hillsborough & Manatee Spur,Hudson,2364.16413
Pinellas,Hudson,1.1909
N W Pasco,Hudson,81.98412
