FROM,TO,TRIPS
External,External,210053.41661
Hillsborough,External,70562.23868
Tarpon Springs Area,External,0
Pinellas North,External,4053.97817
Pinellas Beaches,External,511.82362
Pinellas North Central,External,2901.8682
Clearwater Dwntwn,External,431.16557
Clearwater Mall,External,0
Pinellas Central,External,3366.79674
St Petersburg Clearwater Area,External,115.70621
Pinellas South,External,12446.45613
Gateway Area,External,0
Dwntwn USF Albert Whitted Airport,External,1469.75351
Pasco,External,5970.96797
Hernando & Citrus,External,16041.48444
Manatee Spur,External,0
Hillsborough,Hillsborough,5827658.07768999
Pinellas North,Hillsborough,20683.48507
Pinellas North Central,Hillsborough,70453.89677
Pasco,Hillsborough,185618.86929
External,Hillsborough,59251.32758
Mid-Cnty Ind Area,Hillsborough,7671.2761
Gateway Area,Hillsborough,10875.63194
Hernando & Citrus,Hillsborough,14851.07604
Pinellas South,Hillsborough,41324.86403
St Petersburg Clearwater Area,Hillsborough,226.12365
Pinellas Beaches,Hillsborough,10269.84427
Clearwater Dwntwn,Hillsborough,478.81807
Dwntwn USF Albert Whitted Airport,Hillsborough,11884.84882
Pinellas Central,Hillsborough,30516.87298
Tarpon Springs Area,Hillsborough,18.28361
Clearwater Mall,Hillsborough,492.8583
Oldsmar Ind Area,Hillsborough,19666.70595
Grand Central Area,Hillsborough,0
Tyrone Square Area,Hillsborough,118.40416
Manatee Spur,Hillsborough,673.88821
Pinellas North,Pinellas North,244458.47431
Pinellas North Central,Pinellas North,74213.65407
Pasco,Pinellas North,46884.05625
Hillsborough,Pinellas North,22485.14298
Pinellas Central,Pinellas North,6246.60762
Tarpon Springs Area,Pinellas North,1272.08506
External,Tarpon Springs Area,0
Pinellas North,Tarpon Springs Area,727.0245
Tarpon Springs Area,Tarpon Springs Area,13.46489
Pinellas North Central,Tarpon Springs Area,19017.16844
Pinellas Beaches,Tarpon Springs Area,18.28361
Pinellas South,Tarpon Springs Area,0
Pasco,Tarpon Springs Area,20.83524
Clearwater Mall,Pinellas North,23.45206
Hillsborough,Tarpon Springs Area,0
Pinellas Central,Tarpon Springs Area,0
Pinellas South,Pinellas North,2749.97208
External,Pinellas North,1561.8158
Clearwater Dwntwn,Pinellas North,3507.41552
Countryside Mall,Pinellas North,146.84562
Hernando & Citrus,Pinellas North,66.19385
Gateway Area,Pinellas North,566.17124
Oldsmar Ind Area,Pinellas North,4383.6448
Pinellas Beaches,Pinellas North,43.12364
Dwntwn USF Albert Whitted Airport,Pinellas North,167.12692
Mid-Cnty Ind Area,Pinellas North,2478.86576
St Petersburg Clearwater Area,Pinellas North,2330.99874
Tyrone Square Area,Pinellas North,2399.67896
External,Pinellas Beaches,644.36543
Hillsborough,Pinellas Beaches,11443.21093
Pinellas North,Pinellas Beaches,881.38215
Pinellas Beaches,Pinellas Beaches,22513.2002
Pinellas North Central,Pinellas Beaches,4119.41713
Pinellas South,Pinellas Beaches,16553.74423
Pasco,Pinellas Beaches,4043.71357
Hillsborough,Pinellas North Central,63081.19559
Pinellas North,Pinellas North Central,79240.88976
Pinellas Beaches,Pinellas North Central,4348.48866
Pinellas North Central,Pinellas North Central,764130.02048
Countryside Mall,Pinellas North Central,8611.14128
Hernando & Citrus,Pinellas North Central,1194.08463
External,Pinellas North Central,1415.058
Clearwater Dwntwn,Pinellas North Central,17913.66873
Clearwater Mall,Pinellas North Central,14351.33177
Pinellas Central,Pinellas North Central,74081.41107
Pinellas South,Pinellas North Central,31023.92773
Dwntwn USF Albert Whitted Airport,Pinellas North Central,12548.59953
Tarpon Springs Area,Pinellas North Central,0
Oldsmar Ind Area,Pinellas North Central,10631.29993
Pasco,Pinellas North Central,42342.69956
Mid-Cnty Ind Area,Pinellas North Central,11377.07825
Gateway Area,Pinellas North Central,2797.08304
Hillsborough,Oldsmar Ind Area,27094.36044
Pinellas North,Oldsmar Ind Area,9865.24013
Pinellas North Central,Oldsmar Ind Area,7904.51368
Oldsmar Ind Area,Oldsmar Ind Area,3333.85911
Gateway Area,Oldsmar Ind Area,0
Pasco,Oldsmar Ind Area,6714.59449
Clearwater Mall,Oldsmar Ind Area,0
Pinellas Central,Oldsmar Ind Area,142.26536
St Petersburg Clearwater Area,Pinellas North Central,157.65798
Pinellas North,Countryside Mall,251.70312
Pinellas North Central,Countryside Mall,9216.85154
Countryside Mall,Countryside Mall,115.62569
Clearwater Mall,Countryside Mall,123.48603
Pinellas Central,Countryside Mall,0
Pinellas South,Countryside Mall,330.62108
Dwntwn USF Albert Whitted Airport,Countryside Mall,0
Pasco,Countryside Mall,98.27294
Tyrone Square Area,Pinellas North Central,6040.48772
Clearwater Dwntwn,Pinellas Beaches,504.93445
Pinellas Central,Pinellas Beaches,21646.33139
Mid-Cnty Ind Area,Pinellas Beaches,346.7361
Clearwater Dwntwn,Clearwater Dwntwn,11857.57872
Pinellas Central,Clearwater Dwntwn,3722.87478
Hillsborough,Clearwater Dwntwn,727.84808
Pinellas North,Clearwater Dwntwn,772.38304
Pinellas North Central,Clearwater Dwntwn,24436.99893
Pinellas South,Clearwater Dwntwn,1659.29998
External,Clearwater Dwntwn,366.93497
Oldsmar Ind Area,Clearwater Dwntwn,0
Mid-Cnty Ind Area,Clearwater Dwntwn,192.28313
Pinellas Beaches,Clearwater Dwntwn,780.13207
Dwntwn USF Albert Whitted Airport,Clearwater Dwntwn,0
Pasco,Clearwater Dwntwn,569.03561
Clearwater Mall,Clearwater Dwntwn,26.40749
External,Clearwater Mall,0
Hillsborough,Clearwater Mall,579.88932
Pinellas North,Clearwater Mall,149.95343
Pinellas North Central,Clearwater Mall,14287.99513
Clearwater Dwntwn,Clearwater Mall,484.10794
Clearwater Mall,Clearwater Mall,244.98691
Pinellas Central,Clearwater Mall,2605.44034
Mid-Cnty Ind Area,Clearwater Mall,537.45107
Pinellas South,Clearwater Mall,26.41161
Dwntwn USF Albert Whitted Airport,Clearwater Mall,0
Pasco,Clearwater Mall,141.42344
Dwntwn USF Albert Whitted Airport,Pinellas Beaches,1904.97519
Gateway Area,Pinellas Beaches,0
Tyrone Square Area,Pinellas Beaches,43.61154
Pinellas North,Pinellas Central,9178.4946
Pinellas Beaches,Pinellas Central,13595.76234
Pinellas North Central,Pinellas Central,82983.59898
Pinellas Central,Pinellas Central,496662.85316
Pinellas South,Pinellas Central,65955.00449
Clearwater Dwntwn,Pinellas Central,3498.51152
