FROM,TO,RESIDENT TRIPS,VISITOR TRIPS
Hillsborough_Other,Hillsborough_Other,8871753.04118126,335992.708619118
Tampa,Hillsborough_Other,1382674.01342432,45319.0486918688
USF_Hosp_Busch,Hillsborough_Other,196651.293804704,8271.87430858612
Plant_City,Hillsborough_Other,148148.829456574,6541.14575982094
Pinellas_Other,Hillsborough_Other,630604.089102811,23905.1797875166
Pinellas_Beaches,Hillsborough_Other,22749.3610514784,933.719139099121
Clearwater,Hillsborough_Other,77995.2146333383,2297.10910236836
St_Petersburg,Hillsborough_Other,204624.131839142,6218.95591658354
Pasco_Other,Hillsborough_Other,102689.940615141,3761.73135149479
New_Port_Richey,Hillsborough_Other,4022.65787160397,180.251497268677
Hernando_Other,Hillsborough_Other,46534.0660336914,40220.2012710007
Hillsborough_Other,Tampa,1344581.19807299,45413.7311102152
Tampa,Tampa,3683310.32315919,180800.269487876
USF_Hosp_Busch,Tampa,120840.400642992,7862.54745578766
Plant_City,Tampa,15835.5588074515,860.079237937927
Pinellas_Other,Tampa,224106.545889207,17221.1347859502
Pinellas_Beaches,Tampa,10724.5562848656,1326.85268783569
Clearwater,Tampa,24244.3973874864,2817.68207836151
St_Petersburg,Tampa,53294.9014844955,4246.08274066448
Pasco_Other,Tampa,66180.357665454,2730.82409900427
New_Port_Richey,Tampa,2659.12548780441,106.579936027527
Hernando_Other,Tampa,10798.2945664738,19564.6274481119
Hillsborough_Other,USF_Hosp_Busch,189096.501840616,7303.19873809814
Tampa,USF_Hosp_Busch,116981.852813472,7297.48110485077
USF_Hosp_Busch,USF_Hosp_Busch,248448.074076419,37266.4745405316
Plant_City,USF_Hosp_Busch,1381.80158859491,163.826162338257
Pinellas_Other,USF_Hosp_Busch,24237.5346638972,1253.1500453949
Pinellas_Beaches,USF_Hosp_Busch,651.512098278152,81.9082174301147
Clearwater,USF_Hosp_Busch,1688.70170140266,221.143633842468
St_Petersburg,USF_Hosp_Busch,4709.20214047609,327.637007713318
Pasco_Other,USF_Hosp_Busch,12112.0911319675,439.599630057812
New_Port_Richey,USF_Hosp_Busch,489.104511260986,8.18546581268311
Hernando_Other,USF_Hosp_Busch,1039.09334559343,3630.32367681066
Hillsborough_Other,Plant_City,148838.812682486,6761.35516661406
Tampa,Plant_City,16140.4931736372,1228.70037460327
USF_Hosp_Busch,Plant_City,1600.56630182266,213.458719134331
Plant_City,Plant_City,391137.886406868,22919.7358202934
Pinellas_Other,Plant_City,5691.30445785774,647.21226978302
Pinellas_Beaches,Plant_City,209.296817302704,49.1403732299805
Clearwater,Plant_City,708.830244660378,81.9128007888794
St_Petersburg,Plant_City,1568.59989881516,81.8975896835327
Pasco_Other,Plant_City,5848.67803646624,419.890621483326
New_Port_Richey,Plant_City,381.077397823334,24.5895147323608
Hernando_Other,Plant_City,9190.59779323975,10250.5686398294
Hillsborough_Other,Pinellas_Other,633671.68996509,23689.9297523499
Tampa,Pinellas_Other,230665.025513305,13420.9006791115
USF_Hosp_Busch,Pinellas_Other,25958.6938719619,1425.2388381958
Plant_City,Pinellas_Other,5378.42158424621,505.923506140709
Pinellas_Other,Pinellas_Other,4839786.50285825,232658.035953164
Pinellas_Beaches,Pinellas_Other,204983.89905974,8428.81247210503
Clearwater,Pinellas_Other,477450.737858489,19278.1431436539
St_Petersburg,Pinellas_Other,760692.801000879,24025.4135200977
Pasco_Other,Pinellas_Other,284560.239167643,9049.90217500553
New_Port_Richey,Pinellas_Other,17556.8227559389,582.125824138522
Hernando_Other,Pinellas_Other,14242.8697702885,14814.9553478451
Hillsborough_Other,Pinellas_Beaches,22917.396157111,964.512713491917
Tampa,Pinellas_Beaches,12023.1751790313,1122.15238952637
USF_Hosp_Busch,Pinellas_Beaches,732.06744786608,122.899472236633
Plant_City,Pinellas_Beaches,210.521732807159,24.5696172714233
Pinellas_Other,Pinellas_Beaches,202397.766719916,8764.60666942596
Pinellas_Beaches,Pinellas_Beaches,96585.1772074699,4912.34800946713
