ZONE,COUNTY,MODE,TRIPS
1,Hillsborough County,BIKE,0
1,Hillsborough County,BIKE_SHARE,0
1,Hillsborough County,CAR,0
1,Hillsborough County,CAR_SHARE,0
1,Hillsborough County,LONG_DIST_PASS,0
1,Hillsborough County,MISSING,0
1,Hillsborough County,OTHER,0
1,Hillsborough County,SCHOOL_BUS,0
1,Hillsborough County,SHUTTLE_VANPOOL,0
1,Hillsborough County,TNC,0
1,Hillsborough County,TRANSIT,0
1,Hillsborough County,WALK,0
4,Hillsborough County,BIKE,0
4,Hillsborough County,BIKE_SHARE,0
4,Hillsborough County,CAR,301.83055
4,Hillsborough County,CAR_SHARE,0
4,Hillsborough County,LONG_DIST_PASS,0
4,Hillsborough County,MISSING,0
4,Hillsborough County,OTHER,0
4,Hillsborough County,SCHOOL_BUS,0
4,Hillsborough County,SHUTTLE_VANPOOL,0
4,Hillsborough County,TNC,0
4,Hillsborough County,TRANSIT,0
4,Hillsborough County,WALK,0
6,Hillsborough County,BIKE,0
6,Hillsborough County,BIKE_SHARE,0
6,Hillsborough County,CAR,22.72942
6,Hillsborough County,CAR_SHARE,0
6,Hillsborough County,LONG_DIST_PASS,0
6,Hillsborough County,MISSING,0
6,Hillsborough County,OTHER,0
6,Hillsborough County,SCHOOL_BUS,0
6,Hillsborough County,SHUTTLE_VANPOOL,0
6,Hillsborough County,TNC,0
6,Hillsborough County,TRANSIT,0
6,Hillsborough County,WALK,0
8,Hillsborough County,BIKE,0
8,Hillsborough County,BIKE_SHARE,0
8,Hillsborough County,CAR,2143.90985
8,Hillsborough County,CAR_SHARE,0
8,Hillsborough County,LONG_DIST_PASS,0
8,Hillsborough County,MISSING,0
8,Hillsborough County,OTHER,0
8,Hillsborough County,SCHOOL_BUS,0
8,Hillsborough County,SHUTTLE_VANPOOL,0
8,Hillsborough County,TNC,0
8,Hillsborough County,TRANSIT,0
8,Hillsborough County,WALK,0
9,Hillsborough County,BIKE,0
9,Hillsborough County,BIKE_SHARE,0
9,Hillsborough County,CAR,303.22002
9,Hillsborough County,CAR_SHARE,0
9,Hillsborough County,LONG_DIST_PASS,0
9,Hillsborough County,MISSING,0
9,Hillsborough County,OTHER,0
9,Hillsborough County,SCHOOL_BUS,0
9,Hillsborough County,SHUTTLE_VANPOOL,0
9,Hillsborough County,TNC,0
9,Hillsborough County,TRANSIT,0
9,Hillsborough County,WALK,0
10,Hillsborough County,BIKE,0
10,Hillsborough County,BIKE_SHARE,0
10,Hillsborough County,CAR,0
10,Hillsborough County,CAR_SHARE,0
10,Hillsborough County,LONG_DIST_PASS,0
10,Hillsborough County,MISSING,0
10,Hillsborough County,OTHER,0
10,Hillsborough County,SCHOOL_BUS,0
