ZONE,COUNTY,MODE,TRIPS
1,Hillsborough County,AUTO,7218.92936
2,Hillsborough County,AUTO,3668.04558
2,Hillsborough County,BIKE,1620.59396
3,Hillsborough County,AUTO,40966.3886300001
3,Hillsborough County,SCHOOL_BUS,6977.00954
3,Hillsborough County,TRANSIT,243.68949
4,Hillsborough County,AUTO,2595.40904
4,Hillsborough County,BIKE,182.37893
5,Hillsborough County,AUTO,3562.96544
6,Hillsborough County,AUTO,527.96218
7,Hillsborough County,AUTO,4386.71522
8,Hillsborough County,AUTO,5167.54193
9,Hillsborough County,AUTO,2291.1547
10,Hillsborough County,AUTO,321.48336
11,Hillsborough County,AUTO,9992.52234
11,Hillsborough County,BIKE,1620.59396
12,Hillsborough County,AUTO,2807.91552
13,Hillsborough County,AUTO,1792.73186
13,Hillsborough County,WALK,398.02624
14,Hillsborough County,AUTO,28389.37562
14,Hillsborough County,SCHOOL_BUS,6977.00954
15,Hillsborough County,AUTO,7838.59137
16,Hillsborough County,AUTO,22365.88727
17,Hillsborough County,AUTO,23346.86519
18,Hillsborough County,AUTO,2894.11001
19,Hillsborough County,AUTO,10110.95532
20,Hillsborough County,AUTO,429.46221
21,Hillsborough County,AUTO,556.06527
22,Hillsborough County,AUTO,280.7832
23,Hillsborough County,AUTO,9041.49509
24,Hillsborough County,AUTO,1003.31965
24,Hillsborough County,WALK,282.77182
25,Hillsborough County,AUTO,457.28335
26,Hillsborough County,AUTO,323.15919
26,Hillsborough County,WALK,2833.52874
27,Hillsborough County,AUTO,10743.60265
28,Hillsborough County,AUTO,652.64674
29,Hillsborough County,AUTO,870.97012
29,Hillsborough County,TRANSIT,243.68949
29,Hillsborough County,WALK,694.31758
30,Hillsborough County,AUTO,10927.04726
30,Hillsborough County,BIKE,136.43902
31,Hillsborough County,AUTO,582.50041
31,Hillsborough County,WALK,197.1748
32,Hillsborough County,AUTO,2328.27588
33,Hillsborough County,AUTO,241.86869
34,Hillsborough County,AUTO,23588.64128
34,Hillsborough County,OTHER,154.33716
35,Hillsborough County,AUTO,10573.89309
35,Hillsborough County,BIKE,37.37801
35,Hillsborough County,WALK,73.74075
36,Hillsborough County,AUTO,31948.67587
36,Hillsborough County,WALK,73.74075
37,Hillsborough County,AUTO,8432.55729
37,Hillsborough County,WALK,255.14607
38,Hillsborough County,AUTO,19461.7812
39,Hillsborough County,AUTO,573.10502
40,Hillsborough County,AUTO,1388.25369
41,Hillsborough County,AUTO,10262.33497
41,Hillsborough County,SCHOOL_BUS,1566.14114
42,Hillsborough County,AUTO,7495.83362
43,Hillsborough County,AUTO,1794.56689
44,Hillsborough County,AUTO,2569.57238
44,Hillsborough County,WALK,268.96274
45,Hillsborough County,AUTO,2049.94806
47,Hillsborough County,AUTO,19.39896
48,Hillsborough County,AUTO,22.72942
49,Hillsborough County,AUTO,2086.57378
50,Hillsborough County,AUTO,1595.0541
50,Hillsborough County,SCHOOL_BUS,1612.5146
51,Hillsborough County,AUTO,991.55251
51,Hillsborough County,SCHOOL_BUS,98.955
51,Hillsborough County,WALK,115.95422
52,Hillsborough County,AUTO,18.28362
53,Hillsborough County,AUTO,19390.09445
53,Hillsborough County,SCHOOL_BUS,98.955
53,Hillsborough County,WALK,36.56722
54,Hillsborough County,AUTO,21802.92613
54,Hillsborough County,TRANSIT,268.96274
54,Hillsborough County,WALK,268.96274
55,Hillsborough County,AUTO,391.76315
55,Hillsborough County,WALK,445.2036
56,Hillsborough County,AUTO,14668.85448
56,Hillsborough County,OTHER,18.39314
57,Hillsborough County,AUTO,7758.07375
57,Hillsborough County,TRANSIT,268.96274
57,Hillsborough County,WALK,806.88822
58,Hillsborough County,AUTO,796.92477
59,Hillsborough County,AUTO,3130.45342
60,Hillsborough County,AUTO,7574.80581
61,Hillsborough County,AUTO,2206.39109
61,Hillsborough County,WALK,115.95422
62,Hillsborough County,AUTO,2965.22914
62,Hillsborough County,BIKE,98.30453
62,Hillsborough County,WALK,106.16413
63,Hillsborough County,AUTO,5092.20579
63,Hillsborough County,SCHOOL_BUS,1566.14114
63,Hillsborough County,WALK,203.56752
64,Hillsborough County,AUTO,1276.61791
64,Hillsborough County,WALK,196.60906
65,Hillsborough County,AUTO,9752.7085
65,Hillsborough County,OTHER,98.30453
65,Hillsborough County,SHUTTLE_VANPOOL,82.94075
65,Hillsborough County,TRANSIT,1075.85096
65,Hillsborough County,WALK,2386.32756
66,Hillsborough County,AUTO,5681.2914
66,Hillsborough County,SHUTTLE_VANPOOL,82.94075
68,Hillsborough County,AUTO,18401.2248
69,Hillsborough County,AUTO,498.89336
69,Hillsborough County,WALK,635.49993
71,Hillsborough County,AUTO,459.88629
71,Hillsborough County,TRANSIT,268.96274
71,Hillsborough County,WALK,537.92548
72,Hillsborough County,AUTO,15080.16782
72,Hillsborough County,BIKE,22.87935
72,Hillsborough County,TNC,148.41916
72,Hillsborough County,TRANSIT,268.96274
73,Hillsborough County,AUTO,3684.38087
74,Hillsborough County,AUTO,1504.5914
75,Hillsborough County,AUTO,15890.81861
76,Hillsborough County,AUTO,8479.06946
76,Hillsborough County,TRANSIT,287.43914
76,Hillsborough County,WALK,544.08428
77,Hillsborough County,AUTO,5867.26477
77,Hillsborough County,TRANSIT,268.96274
77,Hillsborough County,WALK,277.17338
78,Hillsborough County,AUTO,4135.89614
78,Hillsborough County,SHUTTLE_VANPOOL,827.54962
78,Hillsborough County,TNC,209.76923
79,Hillsborough County,AUTO,5934.22777
80,Hillsborough County,AUTO,9437.80987
80,Hillsborough County,SCHOOL_BUS,1292.59998
80,Hillsborough County,WALK,5247.7459
81,Hillsborough County,AUTO,15333.45401
81,Hillsborough County,SCHOOL_BUS,2518.99993
81,Hillsborough County,WALK,633.5615
82,Hillsborough County,AUTO,2139.07778
83,Hillsborough County,AUTO,5079.22685
83,Hillsborough County,WALK,279.32045
84,Hillsborough County,AUTO,20612.89481
84,Hillsborough County,TAXI_NOT_TNC,104.93224
84,Hillsborough County,WALK,27258.6508
85,Hillsborough County,AUTO,24905.06917
85,Hillsborough County,WALK,1257.26072
86,Hillsborough County,AUTO,70537.90715
86,Hillsborough County,BIKE,85.02834
86,Hillsborough County,WALK,866.98071
87,Hillsborough County,AUTO,4002.03801
