FROM,TO,TRIPS
,,0
,Brooksville_Area,0
,Chassahowitzka_WMA_NW_Hernando,0
,Croom_WMA_NE_Hernando,0
,Crystal_River_and_NW_Citrus,0
,Hillsborough_Manatee_Spur,0
,Homosassa_Springs_SW_Citrus,0
,Inverness_and_NE_Citrus,0
,Lake_Lindsey_N._Central_Hernando,0
,North_Central_Citrus,0
,Pasco,0
,Pinellas,0
,Richloam_WMA_and_E_Hernando,0
,South_Central_Hernando,0
,South_East_Citrus,0
,Spring_Hill_and_SW_Hernando,0
Brooksville_Area,,0
Brooksville_Area,Brooksville_Area,35187.57965
Brooksville_Area,Chassahowitzka_WMA_NW_Hernando,606.96709
Brooksville_Area,Croom_WMA_NE_Hernando,2928.67581
Brooksville_Area,Crystal_River_and_NW_Citrus,0
Brooksville_Area,Hillsborough_Manatee_Spur,480.37276
Brooksville_Area,Homosassa_Springs_SW_Citrus,1017.29657
Brooksville_Area,Inverness_and_NE_Citrus,0
Brooksville_Area,Lake_Lindsey_N._Central_Hernando,889.85183
Brooksville_Area,North_Central_Citrus,0
Brooksville_Area,Pasco,8721.59095
Brooksville_Area,Pinellas,118.40302
Brooksville_Area,Richloam_WMA_and_E_Hernando,53.09724
Brooksville_Area,South_Central_Hernando,2693.52404
Brooksville_Area,South_East_Citrus,0
Brooksville_Area,Spring_Hill_and_SW_Hernando,16861.20624
Chassahowitzka_WMA_NW_Hernando,,0
Chassahowitzka_WMA_NW_Hernando,Brooksville_Area,66.85124
Chassahowitzka_WMA_NW_Hernando,Chassahowitzka_WMA_NW_Hernando,2832.8092
Chassahowitzka_WMA_NW_Hernando,Croom_WMA_NE_Hernando,0
Chassahowitzka_WMA_NW_Hernando,Crystal_River_and_NW_Citrus,0
Chassahowitzka_WMA_NW_Hernando,Hillsborough_Manatee_Spur,278.03035
Chassahowitzka_WMA_NW_Hernando,Homosassa_Springs_SW_Citrus,0
Chassahowitzka_WMA_NW_Hernando,Inverness_and_NE_Citrus,0
Chassahowitzka_WMA_NW_Hernando,Lake_Lindsey_N._Central_Hernando,0
Chassahowitzka_WMA_NW_Hernando,North_Central_Citrus,0
Chassahowitzka_WMA_NW_Hernando,Pasco,0
Chassahowitzka_WMA_NW_Hernando,Pinellas,84.01617
Chassahowitzka_WMA_NW_Hernando,Richloam_WMA_and_E_Hernando,0
Chassahowitzka_WMA_NW_Hernando,South_Central_Hernando,0
Chassahowitzka_WMA_NW_Hernando,South_East_Citrus,0
Chassahowitzka_WMA_NW_Hernando,Spring_Hill_and_SW_Hernando,16199.29287
Croom_WMA_NE_Hernando,,0
Croom_WMA_NE_Hernando,Brooksville_Area,2587.08363
Croom_WMA_NE_Hernando,Chassahowitzka_WMA_NW_Hernando,0
Croom_WMA_NE_Hernando,Croom_WMA_NE_Hernando,268.19562
Croom_WMA_NE_Hernando,Crystal_River_and_NW_Citrus,0
Croom_WMA_NE_Hernando,Hillsborough_Manatee_Spur,32.17132
Croom_WMA_NE_Hernando,Homosassa_Springs_SW_Citrus,0
Croom_WMA_NE_Hernando,Inverness_and_NE_Citrus,257.57865
Croom_WMA_NE_Hernando,Lake_Lindsey_N._Central_Hernando,0
Croom_WMA_NE_Hernando,North_Central_Citrus,0
Croom_WMA_NE_Hernando,Pasco,0
Croom_WMA_NE_Hernando,Pinellas,98.27294
Croom_WMA_NE_Hernando,Richloam_WMA_and_E_Hernando,0
Croom_WMA_NE_Hernando,South_Central_Hernando,146.66007
Croom_WMA_NE_Hernando,South_East_Citrus,0
Croom_WMA_NE_Hernando,Spring_Hill_and_SW_Hernando,256.72736
Crystal_River_and_NW_Citrus,,0
Crystal_River_and_NW_Citrus,Brooksville_Area,0
Crystal_River_and_NW_Citrus,Chassahowitzka_WMA_NW_Hernando,0
Crystal_River_and_NW_Citrus,Croom_WMA_NE_Hernando,0
Crystal_River_and_NW_Citrus,Crystal_River_and_NW_Citrus,53034.90673
Crystal_River_and_NW_Citrus,Hillsborough_Manatee_Spur,0
Crystal_River_and_NW_Citrus,Homosassa_Springs_SW_Citrus,10768.94441
Crystal_River_and_NW_Citrus,Inverness_and_NE_Citrus,9757.42564
Crystal_River_and_NW_Citrus,Lake_Lindsey_N._Central_Hernando,0
Crystal_River_and_NW_Citrus,North_Central_Citrus,24693.71682
Crystal_River_and_NW_Citrus,Pasco,0
Crystal_River_and_NW_Citrus,Pinellas,0
Crystal_River_and_NW_Citrus,Richloam_WMA_and_E_Hernando,0
Crystal_River_and_NW_Citrus,South_Central_Hernando,100.62937
Crystal_River_and_NW_Citrus,South_East_Citrus,3449.26253
Crystal_River_and_NW_Citrus,Spring_Hill_and_SW_Hernando,820.6184
Hillsborough_Manatee_Spur,,0
Hillsborough_Manatee_Spur,Brooksville_Area,345.42532
Hillsborough_Manatee_Spur,Chassahowitzka_WMA_NW_Hernando,196.71632
Hillsborough_Manatee_Spur,Croom_WMA_NE_Hernando,22.76235
Hillsborough_Manatee_Spur,Crystal_River_and_NW_Citrus,0
Hillsborough_Manatee_Spur,Hillsborough_Manatee_Spur,0
Hillsborough_Manatee_Spur,Homosassa_Springs_SW_Citrus,37.83016
Hillsborough_Manatee_Spur,Inverness_and_NE_Citrus,42.11615
Hillsborough_Manatee_Spur,Lake_Lindsey_N._Central_Hernando,0
Hillsborough_Manatee_Spur,North_Central_Citrus,98.28257
Hillsborough_Manatee_Spur,Pasco,0
Hillsborough_Manatee_Spur,Pinellas,0
Hillsborough_Manatee_Spur,Richloam_WMA_and_E_Hernando,2729.51712
Hillsborough_Manatee_Spur,South_Central_Hernando,1679.59589
Hillsborough_Manatee_Spur,South_East_Citrus,3409.737
Hillsborough_Manatee_Spur,Spring_Hill_and_SW_Hernando,3750.82715
