FROM,TO,TRIPS
External,External,210053.41661
Northwest Hillsborough,External,656.75975
Northeast Hillsborough,External,5284.575
Tampa Central,External,8835.411
Tampa Intl Airport / Anderson Rd,External,10873.74122
USF / Hospitals / Busch Gardens,External,151.00017
Hidden River / Telecom Park,External,0
Harney Corridor / Tampa Ex Airpor,External,4163.32737
East Town,External,606.7843
Plant City Area,External,3961.47305
Westshore / Rocky Point,External,1106.73199
Southwest Hillsborough,External,5298.0094
MacDill AFB / Port Tampa,External,0
Downtown,External,9032.18218
Port of Tampa / 50th St Corridor,External,0
West Brandon S Falkenburg Corrido,External,437.14731
Southeast Hillsborough,External,2292.49231
CZ1,External,8006.59823
CZ2,External,1194.60893
CZ3,External,1293.15244
CZ4,External,7368.24403
Pinellas,External,25297.54815
Pasco,External,5970.96797
Hernando & Citrus,External,16041.48444
Manatee Spur,External,0
Northwest Hillsborough,Northwest Hillsborough,868324.710399999
Pinellas,Northwest Hillsborough,68992.77459
Pasco,Northwest Hillsborough,62347.4014
Northeast Hillsborough,Northwest Hillsborough,14663.85688
East Town,Northwest Hillsborough,11746.32601
Tampa Central,Northwest Hillsborough,128678.83273
USF / Hospitals / Busch Gardens,Northwest Hillsborough,10317.5783
Tampa Intl Airport / Anderson Rd,Northwest Hillsborough,53649.7171
Harney Corridor / Tampa Ex Airpor,Northwest Hillsborough,1611.94887
External,Northwest Hillsborough,554.00227
Hidden River / Telecom Park,Northwest Hillsborough,2103.81789
Westshore / Rocky Point,Northwest Hillsborough,17996.96153
Southwest Hillsborough,Northwest Hillsborough,23600.72625
Southeast Hillsborough,Northwest Hillsborough,1173.26208
Citrus Park,Northwest Hillsborough,11089.0956
CZ4,Northwest Hillsborough,1803.80675
Hernando & Citrus,Northwest Hillsborough,7048.87185
Downtown,Northwest Hillsborough,13082.15119
CZ1,Northwest Hillsborough,4093.91825
West Brandon S Falkenburg Corrido,Northwest Hillsborough,852.16371
Northeast Hillsborough,Northeast Hillsborough,261601.98213
Tampa Central,Northeast Hillsborough,37455.20237
Citrus Park,Northeast Hillsborough,249.78111
USF / Hospitals / Busch Gardens,Northeast Hillsborough,19693.96766
Harney Corridor / Tampa Ex Airpor,Northeast Hillsborough,3412.62249
Hidden River / Telecom Park,Northeast Hillsborough,978.87193
Tampa Intl Airport / Anderson Rd,Northeast Hillsborough,1601.21187
Southwest Hillsborough,Northeast Hillsborough,1113.74509
Downtown,Northeast Hillsborough,8676.42519
West Brandon S Falkenburg Corrido,Northeast Hillsborough,14612.62279
CZ1,Northeast Hillsborough,22593.58885
Pinellas,Northeast Hillsborough,4828.29291
Pasco,Northeast Hillsborough,21410.01231
Southeast Hillsborough,Northeast Hillsborough,35637.82851
Northwest Hillsborough,Northeast Hillsborough,12459.44312
East Town,Northeast Hillsborough,6224.29881
External,Northeast Hillsborough,4282.41271
Northwest Hillsborough,Tampa Central,134118.79444
Tampa Central,Tampa Central,540040.69732
Northeast Hillsborough,Tampa Central,42468.55216
USF / Hospitals / Busch Gardens,Tampa Central,89696.43592
Pasco,Tampa Central,28891.12519
Hernando & Citrus,Tampa Central,379.34811
Westshore / Rocky Point,Northeast Hillsborough,191.23733
Hernando & Citrus,Northeast Hillsborough,0
CZ2,Northeast Hillsborough,456.45277
Downtown,Tampa Central,28120.5891
West Brandon S Falkenburg Corrido,Tampa Central,6595.46578
Southeast Hillsborough,Tampa Central,25496.9207
Pinellas,Tampa Central,23219.96818
Plant City Area,Northeast Hillsborough,28045.67443
Southwest Hillsborough,Tampa Central,42627.99633
East Town,Tampa Central,5369.67875
Harney Corridor / Tampa Ex Airpor,Tampa Central,6947.3097
Tampa Intl Airport / Anderson Rd,Tampa Central,22851.10538
