FROM,TO,TRIPS
External,External,210053.41661
Hillsborough_Other,External,30814.91581
Tampa,External,34102.84803
USF_Hosp_Busch,External,151.00017
Plant_City,External,5493.47467
Pinellas_Other,External,16206.98355
Pinellas_Beaches,External,511.82362
Clearwater,External,2172.17052
St_Petersburg,External,6406.57046
Pasco_Other,External,5970.96797
New_Port_Richey,External,0
Hernando_Other,External,575.40322
Spring_Hill,External,1098.02328
Citrus,External,14368.05794
Manatee_Spur,External,0
Hillsborough_Other,Hillsborough_Other,3132130.98435999
Pinellas_Other,Hillsborough_Other,93185.61387
Clearwater,Hillsborough_Other,8046.9546
Pasco_Other,Hillsborough_Other,93797.91084
USF_Hosp_Busch,Hillsborough_Other,61041.73711
Tampa,Hillsborough_Other,398067.75793
External,Hillsborough_Other,26235.85204
St_Petersburg,Hillsborough_Other,21254.5385
Hernando_Other,Hillsborough_Other,5633.82767
Spring_Hill,Hillsborough_Other,2195.33749
Plant_City,Hillsborough_Other,23427.15583
New_Port_Richey,Hillsborough_Other,1008.07865
Tampa,Tampa,1235027.79187
Hillsborough_Other,Tampa,425630.07088
USF_Hosp_Busch,Tampa,88059.52088
Pinellas_Beaches,Tampa,3042.62578
Pasco_Other,Tampa,76272.53333
External,Tampa,28777.58166
Clearwater,Tampa,14081.06542
Spring_Hill,Tampa,2290.37142
Pinellas_Other,Tampa,33294.41541
Plant_City,Tampa,5323.51629
New_Port_Richey,Tampa,1960.3148
St_Petersburg,Tampa,23730.48137
Pinellas_Beaches,Hillsborough_Other,7227.21849
Citrus,Hillsborough_Other,149.7468
Hillsborough_Other,USF_Hosp_Busch,76172.82674
Tampa,USF_Hosp_Busch,69656.22249
USF_Hosp_Busch,USF_Hosp_Busch,153537.84568
Pinellas_Other,USF_Hosp_Busch,6257.07639
Clearwater,USF_Hosp_Busch,4891.78708
New_Port_Richey,USF_Hosp_Busch,1824.4349
Pasco_Other,USF_Hosp_Busch,7297.45766
External,USF_Hosp_Busch,148.15938
Plant_City,USF_Hosp_Busch,0
Spring_Hill,USF_Hosp_Busch,32.51243
Hernando_Other,Tampa,310.4792
St_Petersburg,USF_Hosp_Busch,9661.96973
Citrus,USF_Hosp_Busch,4145.50713
Hernando_Other,USF_Hosp_Busch,0
Plant_City,Plant_City,134557.28652
Hillsborough_Other,Plant_City,23342.98179
USF_Hosp_Busch,Plant_City,0
Pinellas_Other,Plant_City,8.16708
External,Plant_City,4089.7345
Tampa,Plant_City,1682.37932
Pinellas_Beaches,Plant_City,0
St_Petersburg,Plant_City,0
Pasco_Other,Plant_City,3458.13911
Clearwater,Plant_City,0
Citrus,Tampa,93.2939
Manatee_Spur,Hillsborough_Other,520.73905
Manatee_Spur,Tampa,153.14916
Pinellas_Other,Pinellas_Other,1515385.37426
Pasco_Other,Pinellas_Other,63520.84684
New_Port_Richey,Pinellas_Other,18010.50301
Hillsborough_Other,Pinellas_Other,71736.41147
Clearwater,Pinellas_Other,235611.63972
External,Pinellas_Other,8501.59217
Pinellas_Beaches,Pinellas_Other,35197.31988
St_Petersburg,Pinellas_Other,171982.60045
Tampa,Pinellas_Other,36366.94184
Spring_Hill,Pinellas_Other,773.06691
USF_Hosp_Busch,Pinellas_Other,6512.02362
Plant_City,Pinellas_Other,8.16708
External,Pinellas_Beaches,644.36543
Hillsborough_Other,Pinellas_Beaches,7868.98231
Tampa,Pinellas_Beaches,3574.22862
Pinellas_Other,Pinellas_Beaches,37143.01196
Pinellas_Beaches,Pinellas_Beaches,22513.2002
Clearwater,Pinellas_Beaches,2127.60799
Pasco_Other,Pinellas_Beaches,4043.71357
Hernando_Other,Pinellas_Other,308.54146
Citrus,Pinellas_Other,513.07672
Hillsborough_Other,Clearwater,28273.15723
USF_Hosp_Busch,Clearwater,397.6489
Pinellas_Other,Clearwater,201201.12451
Clearwater,Clearwater,496991.4224
St_Petersburg,Clearwater,28995.61927
Pinellas_Beaches,Clearwater,1804.22531
Pasco_Other,Clearwater,18800.00792
Tampa,Clearwater,15445.76931
Hernando_Other,Clearwater,223.55673
New_Port_Richey,Clearwater,484.63928
External,Clearwater,1568.39841
St_Petersburg,Pinellas_Beaches,6770.26075
Plant_City,Pinellas_Beaches,0
Spring_Hill,Clearwater,123.80286
Plant_City,Clearwater,0
Citrus,Clearwater,32.83955
