FROM,TO,TRIPS
,,0
,Citrus,0
,Dade_City,0
,E_New_Port_Richey,0
,Hernando,0
,Hillsborough_Manatee_Spur,0
,Hudson,0
,I-75_SR_52,0
,Lacoochie_Ind_Area,0
,Land_O_Lakes_Connerton,0
,N_W_Pasco,0
,New_Port_Richey,0
,Pasco_Central,0
,Pasco_East,0
,Pasco_West,0
,Pinellas,0
,San_Antonio,0
,Seven_Springs_Odessa,0
,Suncoast_SR_54,0
,Wesley_Chapel_I-75_-_SR56,0
,Zephyrhills,0
Citrus,,0
Citrus,Citrus,0
Citrus,Dade_City,0
Citrus,E_New_Port_Richey,0
Citrus,Hernando,0
Citrus,Hillsborough_Manatee_Spur,0
Citrus,Hudson,1.1909
Citrus,I-75_SR_52,0
Citrus,Lacoochie_Ind_Area,0
Citrus,Land_O_Lakes_Connerton,0
Citrus,N_W_Pasco,0
Citrus,New_Port_Richey,0
Citrus,Pasco_Central,0
Citrus,Pasco_East,0
Citrus,Pasco_West,370.32834
Citrus,Pinellas,0
Citrus,San_Antonio,0
Citrus,Seven_Springs_Odessa,0
Citrus,Suncoast_SR_54,0
Citrus,Wesley_Chapel_I-75_-_SR56,2883.63426
Citrus,Zephyrhills,53.2122
Dade_City,,0
Dade_City,Citrus,0
Dade_City,Dade_City,19834.42178
Dade_City,E_New_Port_Richey,2752.67657
Dade_City,Hernando,0
Dade_City,Hillsborough_Manatee_Spur,151.07459
Dade_City,Hudson,0
Dade_City,I-75_SR_52,0
Dade_City,Lacoochie_Ind_Area,0
Dade_City,Land_O_Lakes_Connerton,42.90684
Dade_City,N_W_Pasco,0
Dade_City,New_Port_Richey,0
Dade_City,Pasco_Central,395.58163
Dade_City,Pasco_East,5664.28794
Dade_City,Pasco_West,0
Dade_City,Pinellas,0
Dade_City,San_Antonio,162.79071
Dade_City,Seven_Springs_Odessa,0
Dade_City,Suncoast_SR_54,0
Dade_City,Wesley_Chapel_I-75_-_SR56,121.94492
Dade_City,Zephyrhills,10257.01027
E_New_Port_Richey,,0
E_New_Port_Richey,Citrus,0
E_New_Port_Richey,Dade_City,2967.74775
E_New_Port_Richey,E_New_Port_Richey,4653.73801
E_New_Port_Richey,Hernando,204.5057
E_New_Port_Richey,Hillsborough_Manatee_Spur,22.72942
E_New_Port_Richey,Hudson,0
E_New_Port_Richey,I-75_SR_52,0
E_New_Port_Richey,Lacoochie_Ind_Area,0
E_New_Port_Richey,Land_O_Lakes_Connerton,0
E_New_Port_Richey,N_W_Pasco,0
E_New_Port_Richey,New_Port_Richey,3514.60569
E_New_Port_Richey,Pasco_Central,5287.66439
E_New_Port_Richey,Pasco_East,0
E_New_Port_Richey,Pasco_West,16350.75505
E_New_Port_Richey,Pinellas,928.06505
E_New_Port_Richey,San_Antonio,0
E_New_Port_Richey,Seven_Springs_Odessa,1963.10178
E_New_Port_Richey,Suncoast_SR_54,51.51793
E_New_Port_Richey,Wesley_Chapel_I-75_-_SR56,0
E_New_Port_Richey,Zephyrhills,0
Hernando,,0
Hernando,Citrus,0
Hernando,Dade_City,39.52764
Hernando,E_New_Port_Richey,444.29659
Hernando,Hernando,0
Hernando,Hillsborough_Manatee_Spur,0
Hernando,Hudson,783.16085
Hernando,I-75_SR_52,41.18637
Hernando,Lacoochie_Ind_Area,0
Hernando,Land_O_Lakes_Connerton,3468.74411
Hernando,N_W_Pasco,3297.2954
Hernando,New_Port_Richey,6358.49918
Hernando,Pasco_Central,17818.19875
Hernando,Pasco_East,4120.37822
Hernando,Pasco_West,4613.676
Hernando,Pinellas,0
Hernando,San_Antonio,162.80117
Hernando,Seven_Springs_Odessa,176.42229
Hernando,Suncoast_SR_54,353.75572
Hernando,Wesley_Chapel_I-75_-_SR56,71.43895
Hernando,Zephyrhills,0
Hillsborough_Manatee_Spur,,0
Hillsborough_Manatee_Spur,Citrus,0
Hillsborough_Manatee_Spur,Dade_City,207.31711
Hillsborough_Manatee_Spur,E_New_Port_Richey,34.63474
Hillsborough_Manatee_Spur,Hernando,0
Hillsborough_Manatee_Spur,Hillsborough_Manatee_Spur,0
Hillsborough_Manatee_Spur,Hudson,2364.16413
Hillsborough_Manatee_Spur,I-75_SR_52,95.89292
Hillsborough_Manatee_Spur,Lacoochie_Ind_Area,0
Hillsborough_Manatee_Spur,Land_O_Lakes_Connerton,30803.16817
Hillsborough_Manatee_Spur,N_W_Pasco,0
Hillsborough_Manatee_Spur,New_Port_Richey,3749.37129
Hillsborough_Manatee_Spur,Pasco_Central,32782.83415
Hillsborough_Manatee_Spur,Pasco_East,44544.1913
Hillsborough_Manatee_Spur,Pasco_West,4549.20827
Hillsborough_Manatee_Spur,Pinellas,0
Hillsborough_Manatee_Spur,San_Antonio,303.04427
Hillsborough_Manatee_Spur,Seven_Springs_Odessa,7605.8162
Hillsborough_Manatee_Spur,Suncoast_SR_54,7139.53228
Hillsborough_Manatee_Spur,Wesley_Chapel_I-75_-_SR56,21608.49532
Hillsborough_Manatee_Spur,Zephyrhills,9811.20965
Hudson,,0
Hudson,Citrus,1.1909
Hudson,Dade_City,0
Hudson,E_New_Port_Richey,0
Hudson,Hernando,532.64663
Hudson,Hillsborough_Manatee_Spur,2232.35196
Hudson,Hudson,10052.44905
Hudson,I-75_SR_52,0
Hudson,Lacoochie_Ind_Area,0
Hudson,Land_O_Lakes_Connerton,0
Hudson,N_W_Pasco,72.99779
Hudson,New_Port_Richey,2205.99524
Hudson,Pasco_Central,973.74153
Hudson,Pasco_East,0
Hudson,Pasco_West,10602.7057
Hudson,Pinellas,1.1909
Hudson,San_Antonio,0
Hudson,Seven_Springs_Odessa,0
Hudson,Suncoast_SR_54,0
Hudson,Wesley_Chapel_I-75_-_SR56,0
Hudson,Zephyrhills,0
I-75_SR_52,,0
I-75_SR_52,Citrus,0
I-75_SR_52,Dade_City,0
I-75_SR_52,E_New_Port_Richey,0
I-75_SR_52,Hernando,58.21103
I-75_SR_52,Hillsborough_Manatee_Spur,910.21848
I-75_SR_52,Hudson,0
I-75_SR_52,I-75_SR_52,1828.00796
I-75_SR_52,Lacoochie_Ind_Area,0
I-75_SR_52,Land_O_Lakes_Connerton,466.58357
I-75_SR_52,N_W_Pasco,0
I-75_SR_52,New_Port_Richey,0
I-75_SR_52,Pasco_Central,1082.71057
I-75_SR_52,Pasco_East,416.3415
I-75_SR_52,Pasco_West,0
I-75_SR_52,Pinellas,0
I-75_SR_52,San_Antonio,0
I-75_SR_52,Seven_Springs_Odessa,0
I-75_SR_52,Suncoast_SR_54,0
I-75_SR_52,Wesley_Chapel_I-75_-_SR56,1055.67098
I-75_SR_52,Zephyrhills,0
Lacoochie_Ind_Area,,0
Lacoochie_Ind_Area,Citrus,0
Lacoochie_Ind_Area,Dade_City,0
Lacoochie_Ind_Area,E_New_Port_Richey,0
Lacoochie_Ind_Area,Hernando,0
Lacoochie_Ind_Area,Hillsborough_Manatee_Spur,0
Lacoochie_Ind_Area,Hudson,0
Lacoochie_Ind_Area,I-75_SR_52,0
Lacoochie_Ind_Area,Lacoochie_Ind_Area,0
Lacoochie_Ind_Area,Land_O_Lakes_Connerton,0
Lacoochie_Ind_Area,N_W_Pasco,0
Lacoochie_Ind_Area,New_Port_Richey,0
Lacoochie_Ind_Area,Pasco_Central,0
Lacoochie_Ind_Area,Pasco_East,0
Lacoochie_Ind_Area,Pasco_West,0
Lacoochie_Ind_Area,Pinellas,0
Lacoochie_Ind_Area,San_Antonio,0
Lacoochie_Ind_Area,Seven_Springs_Odessa,0
Lacoochie_Ind_Area,Suncoast_SR_54,0
Lacoochie_Ind_Area,Wesley_Chapel_I-75_-_SR56,0
Lacoochie_Ind_Area,Zephyrhills,0
Land_O_Lakes_Connerton,,0
Land_O_Lakes_Connerton,Citrus,0
Land_O_Lakes_Connerton,Dade_City,65.38079
Land_O_Lakes_Connerton,E_New_Port_Richey,0
Land_O_Lakes_Connerton,Hernando,2354.43956
Land_O_Lakes_Connerton,Hillsborough_Manatee_Spur,18566.17596
Land_O_Lakes_Connerton,Hudson,52.7007
Land_O_Lakes_Connerton,I-75_SR_52,2155.77687
Land_O_Lakes_Connerton,Lacoochie_Ind_Area,0
Land_O_Lakes_Connerton,Land_O_Lakes_Connerton,15250.70211
Land_O_Lakes_Connerton,N_W_Pasco,0
Land_O_Lakes_Connerton,New_Port_Richey,2456.82335
Land_O_Lakes_Connerton,Pasco_Central,25490.82131
Land_O_Lakes_Connerton,Pasco_East,19960.21475
Land_O_Lakes_Connerton,Pasco_West,0
Land_O_Lakes_Connerton,Pinellas,138.94307
Land_O_Lakes_Connerton,San_Antonio,0
Land_O_Lakes_Connerton,Seven_Springs_Odessa,242.4972
Land_O_Lakes_Connerton,Suncoast_SR_54,3224.49244
Land_O_Lakes_Connerton,Wesley_Chapel_I-75_-_SR56,575.69118
Land_O_Lakes_Connerton,Zephyrhills,0
N_W_Pasco,,0
N_W_Pasco,Citrus,0
N_W_Pasco,Dade_City,0
N_W_Pasco,E_New_Port_Richey,0
N_W_Pasco,Hernando,3303.57505
N_W_Pasco,Hillsborough_Manatee_Spur,39.72833
