FROM,TO,TRIPS
,,0
,Clearwater Dwntwn,0
,Clearwater Mall,0
,Countryside Mall,0
,Dwntwn USF Albert Whitted Airport,0
,Gateway Area,0
,Grand Central Area,0
,Hernando  Citrus,0
,Hillsborough,0
,Manatee Spur,0
,Mid-Cnty Ind Area,0
,Oldsmar Ind Area,0
,Pasco,0
,Pinellas Beaches,0
,Pinellas Central,0
,Pinellas North,0
,Pinellas North Central,0
,Pinellas South,0
,St Petersburg Clearwater Area,0
,Tarpon Springs Area,0
,Tyrone Square Area,0
Clearwater Dwntwn,,0
Clearwater Dwntwn,Clearwater Dwntwn,11857.57872
Clearwater Dwntwn,Clearwater Mall,484.10794
Clearwater Dwntwn,Countryside Mall,0
Clearwater Dwntwn,Dwntwn USF Albert Whitted Airport,0
Clearwater Dwntwn,Gateway Area,0
Clearwater Dwntwn,Grand Central Area,0
Clearwater Dwntwn,Hernando  Citrus,98.27294
Clearwater Dwntwn,Hillsborough,478.81807
Clearwater Dwntwn,Manatee Spur,0
Clearwater Dwntwn,Mid-Cnty Ind Area,79.05105
Clearwater Dwntwn,Oldsmar Ind Area,0
Clearwater Dwntwn,Pasco,413.73275
Clearwater Dwntwn,Pinellas Beaches,504.93445
Clearwater Dwntwn,Pinellas Central,3498.51152
Clearwater Dwntwn,Pinellas North,3507.41552
Clearwater Dwntwn,Pinellas North Central,17913.66873
Clearwater Dwntwn,Pinellas South,2746.13394
Clearwater Dwntwn,St Petersburg Clearwater Area,0
Clearwater Dwntwn,Tarpon Springs Area,0
Clearwater Dwntwn,Tyrone Square Area,0
Clearwater Mall,,0
Clearwater Mall,Clearwater Dwntwn,26.40749
Clearwater Mall,Clearwater Mall,244.98691
Clearwater Mall,Countryside Mall,123.48603
Clearwater Mall,Dwntwn USF Albert Whitted Airport,0
Clearwater Mall,Gateway Area,0
Clearwater Mall,Grand Central Area,0
Clearwater Mall,Hernando  Citrus,0
Clearwater Mall,Hillsborough,492.8583
Clearwater Mall,Manatee Spur,0
Clearwater Mall,Mid-Cnty Ind Area,0
Clearwater Mall,Oldsmar Ind Area,0
Clearwater Mall,Pasco,100.0621
Clearwater Mall,Pinellas Beaches,0
Clearwater Mall,Pinellas Central,1015.91203
Clearwater Mall,Pinellas North,23.45206
Clearwater Mall,Pinellas North Central,14351.33177
Clearwater Mall,Pinellas South,1002.09438
Clearwater Mall,St Petersburg Clearwater Area,0
Clearwater Mall,Tarpon Springs Area,0
Clearwater Mall,Tyrone Square Area,0
Countryside Mall,,0
Countryside Mall,Clearwater Dwntwn,0
Countryside Mall,Clearwater Mall,0
Countryside Mall,Countryside Mall,115.62569
Countryside Mall,Dwntwn USF Albert Whitted Airport,0
Countryside Mall,Gateway Area,0
Countryside Mall,Grand Central Area,0
Countryside Mall,Hernando  Citrus,0
Countryside Mall,Hillsborough,0
Countryside Mall,Manatee Spur,0
Countryside Mall,Mid-Cnty Ind Area,0
Countryside Mall,Oldsmar Ind Area,0
Countryside Mall,Pasco,98.27294
Countryside Mall,Pinellas Beaches,0
Countryside Mall,Pinellas Central,375.13474
Countryside Mall,Pinellas North,146.84562
Countryside Mall,Pinellas North Central,8611.14128
Countryside Mall,Pinellas South,0
Countryside Mall,St Petersburg Clearwater Area,0
Countryside Mall,Tarpon Springs Area,0
Countryside Mall,Tyrone Square Area,0
Dwntwn USF Albert Whitted Airport,,0
Dwntwn USF Albert Whitted Airport,Clearwater Dwntwn,0
Dwntwn USF Albert Whitted Airport,Clearwater Mall,0
Dwntwn USF Albert Whitted Airport,Countryside Mall,0
Dwntwn USF Albert Whitted Airport,Dwntwn USF Albert Whitted Airport,52538.40315
Dwntwn USF Albert Whitted Airport,Gateway Area,5699.11565
Dwntwn USF Albert Whitted Airport,Grand Central Area,2219.05892
Dwntwn USF Albert Whitted Airport,Hernando  Citrus,0
Dwntwn USF Albert Whitted Airport,Hillsborough,11884.84882
Dwntwn USF Albert Whitted Airport,Manatee Spur,0
Dwntwn USF Albert Whitted Airport,Mid-Cnty Ind Area,180.91302
Dwntwn USF Albert Whitted Airport,Oldsmar Ind Area,0
Dwntwn USF Albert Whitted Airport,Pasco,123.848
Dwntwn USF Albert Whitted Airport,Pinellas Beaches,1904.97519
Dwntwn USF Albert Whitted Airport,Pinellas Central,7105.30547
Dwntwn USF Albert Whitted Airport,Pinellas North,167.12692
Dwntwn USF Albert Whitted Airport,Pinellas North Central,12548.59953
Dwntwn USF Albert Whitted Airport,Pinellas South,50217.7834
Dwntwn USF Albert Whitted Airport,St Petersburg Clearwater Area,0
Dwntwn USF Albert Whitted Airport,Tarpon Springs Area,0
