ZONE,MODE,TRIPS
1,AUTO,7218.92936
2,AUTO,3668.04558
2,BIKE,1620.59396
3,AUTO,40966.3886300001
3,SCHOOL_BUS,6977.00954
3,TRANSIT,243.68949
4,AUTO,2595.40904
4,BIKE,182.37893
5,AUTO,3562.96544
6,AUTO,527.96218
7,AUTO,4386.71522
8,AUTO,5167.54193
9,AUTO,2291.1547
10,AUTO,321.48336
11,AUTO,9992.52234
11,BIKE,1620.59396
12,AUTO,2807.91552
13,AUTO,1792.73186
13,WALK,398.02624
14,AUTO,28389.37562
14,SCHOOL_BUS,6977.00954
15,AUTO,7838.59137
16,AUTO,22365.88727
17,AUTO,23346.86519
18,AUTO,2894.11001
19,AUTO,10110.95532
20,AUTO,429.46221
21,AUTO,556.06527
22,AUTO,280.7832
23,AUTO,9041.49509
24,AUTO,1003.31965
24,WALK,282.77182
25,AUTO,457.28335
26,AUTO,323.15919
26,WALK,2833.52874
27,AUTO,10743.60265
28,AUTO,652.64674
29,AUTO,870.97012
29,TRANSIT,243.68949
29,WALK,694.31758
30,AUTO,10927.04726
30,BIKE,136.43902
31,AUTO,582.50041
31,WALK,197.1748
32,AUTO,2328.27588
33,AUTO,241.86869
34,AUTO,23588.64128
34,OTHER,154.33716
35,AUTO,10573.89309
35,BIKE,37.37801
35,WALK,73.74075
36,AUTO,31948.67587
36,WALK,73.74075
37,AUTO,8432.55729
37,WALK,255.14607
38,AUTO,19461.7812
39,AUTO,573.10502
40,AUTO,1388.25369
41,AUTO,10262.33497
41,SCHOOL_BUS,1566.14114
42,AUTO,7495.83362
43,AUTO,1794.56689
44,AUTO,2569.57238
44,WALK,268.96274
45,AUTO,2049.94806
47,AUTO,19.39896
48,AUTO,22.72942
49,AUTO,2086.57378
50,AUTO,1595.0541
50,SCHOOL_BUS,1612.5146
51,AUTO,991.55251
51,SCHOOL_BUS,98.955
51,WALK,115.95422
52,AUTO,18.28362
53,AUTO,19390.09445
53,SCHOOL_BUS,98.955
53,WALK,36.56722
54,AUTO,21802.92613
54,TRANSIT,268.96274
54,WALK,268.96274
55,AUTO,391.76315
55,WALK,445.2036
56,AUTO,14668.85448
56,OTHER,18.39314
57,AUTO,7758.07375
57,TRANSIT,268.96274
57,WALK,806.88822
58,AUTO,796.92477
59,AUTO,3130.45342
60,AUTO,7574.80581
61,AUTO,2206.39109
61,WALK,115.95422
62,AUTO,2965.22914
62,BIKE,98.30453
62,WALK,106.16413
63,AUTO,5092.20579
63,SCHOOL_BUS,1566.14114
63,WALK,203.56752
64,AUTO,1276.61791
64,WALK,196.60906
65,AUTO,9752.7085
65,OTHER,98.30453
65,SHUTTLE_VANPOOL,82.94075
65,TRANSIT,1075.85096
65,WALK,2386.32756
66,AUTO,5681.2914
66,SHUTTLE_VANPOOL,82.94075
68,AUTO,18401.2248
69,AUTO,498.89336
69,WALK,635.49993
71,AUTO,459.88629
71,TRANSIT,268.96274
71,WALK,537.92548
72,AUTO,15080.16782
72,BIKE,22.87935
72,TNC,148.41916
72,TRANSIT,268.96274
73,AUTO,3684.38087
74,AUTO,1504.5914
75,AUTO,15890.81861
76,AUTO,8479.06946
76,TRANSIT,287.43914
76,WALK,544.08428
77,AUTO,5867.26477
77,TRANSIT,268.96274
77,WALK,277.17338
78,AUTO,4135.89614
78,SHUTTLE_VANPOOL,827.54962
78,TNC,209.76923
79,AUTO,5934.22777
80,AUTO,9437.80987
80,SCHOOL_BUS,1292.59998
80,WALK,5247.7459
81,AUTO,15333.45401
81,SCHOOL_BUS,2518.99993
81,WALK,633.5615
82,AUTO,2139.07778
83,AUTO,5079.22685
83,WALK,279.32045
84,AUTO,20612.89481
84,TAXI_NOT_TNC,104.93224
84,WALK,27258.6508
85,AUTO,24905.06917
85,WALK,1257.26072
86,AUTO,70537.90715
86,BIKE,85.02834
86,WALK,866.98071
87,AUTO,4002.03801
88,AUTO,1852.35709
89,AUTO,537.39454
90,AUTO,15843.8676
91,AUTO,14903.03361
91,SCHOOL_BUS,1894.74111
91,WALK,4250.20345
92,AUTO,7109.82684
92,WALK,568.39617
93,AUTO,32306.11167
94,AUTO,33832.88002
94,SCHOOL_BUS,79.05105
95,AUTO,4536.21389
95,WALK,327.06706
96,AUTO,6912.81754
96,BIKE,85.02834
96,TNC,217.94577
97,AUTO,7341.02303
97,WALK,90.63846
98,AUTO,996.31281
99,AUTO,26604.1751
99,SHUTTLE_VANPOOL,28.66719
99,TRANSIT,356.61321
99,WALK,365.69447
100,AUTO,285.88081
101,AUTO,1946.66966
101,WALK,1028.19171
102,AUTO,9939.64081000001
102,OTHER,100.55595
102,SCHOOL_BUS,79.05105
102,WALK,441.57186
103,AUTO,815.39739
103,SCHOOL_BUS,1891.48824
103,WALK,79.09167
104,AUTO,4248.22412
105,AUTO,1852.48204
105,BIKE,2233.4954
105,WALK,1116.7477
106,AUTO,31.54544
107,AUTO,2196.42794
107,WALK,499.68578
108,AUTO,14138.98749
108,WALK,497.12374
109,AUTO,29904.19665
109,WALK,2392.17387
110,AUTO,15008.47847
110,BIKE,46.62268
110,OTHER,269.33656
110,WALK,102.63883
111,AUTO,1806.21941
111,WALK,412.94435
112,AUTO,5191.43172
112,OTHER,154.33716
112,WALK,349.33729
113,AUTO,14026.27866
113,WALK,397.3994
114,AUTO,30646.14301
114,TNC,732.42639
114,WALK,609.47305
115,AUTO,797.10628
115,SCHOOL_BUS,79.05105
116,AUTO,28318.61009
116,TNC,98.27294
116,WALK,37.30644
117,AUTO,8186.69268
117,TRANSIT,98.67943
117,WALK,394.86306
118,AUTO,436.75836
119,AUTO,587.52586
120,AUTO,26460.19179
120,BIKE,2328.06169
120,SCHOOL_BUS,3745.39988
120,TRANSIT,2328.06169
121,AUTO,2490.76903
121,WALK,1036.43476
122,AUTO,26119.86107
122,BIKE,1551.63343
122,SCHOOL_BUS,1872.69994
122,WALK,1839.88828
123,AUTO,45765.61975
123,OTHER,269.33656
123,TRANSIT,713.22642
123,WALK,234.61208
124,AUTO,419.08335
124,OTHER,538.67312
125,AUTO,4215.52989
126,AUTO,1118.30679
126,TRANSIT,2142.79723
127,AUTO,15039.24003
127,OTHER,269.33656
127,WALK,66.53836
128,AUTO,10793.05507
128,TRANSIT,3522.98145
128,WALK,61.57268
129,AUTO,24760.5696
130,AUTO,1132.17065
131,AUTO,347.44129
131,WALK,31.9183
132,AUTO,16466.75073
132,WALK,3533.19132
133,AUTO,16266.87139
133,WALK,3494.67239
134,AUTO,19549.52743
134,WALK,8442.51959
135,AUTO,8551.4923
136,AUTO,575.84212
136,WALK,280.7415
137,AUTO,1689.5675
137,WALK,511.69208
138,AUTO,18918.20138
138,WALK,2182.14574
139,AUTO,1205.79769
140,AUTO,17104.29552
141,AUTO,17487.39368
141,TNC,97.91104
141,TRANSIT,98.47162
142,AUTO,10634.91667
142,TNC,99.30834
142,WALK,571.62188
143,AUTO,1057.8069
143,WALK,421.01388
144,AUTO,3229.46019
144,WALK,696.78768
145,AUTO,2836.92989
145,WALK,258.57318
146,AUTO,9906.05548
146,WALK,601.99411
147,AUTO,18654.97548
147,WALK,4285.59446
148,AUTO,356.14921
148,TNC,149.74679
148,TRANSIT,356.61321
149,AUTO,7011.27703
149,TRANSIT,2142.79723
151,AUTO,6728.34783
152,AUTO,202.71505
153,AUTO,3236.9491
153,TRANSIT,58.56145
153,WALK,41.4343
154,AUTO,741.70297
155,AUTO,7073.19954
155,BIKE,656.11512
155,WALK,2765.17125
156,AUTO,5663.33855
156,OTHER,115.48657
157,AUTO,4250.91741
157,OTHER,123.97419
157,SHUTTLE_VANPOOL,9.14181
157,TRANSIT,268.96274
158,AUTO,961.89299
158,BIKE,857.69432
158,WALK,972.93262
159,AUTO,361.14519
160,AUTO,2594.38375
161,AUTO,6653.26855
161,WALK,3.72448
162,AUTO,10569.97886
162,WALK,7548.14816
163,AUTO,13954.93664
163,BIKE,656.11512
163,WALK,347.15879
164,AUTO,15981.75693
164,BIKE,1038.7771
164,WALK,2687.85979
165,AUTO,31801.0093
165,WALK,972.93262
166,AUTO,7340.20927999999
167,AUTO,11314.99664
167,WALK,125.7448
168,AUTO,14027.9803
168,OTHER,123.97419
168,WALK,3.72448
169,AUTO,831.47402
169,WALK,325.9498
170,AUTO,9175.65716
171,AUTO,11259.22553
171,WALK,3655.98158
172,AUTO,2822.07785
172,TNC,312.30549
173,AUTO,4188.4127
173,SCHOOL_BUS,3785.84036
174,AUTO,2784.31624
175,AUTO,79.45764
176,AUTO,12077.51126
177,AUTO,50.69381
178,AUTO,689.65287
178,WALK,2035.54762
179,AUTO,2748.16304
179,TRANSIT,88.78122
179,WALK,2353.19864
180,AUTO,6.09454
180,SCHOOL_BUS,1612.5146
180,WALK,53.3299
181,AUTO,11103.69105
181,WALK,2353.19864
182,AUTO,718.54133
183,AUTO,3876.42565
183,WALK,125.27745
184,AUTO,5136.52757
184,BIKE,122.28468
184,TRANSIT,136.39127
184,WALK,612.79116
185,AUTO,5883.15233
185,WALK,136.41864
186,AUTO,1207.46417
186,WALK,3864.74812
187,AUTO,1154.34198
187,TRANSIT,2476.91577
188,AUTO,2373.84727
190,AUTO,151.43288
190,TRANSIT,686.52636
191,AUTO,3113.76254
191,WALK,6215.27604
192,AUTO,1127.10759
193,AUTO,2038.67654
193,TRANSIT,1806.73689
193,WALK,537.92548
194,AUTO,27599.08799
194,WALK,12859.28801
195,AUTO,7533.60898
196,AUTO,8704.19991
196,WALK,893.83632
197,AUTO,1203.52628
197,TRANSIT,207.83093
198,AUTO,2558.60354
198,WALK,4256.29044
199,AUTO,3145.73881
200,AUTO,1292.9836
200,WALK,218.39939
201,AUTO,2954.48457
201,TRANSIT,3522.98145
201,WALK,3864.74812
202,AUTO,5320.89684
202,TRANSIT,6.1588
202,WALK,39.52552
203,AUTO,320.49953
204,AUTO,5091.63737
204,TRANSIT,2425.57298
204,WALK,5675.37618
205,AUTO,248.10569
205,TRANSIT,18.4764
206,AUTO,39.72882
207,AUTO,119.18646
208,AUTO,291.58456
209,AUTO,4438.17189
209,BIKE,2803.54876
209,TRANSIT,1075.85096
210,AUTO,12617.98307
210,WALK,1075.85096
211,AUTO,3419.68841
213,AUTO,3595.43384
213,WALK,9423.68356
214,AUTO,455.05238
215,AUTO,6724.7171
215,TRANSIT,58.56145
216,AUTO,2831.60957
217,AUTO,29487.64347
218,AUTO,13381.64236
219,AUTO,635.50398
219,WALK,9.03296
220,AUTO,4980.61974
221,AUTO,1439.61404
222,AUTO,1673.99212
223,AUTO,3917.86174
224,AUTO,9456.61846
224,WALK,2169.14866
225,AUTO,1422.66154
225,BIKE,80.24395
227,AUTO,79.75199
228,AUTO,620.45872
230,AUTO,333.67639
232,AUTO,5290.37396
233,AUTO,197.80612
234,AUTO,1514.9294
235,AUTO,199.9251
236,AUTO,21577.23502
237,AUTO,12044.93375
238,AUTO,3040.288
238,TNC,97.91104
238,WALK,97.91104
239,AUTO,298.0735
240,AUTO,662.20966
240,WALK,2391.86268
241,AUTO,5984.85873
242,AUTO,3844.03865
242,SCHOOL_BUS,694.01719
242,WALK,177.32399
243,AUTO,37.81655
243,TRANSIT,149.74679
243,WALK,371.85029
244,AUTO,4954.48051
244,WALK,1934.78209
245,AUTO,10043.39612
245,WALK,4278.22488
246,WALK,183.5623
247,AUTO,2427.81996
247,WALK,78.10854
248,AUTO,201.57246
248,WALK,36.56722
249,AUTO,412.10647
249,TRANSIT,18.28361
250,AUTO,2048.18086
251,AUTO,6920.55616
251,TRANSIT,136.39127
252,AUTO,284.27668
253,AUTO,2251.31544
254,AUTO,240.49824
255,AUTO,9733.92464
256,AUTO,1101.94878
257,AUTO,16183.78902
257,WALK,17759.59036
258,AUTO,3316.68666
258,WALK,3833.34624
259,AUTO,13493.25006
260,AUTO,11582.79685
260,WALK,617.38704
261,AUTO,2245.52707
262,AUTO,2563.82871
262,TRANSIT,136.39127
262,WALK,136.39127
263,AUTO,119.60062
264,AUTO,2317.3706
266,AUTO,241.15146
267,AUTO,2961.26768
268,AUTO,1497.61397
269,AUTO,8639.37742
270,AUTO,735.88409
270,TRANSIT,148.41916
271,AUTO,306.83601
271,WALK,2828.44989
272,AUTO,14357.20363
272,WALK,95.79434
273,AUTO,2672.12505
274,AUTO,882.88709
274,WALK,1437.86511
275,AUTO,2754.51091
276,AUTO,1776.85422
276,WALK,40.40718
277,AUTO,281.22934
277,WALK,40.40718
278,AUTO,246.42945
279,AUTO,12239.30757
279,WALK,370.87578
280,AUTO,14370.29602
280,WALK,44.31812
281,AUTO,179.61396
282,AUTO,778.93364
284,AUTO,2481.90595
284,WALK,196.71064
286,AUTO,2596.37826
286,OTHER,150.75817
287,AUTO,1420.1967
288,AUTO,24280.39536
288,TRANSIT,683.64105
288,WALK,1764.66596
289,AUTO,4331.74102
289,TRANSIT,268.96274
289,WALK,1879.40083
290,AUTO,1228.53773
290,BIKE,18.28362
290,WALK,292.61966
