ZONE,COUNTY,MODE,TRIPS
3,Hillsborough County,BIKE,0
3,Hillsborough County,BIKE_SHARE,0
3,Hillsborough County,CAR,39.63968
3,Hillsborough County,CAR_SHARE,0
3,Hillsborough County,LONG_DIST_PASS,0
3,Hillsborough County,MISSING,0
3,Hillsborough County,OTHER,0
3,Hillsborough County,SCHOOL_BUS,0
3,Hillsborough County,SHUTTLE_VANPOOL,0
3,Hillsborough County,TAXI_NOT_TNC,0
3,Hillsborough County,TNC,0
3,Hillsborough County,TRANSIT,0
3,Hillsborough County,WALK,0
4,Hillsborough County,BIKE,0
4,Hillsborough County,BIKE_SHARE,0
4,Hillsborough County,CAR,32.12478
4,Hillsborough County,CAR_SHARE,0
4,Hillsborough County,LONG_DIST_PASS,0
4,Hillsborough County,MISSING,0
4,Hillsborough County,OTHER,0
4,Hillsborough County,SCHOOL_BUS,0
4,Hillsborough County,SHUTTLE_VANPOOL,0
4,Hillsborough County,TAXI_NOT_TNC,0
4,Hillsborough County,TNC,0
4,Hillsborough County,TRANSIT,0
4,Hillsborough County,WALK,0
6,Hillsborough County,BIKE,0
6,Hillsborough County,BIKE_SHARE,0
6,Hillsborough County,CAR,22.72942
6,Hillsborough County,CAR_SHARE,0
6,Hillsborough County,LONG_DIST_PASS,0
6,Hillsborough County,MISSING,0
6,Hillsborough County,OTHER,0
6,Hillsborough County,SCHOOL_BUS,0
6,Hillsborough County,SHUTTLE_VANPOOL,0
6,Hillsborough County,TAXI_NOT_TNC,0
6,Hillsborough County,TNC,0
6,Hillsborough County,TRANSIT,0
6,Hillsborough County,WALK,0
7,Hillsborough County,BIKE,0
7,Hillsborough County,BIKE_SHARE,0
7,Hillsborough County,CAR,0
7,Hillsborough County,CAR_SHARE,0
7,Hillsborough County,LONG_DIST_PASS,0
7,Hillsborough County,MISSING,0
7,Hillsborough County,OTHER,0
7,Hillsborough County,SCHOOL_BUS,0
7,Hillsborough County,SHUTTLE_VANPOOL,0
7,Hillsborough County,TAXI_NOT_TNC,0
7,Hillsborough County,TNC,0
7,Hillsborough County,TRANSIT,0
7,Hillsborough County,WALK,0
8,Hillsborough County,BIKE,0
8,Hillsborough County,BIKE_SHARE,0
8,Hillsborough County,CAR,122.36033
8,Hillsborough County,CAR_SHARE,0
8,Hillsborough County,LONG_DIST_PASS,0
8,Hillsborough County,MISSING,0
8,Hillsborough County,OTHER,0
8,Hillsborough County,SCHOOL_BUS,0
8,Hillsborough County,SHUTTLE_VANPOOL,0
8,Hillsborough County,TAXI_NOT_TNC,0
8,Hillsborough County,TNC,0
8,Hillsborough County,TRANSIT,0
8,Hillsborough County,WALK,0
10,Hillsborough County,BIKE,0
10,Hillsborough County,BIKE_SHARE,0
10,Hillsborough County,CAR,0
10,Hillsborough County,CAR_SHARE,0
10,Hillsborough County,LONG_DIST_PASS,0
10,Hillsborough County,MISSING,0
10,Hillsborough County,OTHER,0
10,Hillsborough County,SCHOOL_BUS,0
10,Hillsborough County,SHUTTLE_VANPOOL,0
10,Hillsborough County,TAXI_NOT_TNC,0
10,Hillsborough County,TNC,0
10,Hillsborough County,TRANSIT,0
10,Hillsborough County,WALK,0
11,Hillsborough County,BIKE,0
11,Hillsborough County,BIKE_SHARE,0
11,Hillsborough County,CAR,0
11,Hillsborough County,CAR_SHARE,0
11,Hillsborough County,LONG_DIST_PASS,0
11,Hillsborough County,MISSING,0
11,Hillsborough County,OTHER,0
11,Hillsborough County,SCHOOL_BUS,0
11,Hillsborough County,SHUTTLE_VANPOOL,0
11,Hillsborough County,TAXI_NOT_TNC,0
11,Hillsborough County,TNC,0
11,Hillsborough County,TRANSIT,0
11,Hillsborough County,WALK,0
12,Hillsborough County,BIKE,0
12,Hillsborough County,BIKE_SHARE,0
12,Hillsborough County,CAR,0
12,Hillsborough County,CAR_SHARE,0
12,Hillsborough County,LONG_DIST_PASS,0
12,Hillsborough County,MISSING,0
12,Hillsborough County,OTHER,0
12,Hillsborough County,SCHOOL_BUS,0
12,Hillsborough County,SHUTTLE_VANPOOL,0
12,Hillsborough County,TAXI_NOT_TNC,0
12,Hillsborough County,TNC,0
12,Hillsborough County,TRANSIT,0
12,Hillsborough County,WALK,0
13,Hillsborough County,BIKE,0
13,Hillsborough County,BIKE_SHARE,0
13,Hillsborough County,CAR,173.7699
13,Hillsborough County,CAR_SHARE,0
13,Hillsborough County,LONG_DIST_PASS,0
13,Hillsborough County,MISSING,0
13,Hillsborough County,OTHER,0
13,Hillsborough County,SCHOOL_BUS,0
13,Hillsborough County,SHUTTLE_VANPOOL,0
13,Hillsborough County,TAXI_NOT_TNC,0
13,Hillsborough County,TNC,0
13,Hillsborough County,TRANSIT,0
13,Hillsborough County,WALK,0
14,Hillsborough County,BIKE,0
14,Hillsborough County,BIKE_SHARE,0
